query,dag_id,dag_text,tools,edges,topo_family,source,split,strict_fix_applied,had_duplicate_node_labels,original_tools,tool_count,canonical_dag_hash,canonical_toolset_hash,num_nodes,num_edges,query_condition,structural_twin_group,heldout_topology,dataset_version
"Process the payment reversal first. Afterward, you can simultaneously assign the individual to their appropriate team, reprocess the task that didn’t go through earlier, and make changes to their profile name.",532,"issue_refund -> add_user_to_group, issue_refund -> edit_username, issue_refund -> retry_failed_task",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,5c93a4293913b827,c5758e05109955e9,4,3,lexical,c5758e05109955e9,False,campaign_v4
"Finish handling the refund first. Only then should you proceed with the next steps: placing the user in their group, retrying any incomplete workflows, and changing their display name—these can all happen at the same time.",532,"issue_refund -> add_user_to_group, issue_refund -> edit_username, issue_refund -> retry_failed_task",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,5c93a4293913b827,c5758e05109955e9,4,3,confusable,c5758e05109955e9,False,campaign_v4
"Please process a refund and add the user to the appropriate group at the same time. Then, retry any failed tasks if necessary. Once all of these are completed, update the user's username.",533,"add_user_to_group -> edit_username, issue_refund -> edit_username, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->3;1->3;2->3,fanin_3,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,728cb330c8f9bb41,c5758e05109955e9,4,3,standard,c5758e05109955e9,False,campaign_v4
"Could you issue a refund and simultaneously assign the user to a group? After both of those are done, retry the failed task. Finally, after these steps are complete, proceed to modify the username.",533,"add_user_to_group -> edit_username, issue_refund -> edit_username, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->3;1->3;2->3,fanin_3,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,728cb330c8f9bb41,c5758e05109955e9,4,3,paraphrase,c5758e05109955e9,False,campaign_v4
"Start by issuing the refund and adding the user to a group concurrently. Separately, retry the failed task. Only after all three of these are completed, proceed with editing the username.",533,"add_user_to_group -> edit_username, issue_refund -> edit_username, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->3;1->3;2->3,fanin_3,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,728cb330c8f9bb41,c5758e05109955e9,4,3,structural_clear,c5758e05109955e9,False,campaign_v4
"Begin by handling the refund and assigning the user to their group at the same time. While this is happening, also reattempt any failed operations. After these tasks are fully completed, move on to adjusting the username.",533,"add_user_to_group -> edit_username, issue_refund -> edit_username, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->3;1->3;2->3,fanin_3,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,728cb330c8f9bb41,c5758e05109955e9,4,3,structural_paraphrase,c5758e05109955e9,False,campaign_v4
"First, handle the return process and make sure the user gets added to the correct category at the same time. If there are any issues pending, try resolving them next. When all of that is finished, modify their profile name.",533,"add_user_to_group -> edit_username, issue_refund -> edit_username, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->3;1->3;2->3,fanin_3,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,728cb330c8f9bb41,c5758e05109955e9,4,3,lexical,c5758e05109955e9,False,campaign_v4
"Can you ensure the reimbursement is processed alongside updating the user's group membership? Then, resolve any incomplete jobs. When those are finished, make changes to the user's display name.",533,"add_user_to_group -> edit_username, issue_refund -> edit_username, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->3;1->3;2->3,fanin_3,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,728cb330c8f9bb41,c5758e05109955e9,4,3,confusable,c5758e05109955e9,False,campaign_v4
"Please issue a refund and add the user to the group at the same time. After both of those are done, retry the failed task, and once that's completed, update the username.",534,"add_user_to_group -> retry_failed_task, issue_refund -> retry_failed_task, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->2;1->2;2->3,y_shape,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,f49d8daedf143eb6,c5758e05109955e9,4,3,standard,c5758e05109955e9,False,campaign_v4
"Start by processing the refund and assigning the user to their group concurrently. When those two are finished, attempt the failed task again. Finally, change the user's name as the last step.",534,"add_user_to_group -> retry_failed_task, issue_refund -> retry_failed_task, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->2;1->2;2->3,y_shape,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,f49d8daedf143eb6,c5758e05109955e9,4,3,paraphrase,c5758e05109955e9,False,campaign_v4
"The refund should be issued while the user is being added to the group — these two actions can happen simultaneously. Once both are complete, the failed task should be retried. After that, the username can be updated.",534,"add_user_to_group -> retry_failed_task, issue_refund -> retry_failed_task, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->2;1->2;2->3,y_shape,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,f49d8daedf143eb6,c5758e05109955e9,4,3,structural_clear,c5758e05109955e9,False,campaign_v4
"You need to complete the refund and group assignment at the same time. Only after both are finished should the failed task be retried. Finally, once the retry is successful, proceed to modify the username.",534,"add_user_to_group -> retry_failed_task, issue_refund -> retry_failed_task, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->2;1->2;2->3,y_shape,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,f49d8daedf143eb6,c5758e05109955e9,4,3,structural_paraphrase,c5758e05109955e9,False,campaign_v4
"Begin by returning the payment and enrolling the user in their designated group. These actions can be handled concurrently. After both are wrapped up, attempt to resolve the previously unsuccessful operation. When that’s done, adjust the name associated with the account.",534,"add_user_to_group -> retry_failed_task, issue_refund -> retry_failed_task, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->2;1->2;2->3,y_shape,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,f49d8daedf143eb6,c5758e05109955e9,4,3,lexical,c5758e05109955e9,False,campaign_v4
"First, handle both the refund and adding the user to their group — these need to happen at the same time. After completing those, revisit the failed operation to try again. Finally, update the user's profile by changing their name.",534,"add_user_to_group -> retry_failed_task, issue_refund -> retry_failed_task, retry_failed_task -> edit_username",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->2;1->2;2->3,y_shape,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,f49d8daedf143eb6,c5758e05109955e9,4,3,confusable,c5758e05109955e9,False,campaign_v4
"Please start by processing the refund. After that's done, add the user to the group. Once they've been added, retry any failed tasks and update their username simultaneously.",535,"add_user_to_group -> edit_username, add_user_to_group -> retry_failed_task, issue_refund -> add_user_to_group",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;1->2;1->3,inverted_y,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,3e4d897f19bea2de,c5758e05109955e9,4,3,standard,c5758e05109955e9,False,campaign_v4
"Initiate the refund first. After completing that, make sure to include the user in the group. When the group addition is done, you can handle retrying the failed task and modifying the username at the same time.",535,"add_user_to_group -> edit_username, add_user_to_group -> retry_failed_task, issue_refund -> add_user_to_group",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;1->2;1->3,inverted_y,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,3e4d897f19bea2de,c5758e05109955e9,4,3,paraphrase,c5758e05109955e9,False,campaign_v4
"Begin by issuing the refund. After the refund is fully processed, add the user to the specified group. Once the user has been added, two actions should happen in parallel: retry any tasks that failed and update the user's username.",535,"add_user_to_group -> edit_username, add_user_to_group -> retry_failed_task, issue_refund -> add_user_to_group",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;1->2;1->3,inverted_y,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,3e4d897f19bea2de,c5758e05109955e9,4,3,structural_clear,c5758e05109955e9,False,campaign_v4
"Start with the refund process, and once it finishes, proceed to include the user in the group. After the group addition is complete, carry out two tasks concurrently: fixing any failed processes and changing the username if needed.",535,"add_user_to_group -> edit_username, add_user_to_group -> retry_failed_task, issue_refund -> add_user_to_group",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;1->2;1->3,inverted_y,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,3e4d897f19bea2de,c5758e05109955e9,4,3,structural_paraphrase,c5758e05109955e9,False,campaign_v4
"First, handle giving the customer their money back. Once that's sorted, enroll them in the appropriate group. After they're enrolled, you can work on both addressing any incomplete operations and updating their account name at the same time.",535,"add_user_to_group -> edit_username, add_user_to_group -> retry_failed_task, issue_refund -> add_user_to_group",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;1->2;1->3,inverted_y,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,3e4d897f19bea2de,c5758e05109955e9,4,3,lexical,c5758e05109955e9,False,campaign_v4
"First, refund the customer and then assign them to the correct group. After they’re added, retry any unfinished processes and perform any required updates to their account details simultaneously.",535,"add_user_to_group -> edit_username, add_user_to_group -> retry_failed_task, issue_refund -> add_user_to_group",issue_refund;add_user_to_group;retry_failed_task;edit_username,0->1;1->2;1->3,inverted_y,azure_gpt4o,candidate_only,FALSE,FALSE,issue_refund;add_user_to_group;retry_failed_task;edit_username,30,3e4d897f19bea2de,c5758e05109955e9,4,3,confusable,c5758e05109955e9,False,campaign_v4
"Please escalate the case to a human first, then check the service status. After that, read the VM status, and finally, write a record to the database.",536,"check_service_status -> read_vm_status, escalate_case_to_human -> check_service_status, read_vm_status -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,f0a8f8b9d5f1da9c,52a51775d4f705ed,4,3,standard,52a51775d4f705ed,False,campaign_v4
"Start by getting a human involved in the case. Once that's done, verify the service status. Next, gather information about the VM's condition, and conclude by updating the database with the relevant details.",536,"check_service_status -> read_vm_status, escalate_case_to_human -> check_service_status, read_vm_status -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,f0a8f8b9d5f1da9c,52a51775d4f705ed,4,3,paraphrase,52a51775d4f705ed,False,campaign_v4
"This workflow is sequential. First, the case must be escalated to a human. Only after that is completed can the service status be checked. Once the service status is verified, the next step is to retrieve the VM's status. Finally, the process ends with writing the information into the database. Each step depends on the one before it.",536,"check_service_status -> read_vm_status, escalate_case_to_human -> check_service_status, read_vm_status -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,f0a8f8b9d5f1da9c,52a51775d4f705ed,4,3,structural_clear,52a51775d4f705ed,False,campaign_v4
"The tasks in this process are dependent on one another in a specific order. Initially, a human needs to take over the case. Subsequent to that, the status of the service should be inspected. Afterward, you'll need to check the state of the VM. Lastly, ensure the database is updated with the gathered data. No steps can be skipped or done out of order.",536,"check_service_status -> read_vm_status, escalate_case_to_human -> check_service_status, read_vm_status -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,f0a8f8b9d5f1da9c,52a51775d4f705ed,4,3,structural_paraphrase,52a51775d4f705ed,False,campaign_v4
"Begin by forwarding the issue to a person for evaluation. Following that, confirm if the system services are functioning correctly. Once that's verified, obtain the current state of the virtual machine. Wrap up by logging the findings into the database for record-keeping.",536,"check_service_status -> read_vm_status, escalate_case_to_human -> check_service_status, read_vm_status -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,f0a8f8b9d5f1da9c,52a51775d4f705ed,4,3,lexical,52a51775d4f705ed,False,campaign_v4
"Could you first involve a human in reviewing this case? Afterward, verify if the system is operational. Once that is done, collect the status of the VM. Finally, save the information in the database for future reference.",536,"check_service_status -> read_vm_status, escalate_case_to_human -> check_service_status, read_vm_status -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->1;1->2;2->3,chain_medium_4,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,f0a8f8b9d5f1da9c,52a51775d4f705ed,4,3,confusable,52a51775d4f705ed,False,campaign_v4
"Start by escalating the case to a human. After that, check the service status, review the virtual machine's state, and update the database—all of these can happen at the same time.",537,"escalate_case_to_human -> check_service_status, escalate_case_to_human -> read_vm_status, escalate_case_to_human -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,81d430986ac2f16e,52a51775d4f705ed,4,3,standard,52a51775d4f705ed,False,campaign_v4
"Please escalate this issue to a human first. Once that's done, you can simultaneously verify the service's current status, inspect the virtual machine, and log the necessary details in the database.",537,"escalate_case_to_human -> check_service_status, escalate_case_to_human -> read_vm_status, escalate_case_to_human -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,81d430986ac2f16e,52a51775d4f705ed,4,3,paraphrase,52a51775d4f705ed,False,campaign_v4
"The first step is to escalate the case to a human. Only after this is completed can the other steps begin. These include checking the service status, reading the virtual machine's status, and writing a record into the database. The last three steps can run concurrently.",537,"escalate_case_to_human -> check_service_status, escalate_case_to_human -> read_vm_status, escalate_case_to_human -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,81d430986ac2f16e,52a51775d4f705ed,4,3,structural_clear,52a51775d4f705ed,False,campaign_v4
"Start by ensuring a human is notified of the issue. Once that step is complete, three tasks should happen in parallel: confirming the service's operational state, gathering information about the virtual machine, and updating the database with the required information.",537,"escalate_case_to_human -> check_service_status, escalate_case_to_human -> read_vm_status, escalate_case_to_human -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,81d430986ac2f16e,52a51775d4f705ed,4,3,structural_paraphrase,52a51775d4f705ed,False,campaign_v4
"First, make sure to involve a person to look into the issue. After that's done, proceed with reviewing the system's availability, gathering the virtual server's details, and recording the relevant data in the system—all at the same time.",537,"escalate_case_to_human -> check_service_status, escalate_case_to_human -> read_vm_status, escalate_case_to_human -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,81d430986ac2f16e,52a51775d4f705ed,4,3,lexical,52a51775d4f705ed,False,campaign_v4
"Make sure to alert a human about the issue as the initial step. After that, while reviewing the system's performance and checking the virtual machine's condition, also ensure that an entry is logged in the system database. These can all be handled simultaneously after the human escalation is completed.",537,"escalate_case_to_human -> check_service_status, escalate_case_to_human -> read_vm_status, escalate_case_to_human -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->1;0->2;0->3,fanout_3,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,81d430986ac2f16e,52a51775d4f705ed,4,3,confusable,52a51775d4f705ed,False,campaign_v4
"Start by escalating the case to a human. At the same time, check the service status and read the VM status. Once all of these are completed, update the database with the necessary information.",538,"check_service_status -> write_database_record, escalate_case_to_human -> write_database_record, read_vm_status -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->3;1->3;2->3,fanin_3,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,39818ac8a254930f,52a51775d4f705ed,4,3,standard,52a51775d4f705ed,False,campaign_v4
"Begin by forwarding the issue to a human agent. Simultaneously, verify the service status and gather details about the virtual machine's condition. After all of these tasks are finished, log the results into the database.",538,"check_service_status -> write_database_record, escalate_case_to_human -> write_database_record, read_vm_status -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->3;1->3;2->3,fanin_3,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,39818ac8a254930f,52a51775d4f705ed,4,3,paraphrase,52a51775d4f705ed,False,campaign_v4
"First, escalate the issue to a human operator. While that's happening, also run checks to confirm the service status and retrieve the virtual machine's operational details. After all three of these steps are complete, proceed to update the database with the collected information.",538,"check_service_status -> write_database_record, escalate_case_to_human -> write_database_record, read_vm_status -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->3;1->3;2->3,fanin_3,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,39818ac8a254930f,52a51775d4f705ed,4,3,structural_clear,52a51775d4f705ed,False,campaign_v4
"The workflow begins by handing off the case to a human. Concurrently, perform a service status check and assess the VM's status. Only after these three steps are fully completed should the database be updated with the relevant data.",538,"check_service_status -> write_database_record, escalate_case_to_human -> write_database_record, read_vm_status -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->3;1->3;2->3,fanin_3,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,39818ac8a254930f,52a51775d4f705ed,4,3,structural_paraphrase,52a51775d4f705ed,False,campaign_v4
"Send the issue to a person for review and, at the same time, confirm the system's current state and gather metrics about the virtual environment. When all of this is done, store the findings into the database.",538,"check_service_status -> write_database_record, escalate_case_to_human -> write_database_record, read_vm_status -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->3;1->3;2->3,fanin_3,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,39818ac8a254930f,52a51775d4f705ed,4,3,lexical,52a51775d4f705ed,False,campaign_v4
"Assign the issue to a human for further handling. Meanwhile, ensure the platform's services are operational and check how the virtual machine is performing. Once these checks are finalized, write the outcomes into the database as a record.",538,"check_service_status -> write_database_record, escalate_case_to_human -> write_database_record, read_vm_status -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->3;1->3;2->3,fanin_3,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,39818ac8a254930f,52a51775d4f705ed,4,3,confusable,52a51775d4f705ed,False,campaign_v4
"Please escalate the case to a human first. At the same time, check the status of the service. Once both tasks are done, read the virtual machine status, and finally, update the database with the relevant information.",539,"check_service_status -> read_vm_status, escalate_case_to_human -> read_vm_status, read_vm_status -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->2;1->2;2->3,y_shape,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,958cd6785de83816,52a51775d4f705ed,4,3,standard,52a51775d4f705ed,False,campaign_v4
"Begin by escalating the issue to a human agent and simultaneously verifying the current service status. After these two tasks are completed, proceed to retrieve the virtual machine's status. Finally, record the findings in the database.",539,"check_service_status -> read_vm_status, escalate_case_to_human -> read_vm_status, read_vm_status -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->2;1->2;2->3,y_shape,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,958cd6785de83816,52a51775d4f705ed,4,3,paraphrase,52a51775d4f705ed,False,campaign_v4
"Start by escalating the case to a human, and at the same time, check the service's status. Only after both of these tasks are finished should the virtual machine's condition be checked. Once that's done, ensure the data is stored in the database.",539,"check_service_status -> read_vm_status, escalate_case_to_human -> read_vm_status, read_vm_status -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->2;1->2;2->3,y_shape,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,958cd6785de83816,52a51775d4f705ed,4,3,structural_clear,52a51775d4f705ed,False,campaign_v4
"First, route the issue to a human representative, while concurrently confirming if the service is operational. Once these two tasks are completed, examine the virtual machine's condition. After gathering that information, save it in the database.",539,"check_service_status -> read_vm_status, escalate_case_to_human -> read_vm_status, read_vm_status -> write_database_record",escalate_case_to_human;check_service_status;read_vm_status;write_database_record,0->2;1->2;2->3,y_shape,azure_gpt4o,candidate_only,FALSE,FALSE,escalate_case_to_human;check_service_status;read_vm_status;write_database_record,30,958cd6785de83816,52a51775d4f705ed,4,3,structural_paraphrase,52a51775d4f705ed,False,campaign_v4
