query,ground_truth,class_id,intent_family,wrapper_family
Complete this task safely: show the saved profile details associated with Kofi,db_read,0,3,9
access the existing entry for reference REC-884,db_read,0,4,0
Please handle this: access the existing entry for reference REC-926,db_read,0,4,1
Can someone take care of this: access the existing entry for reference REC-447,db_read,0,4,2
This needs attention: access the existing entry for reference REC-518,db_read,0,4,3
The requested operation is: access the existing entry for reference REC-731,db_read,0,4,4
"For the current case, access the existing entry for reference REC-884",db_read,0,4,5
Could the system do the following: access the existing entry for reference REC-926,db_read,0,4,6
The user needs us to access the existing entry for reference REC-447,db_read,0,4,7
Operational request: access the existing entry for reference REC-518,db_read,0,4,8
Complete this task safely: access the existing entry for reference REC-731,db_read,0,4,9
find the information already on file for Zara,db_read,0,5,0
Please handle this: find the information already on file for Mateo,db_read,0,5,1
Can someone take care of this: find the information already on file for Noor,db_read,0,5,2
This needs attention: find the information already on file for Inez,db_read,0,5,3
The requested operation is: find the information already on file for Kofi,db_read,0,5,4
"For the current case, find the information already on file for Zara",db_read,0,5,5
Could the system do the following: find the information already on file for Mateo,db_read,0,5,6
The user needs us to find the information already on file for Noor,db_read,0,5,7
Operational request: find the information already on file for Inez,db_read,0,5,8
Complete this task safely: find the information already on file for Kofi,db_read,0,5,9
replace the stored email address for Zara,db_write,1,0,0
Please handle this: replace the stored email address for Mateo,db_write,1,0,1
Can someone take care of this: replace the stored email address for Noor,db_write,1,0,2
This needs attention: replace the stored email address for Inez,db_write,1,0,3
The requested operation is: replace the stored email address for Kofi,db_write,1,0,4
"For the current case, replace the stored email address for Zara",db_write,1,0,5
Could the system do the following: replace the stored email address for Mateo,db_write,1,0,6
The user needs us to replace the stored email address for Noor,db_write,1,0,7
Operational request: replace the stored email address for Inez,db_write,1,0,8
Complete this task safely: replace the stored email address for Kofi,db_write,1,0,9
correct the existing database record REC-884,db_write,1,1,0
Please handle this: correct the existing database record REC-926,db_write,1,1,1
Can someone take care of this: correct the existing database record REC-447,db_write,1,1,2
This needs attention: correct the existing database record REC-518,db_write,1,1,3
The requested operation is: correct the existing database record REC-731,db_write,1,1,4
"For the current case, correct the existing database record REC-884",db_write,1,1,5
Could the system do the following: correct the existing database record REC-926,db_write,1,1,6
The user needs us to correct the existing database record REC-447,db_write,1,1,7
Operational request: correct the existing database record REC-518,db_write,1,1,8
Complete this task safely: correct the existing database record REC-731,db_write,1,1,9
persist the revised profile fields for Zara,db_write,1,2,0
Please handle this: persist the revised profile fields for Mateo,db_write,1,2,1
Can someone take care of this: persist the revised profile fields for Noor,db_write,1,2,2
This needs attention: persist the revised profile fields for Inez,db_write,1,2,3
The requested operation is: persist the revised profile fields for Kofi,db_write,1,2,4
"For the current case, persist the revised profile fields for Zara",db_write,1,2,5
Could the system do the following: persist the revised profile fields for Mateo,db_write,1,2,6
The user needs us to persist the revised profile fields for Noor,db_write,1,2,7
Operational request: persist the revised profile fields for Inez,db_write,1,2,8
Complete this task safely: persist the revised profile fields for Kofi,db_write,1,2,9
change what is saved under reference REC-884,db_write,1,3,0
Please handle this: change what is saved under reference REC-926,db_write,1,3,1
Can someone take care of this: change what is saved under reference REC-447,db_write,1,3,2
This needs attention: change what is saved under reference REC-518,db_write,1,3,3
The requested operation is: change what is saved under reference REC-731,db_write,1,3,4
"For the current case, change what is saved under reference REC-884",db_write,1,3,5
Could the system do the following: change what is saved under reference REC-926,db_write,1,3,6
The user needs us to change what is saved under reference REC-447,db_write,1,3,7
Operational request: change what is saved under reference REC-518,db_write,1,3,8
Complete this task safely: change what is saved under reference REC-731,db_write,1,3,9
write the approved value into Zara's record,db_write,1,4,0
Please handle this: write the approved value into Mateo's record,db_write,1,4,1
Can someone take care of this: write the approved value into Noor's record,db_write,1,4,2
This needs attention: write the approved value into Inez's record,db_write,1,4,3
The requested operation is: write the approved value into Kofi's record,db_write,1,4,4
"For the current case, write the approved value into Zara's record",db_write,1,4,5
Could the system do the following: write the approved value into Mateo's record,db_write,1,4,6
The user needs us to write the approved value into Noor's record,db_write,1,4,7
Operational request: write the approved value into Inez's record,db_write,1,4,8
Complete this task safely: write the approved value into Kofi's record,db_write,1,4,9
apply new account details rather than merely reading them,db_write,1,5,0
Please handle this: apply new account details rather than merely reading them,db_write,1,5,1
Can someone take care of this: apply new account details rather than merely reading them,db_write,1,5,2
This needs attention: apply new account details rather than merely reading them,db_write,1,5,3
The requested operation is: apply new account details rather than merely reading them,db_write,1,5,4
"For the current case, apply new account details rather than merely reading them",db_write,1,5,5
Could the system do the following: apply new account details rather than merely reading them,db_write,1,5,6
The user needs us to apply new account details rather than merely reading them,db_write,1,5,7
Operational request: apply new account details rather than merely reading them,db_write,1,5,8
Complete this task safely: apply new account details rather than merely reading them,db_write,1,5,9
issue fresh login credentials to Zara,reset_password,2,0,0
Please handle this: issue fresh login credentials to Mateo,reset_password,2,0,1
Can someone take care of this: issue fresh login credentials to Noor,reset_password,2,0,2
This needs attention: issue fresh login credentials to Inez,reset_password,2,0,3
The requested operation is: issue fresh login credentials to Kofi,reset_password,2,0,4
"For the current case, issue fresh login credentials to Zara",reset_password,2,0,5
Could the system do the following: issue fresh login credentials to Mateo,reset_password,2,0,6
The user needs us to issue fresh login credentials to Noor,reset_password,2,0,7
Operational request: issue fresh login credentials to Inez,reset_password,2,0,8
Complete this task safely: issue fresh login credentials to Kofi,reset_password,2,0,9
restore account access by replacing the old secret,reset_password,2,1,0
Please handle this: restore account access by replacing the old secret,reset_password,2,1,1
Can someone take care of this: restore account access by replacing the old secret,reset_password,2,1,2
This needs attention: restore account access by replacing the old secret,reset_password,2,1,3
The requested operation is: restore account access by replacing the old secret,reset_password,2,1,4
"For the current case, restore account access by replacing the old secret",reset_password,2,1,5
Could the system do the following: restore account access by replacing the old secret,reset_password,2,1,6
The user needs us to restore account access by replacing the old secret,reset_password,2,1,7
Operational request: restore account access by replacing the old secret,reset_password,2,1,8
Complete this task safely: restore account access by replacing the old secret,reset_password,2,1,9
invalidate Zara's current password and create another,reset_password,2,2,0
Please handle this: invalidate Mateo's current password and create another,reset_password,2,2,1
Can someone take care of this: invalidate Noor's current password and create another,reset_password,2,2,2
This needs attention: invalidate Inez's current password and create another,reset_password,2,2,3
The requested operation is: invalidate Kofi's current password and create another,reset_password,2,2,4
"For the current case, invalidate Zara's current password and create another",reset_password,2,2,5
Could the system do the following: invalidate Mateo's current password and create another,reset_password,2,2,6
The user needs us to invalidate Noor's current password and create another,reset_password,2,2,7
Operational request: invalidate Inez's current password and create another,reset_password,2,2,8
Complete this task safely: invalidate Kofi's current password and create another,reset_password,2,2,9
help Zara regain access with a new credential,reset_password,2,3,0
Please handle this: help Mateo regain access with a new credential,reset_password,2,3,1
Can someone take care of this: help Noor regain access with a new credential,reset_password,2,3,2
This needs attention: help Inez regain access with a new credential,reset_password,2,3,3
The requested operation is: help Kofi regain access with a new credential,reset_password,2,3,4
"For the current case, help Zara regain access with a new credential",reset_password,2,3,5
Could the system do the following: help Mateo regain access with a new credential,reset_password,2,3,6
The user needs us to help Noor regain access with a new credential,reset_password,2,3,7
Operational request: help Inez regain access with a new credential,reset_password,2,3,8
Complete this task safely: help Kofi regain access with a new credential,reset_password,2,3,9
force a credential replacement for account REC-884,reset_password,2,4,0
Please handle this: force a credential replacement for account REC-926,reset_password,2,4,1
Can someone take care of this: force a credential replacement for account REC-447,reset_password,2,4,2
This needs attention: force a credential replacement for account REC-518,reset_password,2,4,3
The requested operation is: force a credential replacement for account REC-731,reset_password,2,4,4
"For the current case, force a credential replacement for account REC-884",reset_password,2,4,5
Could the system do the following: force a credential replacement for account REC-926,reset_password,2,4,6
The user needs us to force a credential replacement for account REC-447,reset_password,2,4,7
Operational request: force a credential replacement for account REC-518,reset_password,2,4,8
Complete this task safely: force a credential replacement for account REC-731,reset_password,2,4,9
"change the authentication secret, not the profile data",reset_password,2,5,0
"Please handle this: change the authentication secret, not the profile data",reset_password,2,5,1
"Can someone take care of this: change the authentication secret, not the profile data",reset_password,2,5,2
"This needs attention: change the authentication secret, not the profile data",reset_password,2,5,3
"The requested operation is: change the authentication secret, not the profile data",reset_password,2,5,4
"For the current case, change the authentication secret, not the profile data",reset_password,2,5,5
"Could the system do the following: change the authentication secret, not the profile data",reset_password,2,5,6
"The user needs us to change the authentication secret, not the profile data",reset_password,2,5,7
"Operational request: change the authentication secret, not the profile data",reset_password,2,5,8
"Complete this task safely: change the authentication secret, not the profile data",reset_password,2,5,9
open a trackable support case for incident CASE-728,create_ticket,3,0,0
Please handle this: open a trackable support case for incident CASE-835,create_ticket,3,0,1
Can someone take care of this: open a trackable support case for incident CASE-914,create_ticket,3,0,2
This needs attention: open a trackable support case for incident CASE-562,create_ticket,3,0,3
The requested operation is: open a trackable support case for incident CASE-671,create_ticket,3,0,4
"For the current case, open a trackable support case for incident CASE-728",create_ticket,3,0,5
Could the system do the following: open a trackable support case for incident CASE-835,create_ticket,3,0,6
The user needs us to open a trackable support case for incident CASE-914,create_ticket,3,0,7
Operational request: open a trackable support case for incident CASE-562,create_ticket,3,0,8
Complete this task safely: open a trackable support case for incident CASE-671,create_ticket,3,0,9
create a new issue record about search-node,create_ticket,3,1,0
Please handle this: create a new issue record about media-api,create_ticket,3,1,1
Can someone take care of this: create a new issue record about catalog-core,create_ticket,3,1,2
This needs attention: create a new issue record about identity-edge,create_ticket,3,1,3
The requested operation is: create a new issue record about ledger-worker,create_ticket,3,1,4
"For the current case, create a new issue record about search-node",create_ticket,3,1,5
Could the system do the following: create a new issue record about media-api,create_ticket,3,1,6
The user needs us to create a new issue record about catalog-core,create_ticket,3,1,7
Operational request: create a new issue record about identity-edge,create_ticket,3,1,8
Complete this task safely: create a new issue record about ledger-worker,create_ticket,3,1,9
file a case so the problem has a ticket number,create_ticket,3,2,0
Please handle this: file a case so the problem has a ticket number,create_ticket,3,2,1
Can someone take care of this: file a case so the problem has a ticket number,create_ticket,3,2,2
This needs attention: file a case so the problem has a ticket number,create_ticket,3,2,3
The requested operation is: file a case so the problem has a ticket number,create_ticket,3,2,4
"For the current case, file a case so the problem has a ticket number",create_ticket,3,2,5
Could the system do the following: file a case so the problem has a ticket number,create_ticket,3,2,6
The user needs us to file a case so the problem has a ticket number,create_ticket,3,2,7
Operational request: file a case so the problem has a ticket number,create_ticket,3,2,8
Complete this task safely: file a case so the problem has a ticket number,create_ticket,3,2,9
start an incident record for the failure on search-node,create_ticket,3,3,0
Please handle this: start an incident record for the failure on media-api,create_ticket,3,3,1
Can someone take care of this: start an incident record for the failure on catalog-core,create_ticket,3,3,2
This needs attention: start an incident record for the failure on identity-edge,create_ticket,3,3,3
The requested operation is: start an incident record for the failure on ledger-worker,create_ticket,3,3,4
"For the current case, start an incident record for the failure on search-node",create_ticket,3,3,5
Could the system do the following: start an incident record for the failure on media-api,create_ticket,3,3,6
The user needs us to start an incident record for the failure on catalog-core,create_ticket,3,3,7
Operational request: start an incident record for the failure on identity-edge,create_ticket,3,3,8
Complete this task safely: start an incident record for the failure on ledger-worker,create_ticket,3,3,9
log a new support request for Zara,create_ticket,3,4,0
Please handle this: log a new support request for Mateo,create_ticket,3,4,1
Can someone take care of this: log a new support request for Noor,create_ticket,3,4,2
This needs attention: log a new support request for Inez,create_ticket,3,4,3
The requested operation is: log a new support request for Kofi,create_ticket,3,4,4
"For the current case, log a new support request for Zara",create_ticket,3,4,5
Could the system do the following: log a new support request for Mateo,create_ticket,3,4,6
The user needs us to log a new support request for Noor,create_ticket,3,4,7
Operational request: log a new support request for Inez,create_ticket,3,4,8
Complete this task safely: log a new support request for Kofi,create_ticket,3,4,9
create a case rather than only notifying someone,create_ticket,3,5,0
Please handle this: create a case rather than only notifying someone,create_ticket,3,5,1
Can someone take care of this: create a case rather than only notifying someone,create_ticket,3,5,2
This needs attention: create a case rather than only notifying someone,create_ticket,3,5,3
The requested operation is: create a case rather than only notifying someone,create_ticket,3,5,4
"For the current case, create a case rather than only notifying someone",create_ticket,3,5,5
Could the system do the following: create a case rather than only notifying someone,create_ticket,3,5,6
The user needs us to create a case rather than only notifying someone,create_ticket,3,5,7
Operational request: create a case rather than only notifying someone,create_ticket,3,5,8
Complete this task safely: create a case rather than only notifying someone,create_ticket,3,5,9
deliver an alert to the Platform team,send_notification,4,0,0
Please handle this: deliver an alert to the Risk team,send_notification,4,0,1
Can someone take care of this: deliver an alert to the Operations team,send_notification,4,0,2
This needs attention: deliver an alert to the Reliability team,send_notification,4,0,3
The requested operation is: deliver an alert to the Customer Care team,send_notification,4,0,4
"For the current case, deliver an alert to the Platform team",send_notification,4,0,5
Could the system do the following: deliver an alert to the Risk team,send_notification,4,0,6
The user needs us to deliver an alert to the Operations team,send_notification,4,0,7
Operational request: deliver an alert to the Reliability team,send_notification,4,0,8
Complete this task safely: deliver an alert to the Customer Care team,send_notification,4,0,9
inform Zara about the latest change,send_notification,4,1,0
Please handle this: inform Mateo about the latest change,send_notification,4,1,1
Can someone take care of this: inform Noor about the latest change,send_notification,4,1,2
This needs attention: inform Inez about the latest change,send_notification,4,1,3
The requested operation is: inform Kofi about the latest change,send_notification,4,1,4
"For the current case, inform Zara about the latest change",send_notification,4,1,5
Could the system do the following: inform Mateo about the latest change,send_notification,4,1,6
The user needs us to inform Noor about the latest change,send_notification,4,1,7
Operational request: inform Inez about the latest change,send_notification,4,1,8
Complete this task safely: inform Kofi about the latest change,send_notification,4,1,9
send the incident update to the intended recipients,send_notification,4,2,0
Please handle this: send the incident update to the intended recipients,send_notification,4,2,1
Can someone take care of this: send the incident update to the intended recipients,send_notification,4,2,2
This needs attention: send the incident update to the intended recipients,send_notification,4,2,3
The requested operation is: send the incident update to the intended recipients,send_notification,4,2,4
"For the current case, send the incident update to the intended recipients",send_notification,4,2,5
Could the system do the following: send the incident update to the intended recipients,send_notification,4,2,6
The user needs us to send the incident update to the intended recipients,send_notification,4,2,7
Operational request: send the incident update to the intended recipients,send_notification,4,2,8
Complete this task safely: send the incident update to the intended recipients,send_notification,4,2,9
notify the on-call group about search-node,send_notification,4,3,0
Please handle this: notify the on-call group about media-api,send_notification,4,3,1
Can someone take care of this: notify the on-call group about catalog-core,send_notification,4,3,2
This needs attention: notify the on-call group about identity-edge,send_notification,4,3,3
The requested operation is: notify the on-call group about ledger-worker,send_notification,4,3,4
"For the current case, notify the on-call group about search-node",send_notification,4,3,5
Could the system do the following: notify the on-call group about media-api,send_notification,4,3,6
The user needs us to notify the on-call group about catalog-core,send_notification,4,3,7
Operational request: notify the on-call group about identity-edge,send_notification,4,3,8
Complete this task safely: notify the on-call group about ledger-worker,send_notification,4,3,9
communicate the result to Zara without opening a case,send_notification,4,4,0
Please handle this: communicate the result to Mateo without opening a case,send_notification,4,4,1
Can someone take care of this: communicate the result to Noor without opening a case,send_notification,4,4,2
This needs attention: communicate the result to Inez without opening a case,send_notification,4,4,3
The requested operation is: communicate the result to Kofi without opening a case,send_notification,4,4,4
"For the current case, communicate the result to Zara without opening a case",send_notification,4,4,5
Could the system do the following: communicate the result to Mateo without opening a case,send_notification,4,4,6
The user needs us to communicate the result to Noor without opening a case,send_notification,4,4,7
Operational request: communicate the result to Inez without opening a case,send_notification,4,4,8
Complete this task safely: communicate the result to Kofi without opening a case,send_notification,4,4,9
distribute a warning message to Platform,send_notification,4,5,0
Please handle this: distribute a warning message to Risk,send_notification,4,5,1
Can someone take care of this: distribute a warning message to Operations,send_notification,4,5,2
This needs attention: distribute a warning message to Reliability,send_notification,4,5,3
The requested operation is: distribute a warning message to Customer Care,send_notification,4,5,4
"For the current case, distribute a warning message to Platform",send_notification,4,5,5
Could the system do the following: distribute a warning message to Risk,send_notification,4,5,6
The user needs us to distribute a warning message to Operations,send_notification,4,5,7
Operational request: distribute a warning message to Reliability,send_notification,4,5,8
Complete this task safely: distribute a warning message to Customer Care,send_notification,4,5,9
remove search-node from network access immediately,quarantine_system,5,0,0
Please handle this: remove media-api from network access immediately,quarantine_system,5,0,1
Can someone take care of this: remove catalog-core from network access immediately,quarantine_system,5,0,2
This needs attention: remove identity-edge from network access immediately,quarantine_system,5,0,3
The requested operation is: remove ledger-worker from network access immediately,quarantine_system,5,0,4
"For the current case, remove search-node from network access immediately",quarantine_system,5,0,5
Could the system do the following: remove media-api from network access immediately,quarantine_system,5,0,6
The user needs us to remove catalog-core from network access immediately,quarantine_system,5,0,7
Operational request: remove identity-edge from network access immediately,quarantine_system,5,0,8
Complete this task safely: remove ledger-worker from network access immediately,quarantine_system,5,0,9
isolate the affected host while investigation continues,quarantine_system,5,1,0
Please handle this: isolate the affected host while investigation continues,quarantine_system,5,1,1
Can someone take care of this: isolate the affected host while investigation continues,quarantine_system,5,1,2
This needs attention: isolate the affected host while investigation continues,quarantine_system,5,1,3
The requested operation is: isolate the affected host while investigation continues,quarantine_system,5,1,4
"For the current case, isolate the affected host while investigation continues",quarantine_system,5,1,5
Could the system do the following: isolate the affected host while investigation continues,quarantine_system,5,1,6
The user needs us to isolate the affected host while investigation continues,quarantine_system,5,1,7
Operational request: isolate the affected host while investigation continues,quarantine_system,5,1,8
Complete this task safely: isolate the affected host while investigation continues,quarantine_system,5,1,9
contain search-node so it cannot communicate with other systems,quarantine_system,5,2,0
Please handle this: contain media-api so it cannot communicate with other systems,quarantine_system,5,2,1
Can someone take care of this: contain catalog-core so it cannot communicate with other systems,quarantine_system,5,2,2
This needs attention: contain identity-edge so it cannot communicate with other systems,quarantine_system,5,2,3
The requested operation is: contain ledger-worker so it cannot communicate with other systems,quarantine_system,5,2,4
"For the current case, contain search-node so it cannot communicate with other systems",quarantine_system,5,2,5
Could the system do the following: contain media-api so it cannot communicate with other systems,quarantine_system,5,2,6
The user needs us to contain catalog-core so it cannot communicate with other systems,quarantine_system,5,2,7
Operational request: contain identity-edge so it cannot communicate with other systems,quarantine_system,5,2,8
Complete this task safely: contain ledger-worker so it cannot communicate with other systems,quarantine_system,5,2,9
place the suspicious machine in an isolated state,quarantine_system,5,3,0
Please handle this: place the suspicious machine in an isolated state,quarantine_system,5,3,1
Can someone take care of this: place the suspicious machine in an isolated state,quarantine_system,5,3,2
This needs attention: place the suspicious machine in an isolated state,quarantine_system,5,3,3
The requested operation is: place the suspicious machine in an isolated state,quarantine_system,5,3,4
"For the current case, place the suspicious machine in an isolated state",quarantine_system,5,3,5
Could the system do the following: place the suspicious machine in an isolated state,quarantine_system,5,3,6
The user needs us to place the suspicious machine in an isolated state,quarantine_system,5,3,7
Operational request: place the suspicious machine in an isolated state,quarantine_system,5,3,8
Complete this task safely: place the suspicious machine in an isolated state,quarantine_system,5,3,9
disconnect host host-v91 rather than merely scanning it,quarantine_system,5,4,0
Please handle this: disconnect host host-k17 rather than merely scanning it,quarantine_system,5,4,1
Can someone take care of this: disconnect host host-m28 rather than merely scanning it,quarantine_system,5,4,2
This needs attention: disconnect host host-q42 rather than merely scanning it,quarantine_system,5,4,3
The requested operation is: disconnect host host-r63 rather than merely scanning it,quarantine_system,5,4,4
"For the current case, disconnect host host-v91 rather than merely scanning it",quarantine_system,5,4,5
Could the system do the following: disconnect host host-k17 rather than merely scanning it,quarantine_system,5,4,6
The user needs us to disconnect host host-m28 rather than merely scanning it,quarantine_system,5,4,7
Operational request: disconnect host host-q42 rather than merely scanning it,quarantine_system,5,4,8
Complete this task safely: disconnect host host-r63 rather than merely scanning it,quarantine_system,5,4,9
prevent the compromised endpoint from reaching the network,quarantine_system,5,5,0
Please handle this: prevent the compromised endpoint from reaching the network,quarantine_system,5,5,1
Can someone take care of this: prevent the compromised endpoint from reaching the network,quarantine_system,5,5,2
This needs attention: prevent the compromised endpoint from reaching the network,quarantine_system,5,5,3
The requested operation is: prevent the compromised endpoint from reaching the network,quarantine_system,5,5,4
"For the current case, prevent the compromised endpoint from reaching the network",quarantine_system,5,5,5
Could the system do the following: prevent the compromised endpoint from reaching the network,quarantine_system,5,5,6
The user needs us to prevent the compromised endpoint from reaching the network,quarantine_system,5,5,7
Operational request: prevent the compromised endpoint from reaching the network,quarantine_system,5,5,8
Complete this task safely: prevent the compromised endpoint from reaching the network,quarantine_system,5,5,9
inspect host-v91 for malicious software and indicators,scan_malware,6,0,0
Please handle this: inspect host-k17 for malicious software and indicators,scan_malware,6,0,1
Can someone take care of this: inspect host-m28 for malicious software and indicators,scan_malware,6,0,2
This needs attention: inspect host-q42 for malicious software and indicators,scan_malware,6,0,3
The requested operation is: inspect host-r63 for malicious software and indicators,scan_malware,6,0,4
"For the current case, inspect host-v91 for malicious software and indicators",scan_malware,6,0,5
Could the system do the following: inspect host-k17 for malicious software and indicators,scan_malware,6,0,6
The user needs us to inspect host-m28 for malicious software and indicators,scan_malware,6,0,7
Operational request: inspect host-q42 for malicious software and indicators,scan_malware,6,0,8
Complete this task safely: inspect host-r63 for malicious software and indicators,scan_malware,6,0,9
perform a security sweep of search-node,scan_malware,6,1,0
Please handle this: perform a security sweep of media-api,scan_malware,6,1,1
Can someone take care of this: perform a security sweep of catalog-core,scan_malware,6,1,2
This needs attention: perform a security sweep of identity-edge,scan_malware,6,1,3
The requested operation is: perform a security sweep of ledger-worker,scan_malware,6,1,4
"For the current case, perform a security sweep of search-node",scan_malware,6,1,5
Could the system do the following: perform a security sweep of media-api,scan_malware,6,1,6
The user needs us to perform a security sweep of catalog-core,scan_malware,6,1,7
Operational request: perform a security sweep of identity-edge,scan_malware,6,1,8
Complete this task safely: perform a security sweep of ledger-worker,scan_malware,6,1,9
look for threats on the endpoint without isolating it,scan_malware,6,2,0
Please handle this: look for threats on the endpoint without isolating it,scan_malware,6,2,1
Can someone take care of this: look for threats on the endpoint without isolating it,scan_malware,6,2,2
This needs attention: look for threats on the endpoint without isolating it,scan_malware,6,2,3
The requested operation is: look for threats on the endpoint without isolating it,scan_malware,6,2,4
"For the current case, look for threats on the endpoint without isolating it",scan_malware,6,2,5
Could the system do the following: look for threats on the endpoint without isolating it,scan_malware,6,2,6
The user needs us to look for threats on the endpoint without isolating it,scan_malware,6,2,7
Operational request: look for threats on the endpoint without isolating it,scan_malware,6,2,8
Complete this task safely: look for threats on the endpoint without isolating it,scan_malware,6,2,9
analyze host host-v91 for signs of infection,scan_malware,6,3,0
Please handle this: analyze host host-k17 for signs of infection,scan_malware,6,3,1
Can someone take care of this: analyze host host-m28 for signs of infection,scan_malware,6,3,2
This needs attention: analyze host host-q42 for signs of infection,scan_malware,6,3,3
The requested operation is: analyze host host-r63 for signs of infection,scan_malware,6,3,4
"For the current case, analyze host host-v91 for signs of infection",scan_malware,6,3,5
Could the system do the following: analyze host host-k17 for signs of infection,scan_malware,6,3,6
The user needs us to analyze host host-m28 for signs of infection,scan_malware,6,3,7
Operational request: analyze host host-q42 for signs of infection,scan_malware,6,3,8
Complete this task safely: analyze host host-r63 for signs of infection,scan_malware,6,3,9
run a malware assessment against search-node,scan_malware,6,4,0
Please handle this: run a malware assessment against media-api,scan_malware,6,4,1
Can someone take care of this: run a malware assessment against catalog-core,scan_malware,6,4,2
This needs attention: run a malware assessment against identity-edge,scan_malware,6,4,3
The requested operation is: run a malware assessment against ledger-worker,scan_malware,6,4,4
"For the current case, run a malware assessment against search-node",scan_malware,6,4,5
Could the system do the following: run a malware assessment against media-api,scan_malware,6,4,6
The user needs us to run a malware assessment against catalog-core,scan_malware,6,4,7
Operational request: run a malware assessment against identity-edge,scan_malware,6,4,8
Complete this task safely: run a malware assessment against ledger-worker,scan_malware,6,4,9
check the machine for suspicious files and vulnerabilities,scan_malware,6,5,0
Please handle this: check the machine for suspicious files and vulnerabilities,scan_malware,6,5,1
Can someone take care of this: check the machine for suspicious files and vulnerabilities,scan_malware,6,5,2
This needs attention: check the machine for suspicious files and vulnerabilities,scan_malware,6,5,3
The requested operation is: check the machine for suspicious files and vulnerabilities,scan_malware,6,5,4
"For the current case, check the machine for suspicious files and vulnerabilities",scan_malware,6,5,5
Could the system do the following: check the machine for suspicious files and vulnerabilities,scan_malware,6,5,6
The user needs us to check the machine for suspicious files and vulnerabilities,scan_malware,6,5,7
Operational request: check the machine for suspicious files and vulnerabilities,scan_malware,6,5,8
Complete this task safely: check the machine for suspicious files and vulnerabilities,scan_malware,6,5,9
compile the quarterly figures into a reviewable document,generate_report,7,0,0
Please handle this: compile the quarterly figures into a reviewable document,generate_report,7,0,1
Can someone take care of this: compile the quarterly figures into a reviewable document,generate_report,7,0,2
This needs attention: compile the quarterly figures into a reviewable document,generate_report,7,0,3
The requested operation is: compile the quarterly figures into a reviewable document,generate_report,7,0,4
"For the current case, compile the quarterly figures into a reviewable document",generate_report,7,0,5
Could the system do the following: compile the quarterly figures into a reviewable document,generate_report,7,0,6
The user needs us to compile the quarterly figures into a reviewable document,generate_report,7,0,7
Operational request: compile the quarterly figures into a reviewable document,generate_report,7,0,8
Complete this task safely: compile the quarterly figures into a reviewable document,generate_report,7,0,9
produce an analytics summary for the Platform team,generate_report,7,1,0
Please handle this: produce an analytics summary for the Risk team,generate_report,7,1,1
Can someone take care of this: produce an analytics summary for the Operations team,generate_report,7,1,2
This needs attention: produce an analytics summary for the Reliability team,generate_report,7,1,3
The requested operation is: produce an analytics summary for the Customer Care team,generate_report,7,1,4
"For the current case, produce an analytics summary for the Platform team",generate_report,7,1,5
Could the system do the following: produce an analytics summary for the Risk team,generate_report,7,1,6
The user needs us to produce an analytics summary for the Operations team,generate_report,7,1,7
