canonical_dag_hash,graph_key,dag_text,tools,edges,tool_count,edge_count,read_count,edit_count,orchestrate_count,action_label,included_primary,source_files,declared_splits
beb163964d63094c,9b28a9e41254d109,"escalate_case_to_human -> check_service_status, write_database_record -> escalate_case_to_human, write_database_record -> read_access_logs, write_database_record -> read_subscription_status",write_database_record;read_access_logs;read_subscription_status;escalate_case_to_human;check_service_status,0->1;0->2;0->3;3->4,5,4,3,1,1,read,True,train.csv,train
9b33ecb57f1cfa95,19958212423ae68a,"create_support_ticket -> update_subscription_plan, read_subscription_status -> create_support_ticket, reset_user_password -> route_task_by_condition, route_task_by_condition -> read_subscription_status",reset_user_password;route_task_by_condition;read_subscription_status;create_support_ticket;update_subscription_plan,0->1;1->2;2->3;3->4,5,4,1,3,1,edit,True,train.csv,train
664bc3c87078eddc,c98f838869e586e4,"create_support_ticket -> update_subscription_plan, read_subscription_status -> create_support_ticket, reset_user_password -> route_task_by_condition, route_task_by_condition -> update_subscription_plan",reset_user_password;route_task_by_condition;read_subscription_status;create_support_ticket;update_subscription_plan,0->1;1->4;2->3;3->4,5,4,1,3,1,edit,True,train.csv,train
2bc9f6ddfd96b458,6423bbef7d46eb13,"create_support_ticket -> update_subscription_plan, reset_user_password -> create_support_ticket, reset_user_password -> read_subscription_status, reset_user_password -> route_task_by_condition",reset_user_password;route_task_by_condition;read_subscription_status;create_support_ticket;update_subscription_plan,0->1;0->2;0->3;3->4,5,4,1,3,1,edit,True,train.csv,train
15a2d5e30d354b45,b86b4834c38d7532,"edit_username -> scan_system_for_malware, route_task_by_condition -> update_subscription_plan, update_subscription_plan -> edit_username",route_task_by_condition;update_subscription_plan;edit_username;scan_system_for_malware,0->1;1->2;2->3,4,3,1,2,1,edit,True,train.csv,train
fca207e65f7cdbb8,3ac51509ab2495a7,"route_task_by_condition -> edit_username, route_task_by_condition -> scan_system_for_malware, route_task_by_condition -> update_subscription_plan",route_task_by_condition;update_subscription_plan;edit_username;scan_system_for_malware,0->1;0->2;0->3,4,3,1,2,1,edit,True,train.csv,train
ed45cd799aa1d1e4,6b6799d950bed8b6,"edit_username -> scan_system_for_malware, route_task_by_condition -> scan_system_for_malware, update_subscription_plan -> scan_system_for_malware",route_task_by_condition;update_subscription_plan;edit_username;scan_system_for_malware,0->3;1->3;2->3,4,3,1,2,1,edit,True,train.csv,train
7d67f8d05a2fd13e,6fd49d60c44f91c7,"edit_username -> scan_system_for_malware, route_task_by_condition -> edit_username, update_subscription_plan -> edit_username",route_task_by_condition;update_subscription_plan;edit_username;scan_system_for_malware,0->2;1->2;2->3,4,3,1,2,1,edit,True,train.csv,train
2dbdb609e5af0873,9f48520e67972253,"read_access_logs -> reset_user_password, read_access_logs -> write_database_record",read_access_logs;reset_user_password;write_database_record,0->1;0->2,3,2,1,2,0,edit,True,train.csv,train
b4220fdc4cf38668,622dd781d2d9f746,"read_access_logs -> write_database_record, reset_user_password -> write_database_record",read_access_logs;reset_user_password;write_database_record,0->2;1->2,3,2,1,2,0,edit,True,train.csv,train
a1c0397ec9ab4764,8243ad67fffe0c3c,"dispatch_message_to_usergroup -> read_database_record, dispatch_message_to_usergroup -> read_user_profile",dispatch_message_to_usergroup;read_user_profile;read_database_record,0->1;0->2,3,2,2,0,1,read,True,train.csv,train
b94bd8aaed45c5e0,7275a99c23834c60,"dispatch_message_to_usergroup -> read_database_record, read_user_profile -> read_database_record",dispatch_message_to_usergroup;read_user_profile;read_database_record,0->2;1->2,3,2,2,0,1,read,True,train.csv,train
3caf9b54bafde8c8,960b14e4ea8d4545,"read_access_logs -> dispatch_message_to_usergroup, restart_service -> read_access_logs",restart_service;read_access_logs;dispatch_message_to_usergroup,0->1;1->2,3,2,1,1,1,mixed,False,train.csv,train
45eb9057a6235601,53f277899207b4c9,"restart_service -> dispatch_message_to_usergroup, restart_service -> read_access_logs",restart_service;read_access_logs;dispatch_message_to_usergroup,0->1;0->2,3,2,1,1,1,mixed,False,train.csv,train
a19737c931bce392,c3a6b8bbee6413b9,"read_access_logs -> dispatch_message_to_usergroup, restart_service -> dispatch_message_to_usergroup",restart_service;read_access_logs;dispatch_message_to_usergroup,0->2;1->2,3,2,1,1,1,mixed,False,train.csv,train
7a3d89fdcc1950b8,06c23d91dcd2120a,"edit_username -> update_subscription_plan, read_database_record -> route_task_by_condition, route_task_by_condition -> create_support_ticket, update_subscription_plan -> read_database_record",edit_username;update_subscription_plan;read_database_record;route_task_by_condition;create_support_ticket,0->1;1->2;2->3;3->4,5,4,1,3,1,edit,True,train.csv,train
3735fd0d5f3ef6b6,ac500935c343c787,"edit_username -> read_database_record, read_database_record -> create_support_ticket, read_database_record -> route_task_by_condition, update_subscription_plan -> read_database_record",edit_username;update_subscription_plan;read_database_record;route_task_by_condition;create_support_ticket,0->2;1->2;2->3;2->4,5,4,1,3,1,edit,True,train.csv,train
1e9db1be863a7a5b,4576e8075626e977,"edit_username -> update_subscription_plan, read_database_record -> route_task_by_condition, route_task_by_condition -> create_support_ticket, update_subscription_plan -> create_support_ticket",edit_username;update_subscription_plan;read_database_record;route_task_by_condition;create_support_ticket,0->1;1->4;2->3;3->4,5,4,1,3,1,edit,True,train.csv,train
36ccfd3f5b9f46b0,a16c800c3f2e0abf,"edit_username -> read_database_record, edit_username -> route_task_by_condition, edit_username -> update_subscription_plan, route_task_by_condition -> create_support_ticket",edit_username;update_subscription_plan;read_database_record;route_task_by_condition;create_support_ticket,0->1;0->2;0->3;3->4,5,4,1,3,1,edit,True,train.csv,train
c1c8a3a5923b0483,12165ba29586a3ae,"escalate_case_to_human -> read_user_profile, read_subscription_status -> escalate_case_to_human, reset_user_password -> read_subscription_status, write_database_record -> reset_user_password",write_database_record;reset_user_password;read_subscription_status;escalate_case_to_human;read_user_profile,0->1;1->2;2->3;3->4,5,4,2,2,1,mixed,False,train.csv,train
81eb04f6137ade2b,55bf005fb80081f9,"read_subscription_status -> escalate_case_to_human, read_subscription_status -> read_user_profile, reset_user_password -> read_subscription_status, write_database_record -> read_subscription_status",write_database_record;reset_user_password;read_subscription_status;escalate_case_to_human;read_user_profile,0->2;1->2;2->3;2->4,5,4,2,2,1,mixed,False,train.csv,train
4a18c0add0b80840,f35c8857276d22b8,"escalate_case_to_human -> read_user_profile, read_subscription_status -> escalate_case_to_human, reset_user_password -> read_user_profile, write_database_record -> reset_user_password",write_database_record;reset_user_password;read_subscription_status;escalate_case_to_human;read_user_profile,0->1;1->4;2->3;3->4,5,4,2,2,1,mixed,False,train.csv,train
c5ba10ba8bc1075b,ef646426aeaddd5e,"escalate_case_to_human -> read_user_profile, write_database_record -> escalate_case_to_human, write_database_record -> read_subscription_status, write_database_record -> reset_user_password",write_database_record;reset_user_password;read_subscription_status;escalate_case_to_human;read_user_profile,0->1;0->2;0->3;3->4,5,4,2,2,1,mixed,False,train.csv,train
689baf93dda20236,408e41f6a17766d4,"create_support_ticket -> read_database_record, read_database_record -> restart_service, reset_user_password -> read_subscription_status, restart_service -> reset_user_password",create_support_ticket;read_database_record;restart_service;reset_user_password;read_subscription_status,0->1;1->2;2->3;3->4,5,4,2,3,0,edit,True,train.csv,train
9f4824bdaca5c8de,75a8b338fde4c4e1,"create_support_ticket -> restart_service, read_database_record -> restart_service, restart_service -> read_subscription_status, restart_service -> reset_user_password",create_support_ticket;read_database_record;restart_service;reset_user_password;read_subscription_status,0->2;1->2;2->3;2->4,5,4,2,3,0,edit,True,train.csv,train
a3c5b1042bb96ec4,6ec9d3da369d4d62,"create_support_ticket -> read_database_record, read_database_record -> read_subscription_status, reset_user_password -> read_subscription_status, restart_service -> reset_user_password",create_support_ticket;read_database_record;restart_service;reset_user_password;read_subscription_status,0->1;1->4;2->3;3->4,5,4,2,3,0,edit,True,train.csv,train
