candidate_id,dag_hash,dag_text,is_one_node,n_nodes,n_edges
31,afe6acdefb1de94d,"create_ticket -> db_write, create_ticket -> update_subscription, db_write -> check_status, update_subscription -> check_status",False,4,4
32,88e80e796c4d97c3,"create_ticket -> db_read, create_ticket -> db_write, db_read -> quarantine_system, db_write -> quarantine_system",False,4,4
33,829df267642294d9,"quarantine_system -> scan_malware, reset_password -> quarantine_system, reset_password -> restart_service, restart_service -> scan_malware",False,4,4
34,3c48e7580e876366,"db_write -> scan_malware, db_write -> update_subscription, scan_malware -> quarantine_system, update_subscription -> quarantine_system",False,4,4
35,1f8012308a5fe7eb,"create_ticket -> scan_malware, log_audit_event -> scan_malware, send_notification -> create_ticket, send_notification -> log_audit_event",False,4,4
36,e20bcdd4c77f0f71,"check_status -> escalate_to_human, check_status -> restart_service, escalate_to_human -> create_ticket, restart_service -> create_ticket",False,4,4
37,c159f28bd994f71d,"check_status -> log_audit_event, check_status -> reset_password, log_audit_event -> restart_service, reset_password -> restart_service",False,4,4
38,c075ba5194905a51,db_read,True,1,0
39,2ba287c7bceef863,db_write,True,1,0
40,4632095c7ecdbea3,reset_password,True,1,0
41,b6eb2205ba11c689,create_ticket,True,1,0
42,3b5c38def94bf432,send_notification,True,1,0
43,43bbfbd408acca12,quarantine_system,True,1,0
44,f65a937304c782d7,scan_malware,True,1,0
45,e016d1581a5ac7e4,generate_report,True,1,0
46,87eec42c34918c50,process_refund,True,1,0
47,b4fee0a1fa908eb2,update_subscription,True,1,0
48,8b972a29695f50ff,provision_vm,True,1,0
49,09a99426b009dc67,restart_service,True,1,0
50,ae4042df120cfd08,check_status,True,1,0
51,71ea91f239af7106,escalate_to_human,True,1,0
52,448970c79532232f,log_audit_event,True,1,0
