id,query,ground_truth,domain_note
153,All I need is for someone to change Eve's auth credentials.,reset_password,
154,Just reset Charlie's password. Nothing else needed.,reset_password,
155,All I need is for someone to force a credential change for Eve.,reset_password,
156,Simple request — rotate Grace's credentials and we're good.,reset_password,
157,Simple request — change Alice's auth credentials and we're good.,reset_password,
158,I need you to reset Frank's password.,reset_password,
159,All I need is for someone to rotate Frank's credentials.,reset_password,
160,"For the HR team, reset Alice's password.",reset_password,
161,All I need is for someone to force a credential change for Grace.,reset_password,
162,Simple request — rotate Charlie's credentials and we're good.,reset_password,
163,All I need is for someone to give Grace a new password.,reset_password,
164,Quick task: change Frank's auth credentials.,reset_password,
165,I need you to nuke Charlie's old login and issue a fresh one.,reset_password,
166,Quick one — give Alice a new password.,reset_password,
167,"Hey, can you nuke Charlie's old login and issue a fresh one.",reset_password,
168,Quick task: nuke Diana's old login and issue a fresh one.,reset_password,
169,Simple request — rotate Bob's credentials and we're good.,reset_password,
170,All I need is for someone to nuke Diana's old login and issue a fresh one.,reset_password,
171,Just nuke Alice's old login and issue a fresh one. Nothing else needed.,reset_password,
172,Quick task: reset Frank's password.,reset_password,
173,Just reset Frank's password. Nothing else needed.,reset_password,
174,All I need is for someone to nuke Charlie's old login and issue a fresh one.,reset_password,
175,All I need is for someone to change Eve's auth credentials.,reset_password,
176,Simple request — nuke Grace's old login and issue a fresh one and we're good.,reset_password,
177,All I need is for someone to nuke Bob's old login and issue a fresh one.,reset_password,
178,Simple request — reset Eve's password and we're good.,reset_password,
179,Quick task: nuke Alice's old login and issue a fresh one.,reset_password,
180,Simple request — force a credential change for Grace and we're good.,reset_password,
181,The Marketing team needs us to nuke Frank's old login and issue a fresh one.,reset_password,
182,Simple request — reset Grace's password and we're good.,reset_password,
183,Just reset Frank's password. Nothing else needed.,reset_password,
184,From HR: reset Eve's password.,reset_password,
185,Quick task: give Bob a new password.,reset_password,
186,Quick task: nuke Bob's old login and issue a fresh one.,reset_password,
187,Just nuke Charlie's old login and issue a fresh one. Nothing else needed.,reset_password,
188,Just nuke Grace's old login and issue a fresh one. Nothing else needed.,reset_password,
189,Quick task: nuke Bob's old login and issue a fresh one.,reset_password,
190,Simple request — nuke Eve's old login and issue a fresh one and we're good.,reset_password,
191,Simple request — nuke Grace's old login and issue a fresh one and we're good.,reset_password,
192,All I need is for someone to nuke Eve's old login and issue a fresh one.,reset_password,
193,Quick task: force a credential change for Alice.,reset_password,
194,Simple request — change Eve's auth credentials and we're good.,reset_password,
195,All I need is for someone to change Charlie's auth credentials.,reset_password,
196,Quick task: give Diana a new password.,reset_password,
197,All I need is for someone to change Alice's auth credentials.,reset_password,
198,Time to rotate Alice's credentials.,reset_password,
199,Quick task: force a credential change for Charlie.,reset_password,
200,Simple request — nuke Grace's old login and issue a fresh one and we're good.,reset_password,
201,Simple request — file an incident report about payment-api-03 and we're good.,create_ticket,
202,Please open a ticket for Bob.,create_ticket,
203,Just file a bug about prod-web-01. Nothing else needed.,create_ticket,
204,"Hey, can you log a Jira for Bob's issue.",create_ticket,
205,All I need is for someone to create a support case for HR.,create_ticket,
206,Quick task: spin up a tracking ticket for Alice.,create_ticket,
207,Simple request — log a Jira for Alice's issue and we're good.,create_ticket,
208,Just open a ticket for Frank. Nothing else needed.,create_ticket,
209,All I need is for someone to file a bug about auth-svc-04.,create_ticket,
210,Grace reported an issue — spin up a tracking ticket for Alice.,create_ticket,
211,Quick task: file a bug about ml-infer-05.,create_ticket,
212,Quick task: file a bug about staging-db-02.,create_ticket,
213,Simple request — create a ticket about the Finance issue and we're good.,create_ticket,
214,Just spin up a tracking ticket for Frank. Nothing else needed.,create_ticket,
215,Urgent: log a Jira for Diana's issue.,create_ticket,
216,Just create a ticket about the HR issue. Nothing else needed.,create_ticket,
217,All I need is for someone to file a bug about staging-db-02.,create_ticket,
218,Just spin up a tracking ticket for Charlie. Nothing else needed.,create_ticket,
219,Just spin up a tracking ticket for Eve. Nothing else needed.,create_ticket,
220,Quick task: log a Jira for Grace's issue.,create_ticket,
221,Eve reported an issue — file a bug about auth-svc-04.,create_ticket,
222,Quick task: open a ticket for Bob.,create_ticket,
223,Do me a favor and create a support case for HR.,create_ticket,
224,Simple request — create a support case for Finance and we're good.,create_ticket,
225,Quick task: file an incident report about cdn-edge-06.,create_ticket,
226,Quick task: file a bug about payment-api-03.,create_ticket,
227,I need you to open a ticket for Diana.,create_ticket,
228,Quick task: log a Jira for Frank's issue.,create_ticket,
229,Frank reported an issue — file an incident report about payment-api-03.,create_ticket,
230,Simple request — file an incident report about auth-svc-04 and we're good.,create_ticket,
231,Just file an incident report about ml-infer-05. Nothing else needed.,create_ticket,
232,We gotta file a bug about auth-svc-04.,create_ticket,
233,Simple request — file an incident report about prod-web-01 and we're good.,create_ticket,
234,Quick task: spin up a tracking ticket for Bob.,create_ticket,
235,Just spin up a tracking ticket for Bob. Nothing else needed.,create_ticket,
236,We gotta create a support case for Engineering.,create_ticket,
237,Quick task: create a ticket about the Marketing issue.,create_ticket,
238,Simple request — spin up a tracking ticket for Alice and we're good.,create_ticket,
239,All I need is for someone to open a ticket for Eve.,create_ticket,
240,Quick task: log a Jira for Eve's issue.,create_ticket,
241,Quick task: spin up a tracking ticket for Bob.,create_ticket,
242,All I need is for someone to create a support case for HR.,create_ticket,
243,Do me a favor and file a bug about staging-db-02.,create_ticket,
244,Quick task: file a bug about prod-web-01.,create_ticket,
245,Alice is asking us to file a bug about cdn-edge-06.,create_ticket,
246,Quick task: create a support case for Engineering.,create_ticket,
247,"Per Bob's request, spin up a tracking ticket for Alice.",create_ticket,
248,Just file a bug about prod-web-01. Nothing else needed.,create_ticket,
249,Simple request — log a Jira for Grace's issue and we're good.,create_ticket,
250,Simple request — create a support case for Marketing and we're good.,create_ticket,
251,Just log a Jira for Alice's issue. Nothing else needed.,create_ticket,
252,Just file a bug about ml-infer-05. Nothing else needed.,create_ticket,
253,All I need is for someone to open a ticket for Bob.,create_ticket,
254,Just log a Jira for Charlie's issue. Nothing else needed.,create_ticket,
255,Quick task: file an incident report about cdn-edge-06.,create_ticket,
256,Just create a ticket about the Legal issue. Nothing else needed.,create_ticket,
257,Just file a bug about staging-db-02. Nothing else needed.,create_ticket,
258,Quick task: create a support case for HR.,create_ticket,
259,All I need is for someone to spin up a tracking ticket for Bob.,create_ticket,
260,Urgent: file a bug about cdn-edge-06.,create_ticket,
261,All I need is for someone to file a bug about ml-infer-05.,create_ticket,
262,Simple request — file a bug about ml-infer-05 and we're good.,create_ticket,
263,Simple request — create a ticket about the Legal issue and we're good.,create_ticket,
264,Simple request — file a bug about staging-db-02 and we're good.,create_ticket,
265,Simple request — log a Jira for Grace's issue and we're good.,create_ticket,
266,All I need is for someone to open a ticket for Diana.,create_ticket,
267,Just open a ticket for Grace. Nothing else needed.,create_ticket,
268,We gotta send a heads-up to Legal.,send_notification,
269,Simple request — blast an alert to Finance and we're good.,send_notification,
270,"Hey, can you notify the Engineering team.",send_notification,
271,Quick task: email Alice the update.,send_notification,
272,Quick task: blast an alert to Legal.,send_notification,
273,All I need is for someone to fire off a notification to Charlie.,send_notification,
274,All I need is for someone to send a heads-up to Legal.,send_notification,
275,Quick task: blast an alert to Legal.,send_notification,
276,From Engineering: shoot Diana an email.,send_notification,
277,Quick task: shoot Frank an email.,send_notification,
278,Quick task: send a heads-up to Engineering.,send_notification,
279,Quick task: blast an alert to Engineering.,send_notification,
280,All I need is for someone to email Diana the update.,send_notification,
281,Just notify the Marketing team. Nothing else needed.,send_notification,
282,All I need is for someone to notify the Engineering team.,send_notification,
283,All I need is for someone to fire off a notification to Bob.,send_notification,
284,All I need is for someone to fire off a notification to Bob.,send_notification,
285,Just blast an alert to Finance. Nothing else needed.,send_notification,
286,All I need is for someone to blast an alert to HR.,send_notification,
287,Quick task: ping Diana about it.,send_notification,
288,Just shoot Bob an email. Nothing else needed.,send_notification,
289,Do me a favor and send a heads-up to Legal.,send_notification,
290,All I need is for someone to email Bob the update.,send_notification,
291,Just ping Charlie about it. Nothing else needed.,send_notification,
292,From Legal: notify the Finance team.,send_notification,
293,Simple request — fire off a notification to Grace and we're good.,send_notification,
294,Quick task: fire off a notification to Alice.,send_notification,
295,All I need is for someone to ping Diana about it.,send_notification,
296,All I need is for someone to fire off a notification to Grace.,send_notification,
297,I need you to send a heads-up to HR.,send_notification,
298,All I need is for someone to send a heads-up to Engineering.,send_notification,
299,Just notify the Engineering team. Nothing else needed.,send_notification,
300,Quick task: shoot Frank an email.,send_notification,
301,From Engineering: fire off a notification to Eve.,send_notification,
302,I need you to shoot Alice an email.,send_notification,
303,I need you to blast an alert to Finance.,send_notification,
304,Quick task: fire off a notification to Bob.,send_notification,
305,All I need is for someone to email Diana the update.,send_notification,
306,All I need is for someone to send a heads-up to Legal.,send_notification,
307,Quick task: shoot Diana an email.,send_notification,
308,"Per Bob's request, email Grace the update.",send_notification,
309,Just email Diana the update. Nothing else needed.,send_notification,
310,Simple request — email Alice the update and we're good.,send_notification,
311,Quick task: fire off a notification to Bob.,send_notification,
312,Just ping Diana about it. Nothing else needed.,send_notification,
313,Quick task: notify the Engineering team.,send_notification,
314,Simple request — blast an alert to Legal and we're good.,send_notification,
315,All I need is for someone to notify the Marketing team.,send_notification,
316,Simple request — fire off a notification to Grace and we're good.,send_notification,
317,Quick task: email Grace the update.,send_notification,
318,I need you to email Diana the update.,send_notification,
319,All I need is for someone to ping Charlie about it.,send_notification,
320,All I need is for someone to ping Diana about it.,send_notification,
321,Simple request — send a heads-up to HR and we're good.,send_notification,
322,Quick task: ping Frank about it.,send_notification,
323,We gotta ping Frank about it.,send_notification,
324,The Legal team needs us to notify the Finance team.,send_notification,
325,All I need is for someone to send a heads-up to Finance.,send_notification,
326,Quick task: fire off a notification to Charlie.,send_notification,
327,Quick task: shoot Bob an email.,send_notification,
328,Just shoot Alice an email. Nothing else needed.,send_notification,
329,All I need is for someone to notify the HR team.,send_notification,
330,Quick task: email Frank the update.,send_notification,
331,Quick task: ping Eve about it.,send_notification,
332,Quick task: send a heads-up to Engineering.,send_notification,
333,The Marketing team needs us to notify the Engineering team.,send_notification,
334,Simple request — blast an alert to Engineering and we're good.,send_notification,
335,Quick task: isolate ml-infer-05.,quarantine_system,
336,Quick task: lock down auth-svc-04.,quarantine_system,
337,Quick task: quarantine ml-infer-05.,quarantine_system,
338,Just lock down ml-infer-05. Nothing else needed.,quarantine_system,
339,All I need is for someone to pull staging-db-02 from production.,quarantine_system,
340,Quick task: pull prod-web-01 from production.,quarantine_system,
341,Just yank ml-infer-05 off the network. Nothing else needed.,quarantine_system,
342,Just pull prod-web-01 from production. Nothing else needed.,quarantine_system,
343,All I need is for someone to isolate staging-db-02.,quarantine_system,
344,"When you get a chance, isolate prod-web-01.",quarantine_system,
345,Quick task: disconnect ml-infer-05 from everything.,quarantine_system,
346,Quick task: isolate prod-web-01.,quarantine_system,
347,Just pull cdn-edge-06 from production. Nothing else needed.,quarantine_system,
348,Just yank staging-db-02 off the network. Nothing else needed.,quarantine_system,
349,Simple request — disconnect auth-svc-04 from everything and we're good.,quarantine_system,
350,The HR team needs us to pull prod-web-01 from production.,quarantine_system,
351,Simple request — pull staging-db-02 from production and we're good.,quarantine_system,
352,All I need is for someone to quarantine ml-infer-05.,quarantine_system,
353,"For the Engineering team, lock down ml-infer-05.",quarantine_system,
354,Simple request — disconnect ml-infer-05 from everything and we're good.,quarantine_system,
355,Simple request — pull prod-web-01 from production and we're good.,quarantine_system,
356,Simple request — disconnect auth-svc-04 from everything and we're good.,quarantine_system,
357,All I need is for someone to pull cdn-edge-06 from production.,quarantine_system,
358,Simple request — lock down ml-infer-05 and we're good.,quarantine_system,
359,Time to lock down ml-infer-05.,quarantine_system,
360,All I need is for someone to pull ml-infer-05 from production.,quarantine_system,
361,Do me a favor and yank payment-api-03 off the network.,quarantine_system,
362,Just pull payment-api-03 from production. Nothing else needed.,quarantine_system,
363,Quick task: pull staging-db-02 from production.,quarantine_system,
364,Just quarantine cdn-edge-06. Nothing else needed.,quarantine_system,
365,Quick task: disconnect cdn-edge-06 from everything.,quarantine_system,
366,Just lock down payment-api-03. Nothing else needed.,quarantine_system,
367,All I need is for someone to pull staging-db-02 from production.,quarantine_system,
368,All I need is for someone to yank payment-api-03 off the network.,quarantine_system,
369,Just disconnect auth-svc-04 from everything. Nothing else needed.,quarantine_system,
370,Simple request — disconnect staging-db-02 from everything and we're good.,quarantine_system,
371,Just isolate cdn-edge-06. Nothing else needed.,quarantine_system,
372,Simple request — pull cdn-edge-06 from production and we're good.,quarantine_system,
373,All I need is for someone to disconnect payment-api-03 from everything.,quarantine_system,
374,Quick task: isolate auth-svc-04.,quarantine_system,
375,Simple request — yank payment-api-03 off the network and we're good.,quarantine_system,
376,Grace reported an issue — isolate prod-web-01.,quarantine_system,
377,Quick task: yank prod-web-01 off the network.,quarantine_system,
378,Just pull auth-svc-04 from production. Nothing else needed.,quarantine_system,
379,"Hey, can you disconnect ml-infer-05 from everything.",quarantine_system,
380,All I need is for someone to lock down ml-infer-05.,quarantine_system,
381,All I need is for someone to lock down prod-web-01.,quarantine_system,
382,Alice is asking us to quarantine ml-infer-05.,quarantine_system,
383,I need you to quarantine staging-db-02.,quarantine_system,
384,All I need is for someone to pull ml-infer-05 from production.,quarantine_system,
385,Simple request — quarantine payment-api-03 and we're good.,quarantine_system,
386,Simple request — yank staging-db-02 off the network and we're good.,quarantine_system,
387,Charlie is asking us to yank prod-web-01 off the network.,quarantine_system,
388,All I need is for someone to yank staging-db-02 off the network.,quarantine_system,
389,All I need is for someone to yank payment-api-03 off the network.,quarantine_system,
390,Do me a favor and pull payment-api-03 from production.,quarantine_system,
391,All I need is for someone to yank staging-db-02 off the network.,quarantine_system,
392,Just yank auth-svc-04 off the network. Nothing else needed.,quarantine_system,
393,All I need is for someone to lock down ml-infer-05.,quarantine_system,
394,"When you get a chance, isolate cdn-edge-06.",quarantine_system,
395,Simple request — pull payment-api-03 from production and we're good.,quarantine_system,
396,Quick task: disconnect ml-infer-05 from everything.,quarantine_system,
397,Quick task: quarantine cdn-edge-06.,quarantine_system,
398,All I need is for someone to isolate ml-infer-05.,quarantine_system,
399,Simple request — disconnect prod-web-01 from everything and we're good.,quarantine_system,
400,Quick task: yank cdn-edge-06 off the network.,quarantine_system,
401,Quick task: pull ml-infer-05 from production.,quarantine_system,
402,All I need is for someone to scan payment-api-03 for threats.,scan_malware,
403,Do me a favor and check cdn-edge-06 for vulnerabilities.,scan_malware,
404,Do me a favor and sweep prod-web-01 for IOCs.,scan_malware,
405,Please sweep staging-db-02 for IOCs.,scan_malware,
406,Just run a malware sweep on payment-api-03. Nothing else needed.,scan_malware,
407,"When you get a chance, check prod-web-01 for vulnerabilities.",scan_malware,
408,Quick task: sweep prod-web-01 for IOCs.,scan_malware,
409,Quick task: investigate cdn-edge-06 for infections.,scan_malware,
410,Just run a malware sweep on ml-infer-05. Nothing else needed.,scan_malware,
411,"For the Marketing team, run a malware sweep on staging-db-02.",scan_malware,
412,Just scan payment-api-03 for threats. Nothing else needed.,scan_malware,
413,Just check ml-infer-05 for vulnerabilities. Nothing else needed.,scan_malware,
414,Just run a malware sweep on staging-db-02. Nothing else needed.,scan_malware,
415,Just scan cdn-edge-06 for threats. Nothing else needed.,scan_malware,
416,Simple request — investigate payment-api-03 for infections and we're good.,scan_malware,
417,All I need is for someone to check staging-db-02 for vulnerabilities.,scan_malware,
418,Simple request — do a security check on cdn-edge-06 and we're good.,scan_malware,
419,Simple request — do a security check on cdn-edge-06 and we're good.,scan_malware,
420,All I need is for someone to do a security check on payment-api-03.,scan_malware,
421,All I need is for someone to do a security check on ml-infer-05.,scan_malware,
422,All I need is for someone to investigate auth-svc-04 for infections.,scan_malware,
423,All I need is for someone to do a security check on payment-api-03.,scan_malware,
424,The Engineering team needs us to investigate prod-web-01 for infections.,scan_malware,
425,Just scan cdn-edge-06 for threats. Nothing else needed.,scan_malware,
426,All I need is for someone to investigate auth-svc-04 for infections.,scan_malware,
427,Simple request — scan payment-api-03 for threats and we're good.,scan_malware,
428,Quick task: scan prod-web-01 for threats.,scan_malware,
429,Quick task: investigate prod-web-01 for infections.,scan_malware,
430,The Finance team needs us to check payment-api-03 for vulnerabilities.,scan_malware,
431,All I need is for someone to do a security check on cdn-edge-06.,scan_malware,
432,Just run a malware sweep on payment-api-03. Nothing else needed.,scan_malware,
433,Simple request — do a security check on staging-db-02 and we're good.,scan_malware,
434,Just run a malware sweep on cdn-edge-06. Nothing else needed.,scan_malware,
435,All I need is for someone to investigate auth-svc-04 for infections.,scan_malware,
436,Quick task: scan ml-infer-05 for threats.,scan_malware,
437,Simple request — check cdn-edge-06 for vulnerabilities and we're good.,scan_malware,
438,Just investigate auth-svc-04 for infections. Nothing else needed.,scan_malware,
439,Simple request — sweep ml-infer-05 for IOCs and we're good.,scan_malware,
440,Just sweep prod-web-01 for IOCs. Nothing else needed.,scan_malware,
441,Just do a security check on prod-web-01. Nothing else needed.,scan_malware,
442,Just check prod-web-01 for vulnerabilities. Nothing else needed.,scan_malware,
443,Just scan cdn-edge-06 for threats. Nothing else needed.,scan_malware,
444,Quick task: do a security check on staging-db-02.,scan_malware,
445,Quick task: sweep ml-infer-05 for IOCs.,scan_malware,
446,Quick task: run a malware sweep on prod-web-01.,scan_malware,
447,Just sweep payment-api-03 for IOCs. Nothing else needed.,scan_malware,
448,Quick task: sweep ml-infer-05 for IOCs.,scan_malware,
449,Quick one — check ml-infer-05 for vulnerabilities.,scan_malware,
450,Just sweep staging-db-02 for IOCs. Nothing else needed.,scan_malware,
451,All I need is for someone to scan auth-svc-04 for threats.,scan_malware,
452,Simple request — sweep staging-db-02 for IOCs and we're good.,scan_malware,
453,Just investigate prod-web-01 for infections. Nothing else needed.,scan_malware,
454,All I need is for someone to sweep payment-api-03 for IOCs.,scan_malware,
455,Quick task: scan payment-api-03 for threats.,scan_malware,
456,All I need is for someone to check prod-web-01 for vulnerabilities.,scan_malware,
457,Simple request — do a security check on payment-api-03 and we're good.,scan_malware,
458,Just do a security check on staging-db-02. Nothing else needed.,scan_malware,
459,Just scan cdn-edge-06 for threats. Nothing else needed.,scan_malware,
460,Quick task: investigate staging-db-02 for infections.,scan_malware,
461,Quick task: check cdn-edge-06 for vulnerabilities.,scan_malware,
462,Quick task: check prod-web-01 for vulnerabilities.,scan_malware,
463,Time to sweep payment-api-03 for IOCs.,scan_malware,
464,All I need is for someone to do a security check on ml-infer-05.,scan_malware,
465,All I need is for someone to scan auth-svc-04 for threats.,scan_malware,
466,Quick task: do a security check on ml-infer-05.,scan_malware,
467,Just investigate cdn-edge-06 for infections. Nothing else needed.,scan_malware,
468,Simple request — sweep staging-db-02 for IOCs and we're good.,scan_malware,
469,Quick task: whip up a report for Finance.,generate_report,
470,All I need is for someone to build a compliance doc for Finance.,generate_report,
471,From Finance: build a compliance doc for Legal.,generate_report,
472,Simple request — generate the Engineering analytics and we're good.,generate_report,
473,Quick task: compile a summary for Finance.,generate_report,
474,Just generate the Marketing analytics. Nothing else needed.,generate_report,
475,Simple request — whip up a report for Legal and we're good.,generate_report,
476,All I need is for someone to produce the Finance performance summary.,generate_report,
477,All I need is for someone to put together a report on payment-api-03.,generate_report,
478,Quick task: produce the Finance performance summary.,generate_report,
479,All I need is for someone to compile a summary for Engineering.,generate_report,
480,Simple request — produce the Legal performance summary and we're good.,generate_report,
481,Just generate the Engineering analytics. Nothing else needed.,generate_report,
482,All I need is for someone to put together a report on auth-svc-04.,generate_report,
483,Simple request — build a compliance doc for Finance and we're good.,generate_report,
484,Simple request — generate the Finance analytics and we're good.,generate_report,
485,Grace reported an issue — build a compliance doc for Legal.,generate_report,
