query,positive_dag_id,negative_dag_id,negative_type,neg_tools,neg_edges,neg_dag_text
"Check the DB records and scan staging-db-02 for threats, then dump it all in the audit log.",12,neg_19,swap_edges,db_read;scan_malware;log_audit_event,1->0;2->1,"log_audit_event -> scan_malware, scan_malware -> db_read"
"Check the DB records and scan staging-db-02 for threats, then dump it all in the audit log.",12,neg_20,swap_tools,reset_password;deploy_container;provision_vm,0->2;1->2,"deploy_container -> provision_vm, reset_password -> provision_vm"
"Check the DB records and scan staging-db-02 for threats, then dump it all in the audit log.",12,neg_21,remove_edge,db_read;scan_malware;log_audit_event,1->2,scan_malware -> log_audit_event
"Check the DB records and scan staging-db-02 for threats, then dump it all in the audit log.",12,neg_22,add_edge,db_read;scan_malware;log_audit_event,0->2;1->2;1->0,"db_read -> log_audit_event, scan_malware -> db_read, scan_malware -> log_audit_event"
"Check the DB records and scan staging-db-02 for threats, then dump it all in the audit log.",12,neg_23,extra_node,db_read;scan_malware;log_audit_event;transfer_ownership,0->2;1->2;0->3,"db_read -> log_audit_event, db_read -> transfer_ownership, scan_malware -> log_audit_event"
"Ticket INC-4021 says rotate the API key for payment-api-03, then pull Grace's credentials for ml-infer-05. End with grant Frank permissions to ml-infer-05.",321,neg_24,swap_edges,rotate_api_key;revoke_access;approve_access,2->1;2->0,"approve_access -> revoke_access, approve_access -> rotate_api_key"
"Ticket INC-4021 says rotate the API key for payment-api-03, then pull Grace's credentials for ml-infer-05. End with grant Frank permissions to ml-infer-05.",321,neg_25,swap_tools,schedule_maintenance;backup_database;disable_feature_flag,0->1;1->2,"backup_database -> disable_feature_flag, schedule_maintenance -> backup_database"
"Ticket INC-4021 says rotate the API key for payment-api-03, then pull Grace's credentials for ml-infer-05. End with grant Frank permissions to ml-infer-05.",321,neg_26,remove_edge,rotate_api_key;revoke_access;approve_access,0->1,rotate_api_key -> revoke_access
"Ticket INC-4021 says rotate the API key for payment-api-03, then pull Grace's credentials for ml-infer-05. End with grant Frank permissions to ml-infer-05.",321,neg_27,add_edge,rotate_api_key;revoke_access;approve_access,0->1;1->2;0->2,"revoke_access -> approve_access, rotate_api_key -> approve_access, rotate_api_key -> revoke_access"
"Ticket INC-4021 says rotate the API key for payment-api-03, then pull Grace's credentials for ml-infer-05. End with grant Frank permissions to ml-infer-05.",321,neg_28,extra_node,rotate_api_key;revoke_access;approve_access;run_pipeline,0->1;1->2;3->1,"revoke_access -> approve_access, rotate_api_key -> revoke_access, run_pipeline -> revoke_access"
"The Finance team needs us to downgrade Frank's account. Next, kill the feature toggle for Marketing.",174,neg_29,swap_tools,revoke_access;schedule_maintenance,0->1,revoke_access -> schedule_maintenance
"The Finance team needs us to downgrade Frank's account. Next, kill the feature toggle for Marketing.",174,neg_30,extra_node,update_subscription;disable_feature_flag;db_write,0->1;2->0,"db_write -> update_subscription, update_subscription -> disable_feature_flag"
"Bob is asking us to check if payment-api-03 is up. After that, log Frank's action for compliance. Last step: downgrade Bob's account.",308,neg_31,swap_edges,check_status;log_audit_event;update_subscription,2->0;1->0,"log_audit_event -> check_status, update_subscription -> check_status"
"Bob is asking us to check if payment-api-03 is up. After that, log Frank's action for compliance. Last step: downgrade Bob's account.",308,neg_32,swap_tools,log_audit_event;rollback_deployment;disable_feature_flag,0->1;1->2,"log_audit_event -> rollback_deployment, rollback_deployment -> disable_feature_flag"
"Bob is asking us to check if payment-api-03 is up. After that, log Frank's action for compliance. Last step: downgrade Bob's account.",308,neg_33,remove_edge,check_status;log_audit_event;update_subscription,1->2,log_audit_event -> update_subscription
"Bob is asking us to check if payment-api-03 is up. After that, log Frank's action for compliance. Last step: downgrade Bob's account.",308,neg_34,add_edge,check_status;log_audit_event;update_subscription,0->1;1->2;0->2,"check_status -> log_audit_event, check_status -> update_subscription, log_audit_event -> update_subscription"
"Bob is asking us to check if payment-api-03 is up. After that, log Frank's action for compliance. Last step: downgrade Bob's account.",308,neg_35,extra_node,check_status;log_audit_event;update_subscription;transfer_ownership,0->1;1->2;2->3,"check_status -> log_audit_event, log_audit_event -> update_subscription, update_subscription -> transfer_ownership"
"Do me a favor and quarantine cdn-edge-06, followed by log Alice's action for compliance.",63,neg_36,swap_tools,archive_data;run_pipeline,0->1,archive_data -> run_pipeline
"Do me a favor and quarantine cdn-edge-06, followed by log Alice's action for compliance.",63,neg_37,extra_node,quarantine_system;log_audit_event;check_status,0->1;2->0,"check_status -> quarantine_system, quarantine_system -> log_audit_event"
ASAP — reverse the charge on #31450 — then swap out cdn-edge-06's credentials. End with update Diana's record in the DB.,332,neg_38,swap_edges,process_refund;rotate_api_key;db_write,1->0;2->0,"db_write -> process_refund, rotate_api_key -> process_refund"
ASAP — reverse the charge on #31450 — then swap out cdn-edge-06's credentials. End with update Diana's record in the DB.,332,neg_39,swap_tools,run_pipeline;process_refund;restore_backup,0->1;1->2,"process_refund -> restore_backup, run_pipeline -> process_refund"
ASAP — reverse the charge on #31450 — then swap out cdn-edge-06's credentials. End with update Diana's record in the DB.,332,neg_40,remove_edge,process_refund;rotate_api_key;db_write,0->1,process_refund -> rotate_api_key
ASAP — reverse the charge on #31450 — then swap out cdn-edge-06's credentials. End with update Diana's record in the DB.,332,neg_41,add_edge,process_refund;rotate_api_key;db_write,0->1;1->2;0->2,"process_refund -> db_write, process_refund -> rotate_api_key, rotate_api_key -> db_write"
ASAP — reverse the charge on #31450 — then swap out cdn-edge-06's credentials. End with update Diana's record in the DB.,332,neg_42,extra_node,process_refund;rotate_api_key;db_write;backup_database,0->1;1->2;1->3,"process_refund -> rotate_api_key, rotate_api_key -> backup_database, rotate_api_key -> db_write"
"Eve is asking us to do a security check on prod-web-01, and then blast an alert to Marketing — then put Marketing's historical data into the archive. To wrap up, stand up a new box for Legal.",412,neg_43,swap_edges,scan_malware;send_notification;archive_data;provision_vm,2->3;0->1;2->1,"archive_data -> provision_vm, archive_data -> send_notification, scan_malware -> send_notification"
"Eve is asking us to do a security check on prod-web-01, and then blast an alert to Marketing — then put Marketing's historical data into the archive. To wrap up, stand up a new box for Legal.",412,neg_44,swap_tools,schedule_maintenance;generate_report;approve_access;escalate_to_human,0->1;1->2;2->3,"approve_access -> escalate_to_human, generate_report -> approve_access, schedule_maintenance -> generate_report"
"Eve is asking us to do a security check on prod-web-01, and then blast an alert to Marketing — then put Marketing's historical data into the archive. To wrap up, stand up a new box for Legal.",412,neg_45,remove_edge,scan_malware;send_notification;archive_data;provision_vm,0->1;1->2,"scan_malware -> send_notification, send_notification -> archive_data"
"Eve is asking us to do a security check on prod-web-01, and then blast an alert to Marketing — then put Marketing's historical data into the archive. To wrap up, stand up a new box for Legal.",412,neg_46,add_edge,scan_malware;send_notification;archive_data;provision_vm,0->1;1->2;2->3;0->2,"archive_data -> provision_vm, scan_malware -> archive_data, scan_malware -> send_notification, send_notification -> archive_data"
"Eve is asking us to do a security check on prod-web-01, and then blast an alert to Marketing — then put Marketing's historical data into the archive. To wrap up, stand up a new box for Legal.",412,neg_47,extra_node,scan_malware;send_notification;archive_data;provision_vm;escalate_to_human,0->1;1->2;2->3;3->4,"archive_data -> provision_vm, provision_vm -> escalate_to_human, scan_malware -> send_notification, send_notification -> archive_data"
"For the Finance team, record the event in Engineering's log. Next, bounce auth-svc-04.",258,neg_48,swap_tools,check_status;disable_feature_flag,0->1,check_status -> disable_feature_flag
"For the Finance team, record the event in Engineering's log. Next, bounce auth-svc-04.",258,neg_49,extra_node,log_audit_event;restart_service;backup_database,0->1;1->2,"log_audit_event -> restart_service, restart_service -> backup_database"
"Frank reported an issue — drop an audit entry for cdn-edge-06, then dump the database on prod-web-01 — then persist Bob's data to the database. To wrap up, reboot cdn-edge-06.",414,neg_50,swap_edges,log_audit_event;backup_database;db_write;restart_service,3->0;0->2;0->1,"log_audit_event -> backup_database, log_audit_event -> db_write, restart_service -> log_audit_event"
"Frank reported an issue — drop an audit entry for cdn-edge-06, then dump the database on prod-web-01 — then persist Bob's data to the database. To wrap up, reboot cdn-edge-06.",414,neg_51,swap_tools,quarantine_system;revoke_access;approve_access;invalidate_cache,0->1;1->2;2->3,"approve_access -> invalidate_cache, quarantine_system -> revoke_access, revoke_access -> approve_access"
"Frank reported an issue — drop an audit entry for cdn-edge-06, then dump the database on prod-web-01 — then persist Bob's data to the database. To wrap up, reboot cdn-edge-06.",414,neg_52,remove_edge,log_audit_event;backup_database;db_write;restart_service,0->1;1->2,"backup_database -> db_write, log_audit_event -> backup_database"
"Frank reported an issue — drop an audit entry for cdn-edge-06, then dump the database on prod-web-01 — then persist Bob's data to the database. To wrap up, reboot cdn-edge-06.",414,neg_53,add_edge,log_audit_event;backup_database;db_write;restart_service,0->1;1->2;2->3;1->3,"backup_database -> db_write, backup_database -> restart_service, db_write -> restart_service, log_audit_event -> backup_database"
"Frank reported an issue — drop an audit entry for cdn-edge-06, then dump the database on prod-web-01 — then persist Bob's data to the database. To wrap up, reboot cdn-edge-06.",414,neg_54,extra_node,log_audit_event;backup_database;db_write;restart_service;send_notification,0->1;1->2;2->3;3->4,"backup_database -> db_write, db_write -> restart_service, log_audit_event -> backup_database, restart_service -> send_notification"
"Charlie reported an issue — switch Alice to the new plan. After that, check if prod-web-01 is up.",194,neg_55,swap_tools,db_read;provision_vm,0->1,db_read -> provision_vm
"Charlie reported an issue — switch Alice to the new plan. After that, check if prod-web-01 is up.",194,neg_56,extra_node,update_subscription;check_status;approve_access,0->1;2->1,"approve_access -> check_status, update_subscription -> check_status"
"Diana is asking us to flip the feature toggle on for Legal. Next, change the owner of staging-db-02 to HR. After that, commit Alice's update to the database, and lastly get a human involved for Eve.",388,neg_57,swap_edges,enable_feature_flag;transfer_ownership;db_write;escalate_to_human,2->1;3->2;3->0,"db_write -> transfer_ownership, escalate_to_human -> db_write, escalate_to_human -> enable_feature_flag"
"Diana is asking us to flip the feature toggle on for Legal. Next, change the owner of staging-db-02 to HR. After that, commit Alice's update to the database, and lastly get a human involved for Eve.",388,neg_58,swap_tools,backup_database;log_audit_event;generate_report;check_status,0->1;1->2;2->3,"backup_database -> log_audit_event, generate_report -> check_status, log_audit_event -> generate_report"
"Diana is asking us to flip the feature toggle on for Legal. Next, change the owner of staging-db-02 to HR. After that, commit Alice's update to the database, and lastly get a human involved for Eve.",388,neg_59,remove_edge,enable_feature_flag;transfer_ownership;db_write;escalate_to_human,0->1;2->3,"db_write -> escalate_to_human, enable_feature_flag -> transfer_ownership"
"Diana is asking us to flip the feature toggle on for Legal. Next, change the owner of staging-db-02 to HR. After that, commit Alice's update to the database, and lastly get a human involved for Eve.",388,neg_60,add_edge,enable_feature_flag;transfer_ownership;db_write;escalate_to_human,0->1;1->2;2->3;1->3,"db_write -> escalate_to_human, enable_feature_flag -> transfer_ownership, transfer_ownership -> db_write, transfer_ownership -> escalate_to_human"
"Diana is asking us to flip the feature toggle on for Legal. Next, change the owner of staging-db-02 to HR. After that, commit Alice's update to the database, and lastly get a human involved for Eve.",388,neg_61,extra_node,enable_feature_flag;transfer_ownership;db_write;escalate_to_human;quarantine_system,0->1;1->2;2->3;3->4,"db_write -> escalate_to_human, enable_feature_flag -> transfer_ownership, escalate_to_human -> quarantine_system, transfer_ownership -> db_write"
"Full IR flow: verify payment-api-03 is down, run a scan, isolate, restart, get a human involved, alert the team, and audit it.",16,neg_62,swap_edges,check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,5->1;2->1;1->3;0->4;2->4;6->3,"check_status -> escalate_to_human, log_audit_event -> restart_service, quarantine_system -> escalate_to_human, quarantine_system -> scan_malware, scan_malware -> restart_service, send_notification -> scan_malware"
"Full IR flow: verify payment-api-03 is down, run a scan, isolate, restart, get a human involved, alert the team, and audit it.",16,neg_63,swap_tools,restore_backup;transfer_ownership;archive_data;scale_service;restart_service;disable_feature_flag;deploy_container,0->1;1->2;2->3;3->4;4->5;5->6,"archive_data -> scale_service, disable_feature_flag -> deploy_container, restart_service -> disable_feature_flag, restore_backup -> transfer_ownership, scale_service -> restart_service, transfer_ownership -> archive_data"
"Full IR flow: verify payment-api-03 is down, run a scan, isolate, restart, get a human involved, alert the team, and audit it.",16,neg_64,remove_edge,check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;5->6,"check_status -> scan_malware, quarantine_system -> restart_service, restart_service -> escalate_to_human, scan_malware -> quarantine_system, send_notification -> log_audit_event"
"Full IR flow: verify payment-api-03 is down, run a scan, isolate, restart, get a human involved, alert the team, and audit it.",16,neg_65,add_edge,check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6;1->5,"check_status -> scan_malware, escalate_to_human -> send_notification, quarantine_system -> restart_service, restart_service -> escalate_to_human, scan_malware -> quarantine_system, scan_malware -> send_notification, send_notification -> log_audit_event"
"Full IR flow: verify payment-api-03 is down, run a scan, isolate, restart, get a human involved, alert the team, and audit it.",16,neg_66,extra_node,check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event;disable_feature_flag,0->1;1->2;2->3;3->4;4->5;5->6;2->7,"check_status -> scan_malware, escalate_to_human -> send_notification, quarantine_system -> disable_feature_flag, quarantine_system -> restart_service, restart_service -> escalate_to_human, scan_malware -> quarantine_system, send_notification -> log_audit_event"
"Bob reported an issue — scale payment-api-03 down to save costs. Once that's done, roll out the containerised app to ml-infer-05. End with flip the feature toggle on for Legal.",287,neg_67,swap_edges,scale_service;deploy_container;enable_feature_flag,2->1;2->0,"enable_feature_flag -> deploy_container, enable_feature_flag -> scale_service"
"Bob reported an issue — scale payment-api-03 down to save costs. Once that's done, roll out the containerised app to ml-infer-05. End with flip the feature toggle on for Legal.",287,neg_68,swap_tools,run_pipeline;deploy_container;scale_service,0->1;1->2,"deploy_container -> scale_service, run_pipeline -> deploy_container"
"Bob reported an issue — scale payment-api-03 down to save costs. Once that's done, roll out the containerised app to ml-infer-05. End with flip the feature toggle on for Legal.",287,neg_69,remove_edge,scale_service;deploy_container;enable_feature_flag,1->2,deploy_container -> enable_feature_flag
"Bob reported an issue — scale payment-api-03 down to save costs. Once that's done, roll out the containerised app to ml-infer-05. End with flip the feature toggle on for Legal.",287,neg_70,add_edge,scale_service;deploy_container;enable_feature_flag,0->1;1->2;0->2,"deploy_container -> enable_feature_flag, scale_service -> deploy_container, scale_service -> enable_feature_flag"
"Bob reported an issue — scale payment-api-03 down to save costs. Once that's done, roll out the containerised app to ml-infer-05. End with flip the feature toggle on for Legal.",287,neg_71,extra_node,scale_service;deploy_container;enable_feature_flag;process_refund,0->1;1->2;0->3,"deploy_container -> enable_feature_flag, scale_service -> deploy_container, scale_service -> process_refund"
"Time to push the container image for Finance, and then notify the Legal team.",40,neg_72,swap_tools,escalate_to_human;db_write,0->1,escalate_to_human -> db_write
"Time to push the container image for Finance, and then notify the Legal team.",40,neg_73,extra_node,deploy_container;send_notification;check_status,0->1;0->2,"deploy_container -> check_status, deploy_container -> send_notification"
"Hey, can you verify payment-api-03's health, and while you're at it, bounce prod-web-01 and open a ticket for Alice.",111,neg_74,swap_edges,check_status;restart_service;create_ticket,2->0;0->1,"check_status -> restart_service, create_ticket -> check_status"
"Hey, can you verify payment-api-03's health, and while you're at it, bounce prod-web-01 and open a ticket for Alice.",111,neg_75,swap_tools,log_audit_event;approve_access;db_write,0->1;0->2,"log_audit_event -> approve_access, log_audit_event -> db_write"
"Hey, can you verify payment-api-03's health, and while you're at it, bounce prod-web-01 and open a ticket for Alice.",111,neg_76,remove_edge,check_status;restart_service;create_ticket,0->1,check_status -> restart_service
"Hey, can you verify payment-api-03's health, and while you're at it, bounce prod-web-01 and open a ticket for Alice.",111,neg_77,add_edge,check_status;restart_service;create_ticket,0->1;0->2;2->1,"check_status -> create_ticket, check_status -> restart_service, create_ticket -> restart_service"
"Hey, can you verify payment-api-03's health, and while you're at it, bounce prod-web-01 and open a ticket for Alice.",111,neg_78,extra_node,check_status;restart_service;create_ticket;schedule_maintenance,0->1;0->2;3->2,"check_status -> create_ticket, check_status -> restart_service, schedule_maintenance -> create_ticket"
"The Engineering team needs us to refund Bob and flip the feature toggle on for Marketing. Once both are done, launch an instance for Marketing.",488,neg_79,swap_edges,process_refund;enable_feature_flag;provision_vm,1->2;1->0,"enable_feature_flag -> process_refund, enable_feature_flag -> provision_vm"
"The Engineering team needs us to refund Bob and flip the feature toggle on for Marketing. Once both are done, launch an instance for Marketing.",488,neg_80,swap_tools,log_audit_event;check_status;disable_feature_flag,0->2;1->2,"check_status -> disable_feature_flag, log_audit_event -> disable_feature_flag"
"The Engineering team needs us to refund Bob and flip the feature toggle on for Marketing. Once both are done, launch an instance for Marketing.",488,neg_81,remove_edge,process_refund;enable_feature_flag;provision_vm,1->2,enable_feature_flag -> provision_vm
"The Engineering team needs us to refund Bob and flip the feature toggle on for Marketing. Once both are done, launch an instance for Marketing.",488,neg_82,add_edge,process_refund;enable_feature_flag;provision_vm,0->2;1->2;0->1,"enable_feature_flag -> provision_vm, process_refund -> enable_feature_flag, process_refund -> provision_vm"
"The Engineering team needs us to refund Bob and flip the feature toggle on for Marketing. Once both are done, launch an instance for Marketing.",488,neg_83,extra_node,process_refund;enable_feature_flag;provision_vm;process_refund,0->2;1->2;2->3,"enable_feature_flag -> provision_vm, process_refund -> provision_vm, provision_vm -> process_refund"
"Hey, can you pull payment-api-03 back from the last good backup, and while you're at it, process the payout for Frank and spin up a tracking ticket for Grace.",445,neg_84,swap_edges,restore_backup;process_refund;create_ticket,1->2;1->0,"process_refund -> create_ticket, process_refund -> restore_backup"
"Hey, can you pull payment-api-03 back from the last good backup, and while you're at it, process the payout for Frank and spin up a tracking ticket for Grace.",445,neg_85,swap_tools,db_write;invalidate_cache;quarantine_system,0->1;0->2,"db_write -> invalidate_cache, db_write -> quarantine_system"
"Hey, can you pull payment-api-03 back from the last good backup, and while you're at it, process the payout for Frank and spin up a tracking ticket for Grace.",445,neg_86,remove_edge,restore_backup;process_refund;create_ticket,0->2,restore_backup -> create_ticket
"Hey, can you pull payment-api-03 back from the last good backup, and while you're at it, process the payout for Frank and spin up a tracking ticket for Grace.",445,neg_87,add_edge,restore_backup;process_refund;create_ticket,0->1;0->2;2->1,"create_ticket -> process_refund, restore_backup -> create_ticket, restore_backup -> process_refund"
"Hey, can you pull payment-api-03 back from the last good backup, and while you're at it, process the payout for Frank and spin up a tracking ticket for Grace.",445,neg_88,extra_node,restore_backup;process_refund;create_ticket;rotate_api_key,0->1;0->2;0->3,"restore_backup -> create_ticket, restore_backup -> process_refund, restore_backup -> rotate_api_key"
"Time to look up the records for #42017. Next, kill the feature toggle for Marketing, then give Eve their money back. Finally, cold-store the old records for Grace.",379,neg_89,swap_edges,db_read;disable_feature_flag;process_refund;archive_data,3->1;1->2;0->2,"archive_data -> disable_feature_flag, db_read -> process_refund, disable_feature_flag -> process_refund"
"Time to look up the records for #42017. Next, kill the feature toggle for Marketing, then give Eve their money back. Finally, cold-store the old records for Grace.",379,neg_90,swap_tools,restore_backup;rollback_deployment;scale_service;log_audit_event,0->1;1->2;2->3,"restore_backup -> rollback_deployment, rollback_deployment -> scale_service, scale_service -> log_audit_event"
"Time to look up the records for #42017. Next, kill the feature toggle for Marketing, then give Eve their money back. Finally, cold-store the old records for Grace.",379,neg_91,remove_edge,db_read;disable_feature_flag;process_refund;archive_data,1->2;2->3,"disable_feature_flag -> process_refund, process_refund -> archive_data"
"Time to look up the records for #42017. Next, kill the feature toggle for Marketing, then give Eve their money back. Finally, cold-store the old records for Grace.",379,neg_92,add_edge,db_read;disable_feature_flag;process_refund;archive_data,0->1;1->2;2->3;0->3,"db_read -> archive_data, db_read -> disable_feature_flag, disable_feature_flag -> process_refund, process_refund -> archive_data"
"Time to look up the records for #42017. Next, kill the feature toggle for Marketing, then give Eve their money back. Finally, cold-store the old records for Grace.",379,neg_93,extra_node,db_read;disable_feature_flag;process_refund;archive_data;process_refund,0->1;1->2;2->3;4->3,"db_read -> disable_feature_flag, disable_feature_flag -> process_refund, process_refund -> archive_data, process_refund -> archive_data"
"ASAP — pull prod-web-01 back from the last good backup and yank staging-db-02 off the network. After those finish, green-light Diana's access to Finance.",504,neg_94,swap_edges,restore_backup;quarantine_system;approve_access,0->1;2->1,"approve_access -> quarantine_system, restore_backup -> quarantine_system"
"ASAP — pull prod-web-01 back from the last good backup and yank staging-db-02 off the network. After those finish, green-light Diana's access to Finance.",504,neg_95,swap_tools,send_notification;db_read;invalidate_cache,0->2;1->2,"db_read -> invalidate_cache, send_notification -> invalidate_cache"
"ASAP — pull prod-web-01 back from the last good backup and yank staging-db-02 off the network. After those finish, green-light Diana's access to Finance.",504,neg_96,remove_edge,restore_backup;quarantine_system;approve_access,0->2,restore_backup -> approve_access
"ASAP — pull prod-web-01 back from the last good backup and yank staging-db-02 off the network. After those finish, green-light Diana's access to Finance.",504,neg_97,add_edge,restore_backup;quarantine_system;approve_access,0->2;1->2;1->0,"quarantine_system -> approve_access, quarantine_system -> restore_backup, restore_backup -> approve_access"
"ASAP — pull prod-web-01 back from the last good backup and yank staging-db-02 off the network. After those finish, green-light Diana's access to Finance.",504,neg_98,extra_node,restore_backup;quarantine_system;approve_access;deploy_container,0->2;1->2;3->0,"deploy_container -> restore_backup, quarantine_system -> approve_access, restore_backup -> approve_access"
"Put together a report on auth-svc-04. After that, execute the build pipeline for staging-db-02, and lastly save a backup of Legal's data.",357,neg_99,swap_edges,generate_report;run_pipeline;backup_database,0->1;2->1,"backup_database -> run_pipeline, generate_report -> run_pipeline"
"Put together a report on auth-svc-04. After that, execute the build pipeline for staging-db-02, and lastly save a backup of Legal's data.",357,neg_100,swap_tools,invalidate_cache;rotate_api_key;revoke_access,0->1;1->2,"invalidate_cache -> rotate_api_key, rotate_api_key -> revoke_access"
"Put together a report on auth-svc-04. After that, execute the build pipeline for staging-db-02, and lastly save a backup of Legal's data.",357,neg_101,remove_edge,generate_report;run_pipeline;backup_database,0->1,generate_report -> run_pipeline
"Put together a report on auth-svc-04. After that, execute the build pipeline for staging-db-02, and lastly save a backup of Legal's data.",357,neg_102,add_edge,generate_report;run_pipeline;backup_database,0->1;1->2;0->2,"generate_report -> backup_database, generate_report -> run_pipeline, run_pipeline -> backup_database"
"Put together a report on auth-svc-04. After that, execute the build pipeline for staging-db-02, and lastly save a backup of Legal's data.",357,neg_103,extra_node,generate_report;run_pipeline;backup_database;enable_feature_flag,0->1;1->2;3->0,"enable_feature_flag -> generate_report, generate_report -> run_pipeline, run_pipeline -> backup_database"
Grab the mailing list for Engineering and send out the weekly alert.,3,neg_104,swap_tools,archive_data;schedule_maintenance,0->1,archive_data -> schedule_maintenance
Grab the mailing list for Engineering and send out the weekly alert.,3,neg_105,extra_node,db_read;send_notification;reset_password,0->1;0->2,"db_read -> reset_password, db_read -> send_notification"
