query,gt_tool,rank_of_one_node,top1_is_one_node,top1_dag_text,top1_cosine,gt_cosine
Let's send Grace's case for human review.,escalate_to_human,7,True,send_notification,0.5283665657043457,0.41468095779418945
Let's escalate the alert on auth-svc-04 to a person.,escalate_to_human,2,True,send_notification,0.6431756615638733,0.5359222888946533
Let's transfer Alice's case to a person.,escalate_to_human,3,False,process_refund -> send_notification,0.5051851272583008,0.46612727642059326
Kindly send Bob's case for human review.,escalate_to_human,6,True,send_notification,0.549981415271759,0.41169828176498413
Kindly transfer Alice's case to a person.,escalate_to_human,4,False,process_refund -> send_notification,0.48485976457595825,0.43642717599868774
"When you have a moment, get a human to review the problem on prod-web-01.",escalate_to_human,5,True,check_status,0.5801270008087158,0.5080528259277344
create a trail entry for auth-svc-04.,log_audit_event,4,True,restart_service,0.5217249393463135,0.4464503824710846
Please document the action taken on payment-api-03.,log_audit_event,2,True,create_ticket,0.5260936617851257,0.5240921974182129
Can you document the action taken on staging-db-02?,log_audit_event,3,True,create_ticket,0.4904814064502716,0.46411749720573425
Could you create a trail entry for staging-db-02 for me?,log_audit_event,12,True,create_ticket,0.5089495182037354,0.4132247269153595
I need you to capture the event associated with #60122.,log_audit_event,4,True,escalate_to_human,0.5744802951812744,0.5091536641120911
I need you to create a trail entry for prod-web-01.,log_audit_event,13,True,restart_service,0.5575512647628784,0.41041478514671326
We should write a compliance entry for cdn-edge-06.,log_audit_event,2,True,generate_report,0.5215862393379211,0.5201888084411621
"When you have a moment, record the incident involving prod-web-01 in the audit trail.",log_audit_event,2,False,log_audit_event -> escalate_to_human,0.6260218620300293,0.6242243647575378
