query,positive_dag_id,negative_dag_id,negative_type,neg_tools,neg_edges,neg_dag_text
"Ticket INC-7733 says sweep staging-db-02 for IOCs — then see what's going on with payment-api-03, and lastly reverse the charge on #20891.",301,neg_34,add_edge,scan_malware;check_status;process_refund,0->1;1->2;0->2,"check_status -> process_refund, scan_malware -> check_status, scan_malware -> process_refund"
"Ticket INC-7733 says sweep staging-db-02 for IOCs — then see what's going on with payment-api-03, and lastly reverse the charge on #20891.",301,neg_35,extra_node,scan_malware;check_status;process_refund;generate_report,0->1;1->2;3->2,"check_status -> process_refund, generate_report -> process_refund, scan_malware -> check_status"
"Urgent: sweep payment-api-03 for IOCs. Next, open a ticket for Frank. To wrap up, hand Alice's issue off to an engineer.",81,neg_36,swap_edges,scan_malware;create_ticket;escalate_to_human,0->2;1->0,"create_ticket -> scan_malware, scan_malware -> escalate_to_human"
"Urgent: sweep payment-api-03 for IOCs. Next, open a ticket for Frank. To wrap up, hand Alice's issue off to an engineer.",81,neg_37,swap_tools,create_ticket;check_status;escalate_to_human,0->1;1->2,"check_status -> escalate_to_human, create_ticket -> check_status"
"Urgent: sweep payment-api-03 for IOCs. Next, open a ticket for Frank. To wrap up, hand Alice's issue off to an engineer.",81,neg_38,remove_edge,scan_malware;create_ticket;escalate_to_human,0->1,scan_malware -> create_ticket
"Urgent: sweep payment-api-03 for IOCs. Next, open a ticket for Frank. To wrap up, hand Alice's issue off to an engineer.",81,neg_39,add_edge,scan_malware;create_ticket;escalate_to_human,0->1;1->2;0->2,"create_ticket -> escalate_to_human, scan_malware -> create_ticket, scan_malware -> escalate_to_human"
"Urgent: sweep payment-api-03 for IOCs. Next, open a ticket for Frank. To wrap up, hand Alice's issue off to an engineer.",81,neg_40,extra_node,scan_malware;create_ticket;escalate_to_human;db_read,0->1;1->2;2->3,"create_ticket -> escalate_to_human, escalate_to_human -> db_read, scan_malware -> create_ticket"
"Ticket INC-4021 says cycle payment-api-03 and file a bug about prod-web-01, then converge and get a human involved for Alice.",462,neg_41,swap_edges,restart_service;create_ticket;escalate_to_human,2->1;2->0,"escalate_to_human -> create_ticket, escalate_to_human -> restart_service"
"Ticket INC-4021 says cycle payment-api-03 and file a bug about prod-web-01, then converge and get a human involved for Alice.",462,neg_42,swap_tools,provision_vm;send_notification;update_subscription,0->2;1->2,"provision_vm -> update_subscription, send_notification -> update_subscription"
"Ticket INC-4021 says cycle payment-api-03 and file a bug about prod-web-01, then converge and get a human involved for Alice.",462,neg_43,remove_edge,restart_service;create_ticket;escalate_to_human,0->2,restart_service -> escalate_to_human
"Ticket INC-4021 says cycle payment-api-03 and file a bug about prod-web-01, then converge and get a human involved for Alice.",462,neg_44,add_edge,restart_service;create_ticket;escalate_to_human,0->2;1->2;0->1,"create_ticket -> escalate_to_human, restart_service -> create_ticket, restart_service -> escalate_to_human"
"Ticket INC-4021 says cycle payment-api-03 and file a bug about prod-web-01, then converge and get a human involved for Alice.",462,neg_45,extra_node,restart_service;create_ticket;escalate_to_human;update_subscription,0->2;1->2;1->3,"create_ticket -> escalate_to_human, create_ticket -> update_subscription, restart_service -> escalate_to_human"
"Time to pull auth-svc-04 from production. Next, make a compliance log about Bob.",52,neg_46,swap_tools,generate_report;send_notification,0->1,generate_report -> send_notification
"Time to pull auth-svc-04 from production. Next, make a compliance log about Bob.",52,neg_47,extra_node,quarantine_system;log_audit_event;generate_report,0->1;0->2,"quarantine_system -> generate_report, quarantine_system -> log_audit_event"
"From Finance: check the DB for Charlie. Next, quarantine cdn-edge-06. End with record the event in Legal's log.",316,neg_48,swap_edges,db_read;quarantine_system;log_audit_event,2->1;2->0,"log_audit_event -> db_read, log_audit_event -> quarantine_system"
"From Finance: check the DB for Charlie. Next, quarantine cdn-edge-06. End with record the event in Legal's log.",316,neg_49,swap_tools,escalate_to_human;update_subscription;db_write,0->1;1->2,"escalate_to_human -> update_subscription, update_subscription -> db_write"
"From Finance: check the DB for Charlie. Next, quarantine cdn-edge-06. End with record the event in Legal's log.",316,neg_50,remove_edge,db_read;quarantine_system;log_audit_event,0->1,db_read -> quarantine_system
"From Finance: check the DB for Charlie. Next, quarantine cdn-edge-06. End with record the event in Legal's log.",316,neg_51,add_edge,db_read;quarantine_system;log_audit_event,0->1;1->2;0->2,"db_read -> log_audit_event, db_read -> quarantine_system, quarantine_system -> log_audit_event"
"From Finance: check the DB for Charlie. Next, quarantine cdn-edge-06. End with record the event in Legal's log.",316,neg_52,extra_node,db_read;quarantine_system;log_audit_event;log_audit_event,0->1;1->2;1->3,"db_read -> quarantine_system, quarantine_system -> log_audit_event, quarantine_system -> log_audit_event"
"Urgent: pull staging-db-02 from production, then provision a new instance for Engineering.",193,neg_53,swap_tools,scan_malware;send_notification,0->1,scan_malware -> send_notification
"Urgent: pull staging-db-02 from production, then provision a new instance for Engineering.",193,neg_54,extra_node,quarantine_system;provision_vm;scan_malware,0->1;1->2,"provision_vm -> scan_malware, quarantine_system -> provision_vm"
"Monitor the failure, restart the node and escalate, then consolidate into one ticket.",15,neg_55,swap_edges,check_status;restart_service;escalate_to_human;create_ticket,3->0;0->2;0->1;3->2,"check_status -> escalate_to_human, check_status -> restart_service, create_ticket -> check_status, create_ticket -> escalate_to_human"
"Monitor the failure, restart the node and escalate, then consolidate into one ticket.",15,neg_56,swap_tools,restart_service;log_audit_event;process_refund;generate_report,0->1;0->2;1->3;2->3,"log_audit_event -> generate_report, process_refund -> generate_report, restart_service -> log_audit_event, restart_service -> process_refund"
"Monitor the failure, restart the node and escalate, then consolidate into one ticket.",15,neg_57,remove_edge,check_status;restart_service;escalate_to_human;create_ticket,0->1;1->3;2->3,"check_status -> restart_service, escalate_to_human -> create_ticket, restart_service -> create_ticket"
"Monitor the failure, restart the node and escalate, then consolidate into one ticket.",15,neg_58,add_edge,check_status;restart_service;escalate_to_human;create_ticket,0->1;0->2;1->3;2->3;2->1,"check_status -> escalate_to_human, check_status -> restart_service, escalate_to_human -> create_ticket, escalate_to_human -> restart_service, restart_service -> create_ticket"
"Monitor the failure, restart the node and escalate, then consolidate into one ticket.",15,neg_59,extra_node,check_status;restart_service;escalate_to_human;create_ticket;reset_password,0->1;0->2;1->3;2->3;3->4,"check_status -> escalate_to_human, check_status -> restart_service, create_ticket -> reset_password, escalate_to_human -> create_ticket, restart_service -> create_ticket"
"Eve reported an issue — give Charlie their money back. Once that's done, record the event in Marketing's log.",63,neg_60,swap_tools,db_read;quarantine_system,0->1,db_read -> quarantine_system
"Eve reported an issue — give Charlie their money back. Once that's done, record the event in Marketing's log.",63,neg_61,extra_node,process_refund;log_audit_event;restart_service,0->1;2->1,"process_refund -> log_audit_event, restart_service -> log_audit_event"
"From Marketing: sweep auth-svc-04 for IOCs and see what's going on with auth-svc-04, then converge and create a support case for HR. End with shoot Bob an email.",125,neg_62,swap_edges,scan_malware;check_status;create_ticket;send_notification,2->1;3->2;3->0,"create_ticket -> check_status, send_notification -> create_ticket, send_notification -> scan_malware"
"From Marketing: sweep auth-svc-04 for IOCs and see what's going on with auth-svc-04, then converge and create a support case for HR. End with shoot Bob an email.",125,neg_63,swap_tools,update_subscription;generate_report;create_ticket;scan_malware,0->2;1->2;2->3,"create_ticket -> scan_malware, generate_report -> create_ticket, update_subscription -> create_ticket"
"From Marketing: sweep auth-svc-04 for IOCs and see what's going on with auth-svc-04, then converge and create a support case for HR. End with shoot Bob an email.",125,neg_64,remove_edge,scan_malware;check_status;create_ticket;send_notification,0->2;2->3,"create_ticket -> send_notification, scan_malware -> create_ticket"
"From Marketing: sweep auth-svc-04 for IOCs and see what's going on with auth-svc-04, then converge and create a support case for HR. End with shoot Bob an email.",125,neg_65,add_edge,scan_malware;check_status;create_ticket;send_notification,0->2;1->2;2->3;1->3,"check_status -> create_ticket, check_status -> send_notification, create_ticket -> send_notification, scan_malware -> create_ticket"
"From Marketing: sweep auth-svc-04 for IOCs and see what's going on with auth-svc-04, then converge and create a support case for HR. End with shoot Bob an email.",125,neg_66,extra_node,scan_malware;check_status;create_ticket;send_notification;reset_password,0->2;1->2;2->3;3->4,"check_status -> create_ticket, create_ticket -> send_notification, scan_malware -> create_ticket, send_notification -> reset_password"
All I need is for someone to shoot Eve an email.,44,neg_67,swap_tools,log_audit_event,,log_audit_event
All I need is for someone to shoot Eve an email.,44,neg_68,extra_node,send_notification;scan_malware,0->1,send_notification -> scan_malware
"Time to provision a new instance for Legal. Next, escalate Diana's case to the on-call, and then pull Grace's data. Finally, rotate Alice's credentials.",360,neg_69,swap_edges,provision_vm;escalate_to_human;db_read;reset_password,1->2;1->0;0->2,"escalate_to_human -> db_read, escalate_to_human -> provision_vm, provision_vm -> db_read"
"Time to provision a new instance for Legal. Next, escalate Diana's case to the on-call, and then pull Grace's data. Finally, rotate Alice's credentials.",360,neg_70,swap_tools,process_refund;quarantine_system;send_notification;update_subscription,0->1;1->2;2->3,"process_refund -> quarantine_system, quarantine_system -> send_notification, send_notification -> update_subscription"
"Time to provision a new instance for Legal. Next, escalate Diana's case to the on-call, and then pull Grace's data. Finally, rotate Alice's credentials.",360,neg_71,remove_edge,provision_vm;escalate_to_human;db_read;reset_password,0->1;1->2,"escalate_to_human -> db_read, provision_vm -> escalate_to_human"
"Time to provision a new instance for Legal. Next, escalate Diana's case to the on-call, and then pull Grace's data. Finally, rotate Alice's credentials.",360,neg_72,add_edge,provision_vm;escalate_to_human;db_read;reset_password,0->1;1->2;2->3;0->2,"db_read -> reset_password, escalate_to_human -> db_read, provision_vm -> db_read, provision_vm -> escalate_to_human"
"Time to provision a new instance for Legal. Next, escalate Diana's case to the on-call, and then pull Grace's data. Finally, rotate Alice's credentials.",360,neg_73,extra_node,provision_vm;escalate_to_human;db_read;reset_password;restart_service,0->1;1->2;2->3;1->4,"db_read -> reset_password, escalate_to_human -> db_read, escalate_to_human -> restart_service, provision_vm -> escalate_to_human"
"Ticket INC-8842 says diagnose payment-api-03 while also sweep ml-infer-05 for IOCs and wake up the on-call about auth-svc-04. When all of that's complete, create a support case for HR.",119,neg_74,swap_edges,check_status;scan_malware;escalate_to_human;create_ticket,2->0;3->2;1->3;1->2,"create_ticket -> escalate_to_human, escalate_to_human -> check_status, scan_malware -> create_ticket, scan_malware -> escalate_to_human"
"Ticket INC-8842 says diagnose payment-api-03 while also sweep ml-infer-05 for IOCs and wake up the on-call about auth-svc-04. When all of that's complete, create a support case for HR.",119,neg_75,swap_tools,provision_vm;update_subscription;restart_service;log_audit_event,0->1;0->2;1->3;2->3,"provision_vm -> restart_service, provision_vm -> update_subscription, restart_service -> log_audit_event, update_subscription -> log_audit_event"
"Ticket INC-8842 says diagnose payment-api-03 while also sweep ml-infer-05 for IOCs and wake up the on-call about auth-svc-04. When all of that's complete, create a support case for HR.",119,neg_76,remove_edge,check_status;scan_malware;escalate_to_human;create_ticket,0->1;0->2;2->3,"check_status -> escalate_to_human, check_status -> scan_malware, escalate_to_human -> create_ticket"
"Ticket INC-8842 says diagnose payment-api-03 while also sweep ml-infer-05 for IOCs and wake up the on-call about auth-svc-04. When all of that's complete, create a support case for HR.",119,neg_77,add_edge,check_status;scan_malware;escalate_to_human;create_ticket,0->1;0->2;1->3;2->3;1->2,"check_status -> escalate_to_human, check_status -> scan_malware, escalate_to_human -> create_ticket, scan_malware -> create_ticket, scan_malware -> escalate_to_human"
"Ticket INC-8842 says diagnose payment-api-03 while also sweep ml-infer-05 for IOCs and wake up the on-call about auth-svc-04. When all of that's complete, create a support case for HR.",119,neg_78,extra_node,check_status;scan_malware;escalate_to_human;create_ticket;db_read,0->1;0->2;1->3;2->3;2->4,"check_status -> escalate_to_human, check_status -> scan_malware, escalate_to_human -> create_ticket, escalate_to_human -> db_read, scan_malware -> create_ticket"
"Ticket INC-8842 says see what's going on with prod-web-01. After that, fire off a notification to Alice.",49,neg_79,swap_tools,create_ticket;restart_service,0->1,create_ticket -> restart_service
"Ticket INC-8842 says see what's going on with prod-web-01. After that, fire off a notification to Alice.",49,neg_80,extra_node,check_status;send_notification;escalate_to_human,0->1;0->2,"check_status -> escalate_to_human, check_status -> send_notification"
"We need to warn Frank about the maintenance, get their info and email them.",3,neg_81,swap_tools,check_status;log_audit_event,0->1,check_status -> log_audit_event
"We need to warn Frank about the maintenance, get their info and email them.",3,neg_82,extra_node,db_read;send_notification;create_ticket,0->1;2->0,"create_ticket -> db_read, db_read -> send_notification"
"Charlie is asking us to verify prod-web-01's health and check the DB for Bob. When all of that's complete, send a heads-up to HR.",114,neg_83,swap_edges,check_status;db_read;send_notification,0->1;0->2,"check_status -> db_read, check_status -> send_notification"
"Charlie is asking us to verify prod-web-01's health and check the DB for Bob. When all of that's complete, send a heads-up to HR.",114,neg_84,swap_tools,db_read;provision_vm;quarantine_system,0->2;1->2,"db_read -> quarantine_system, provision_vm -> quarantine_system"
"Charlie is asking us to verify prod-web-01's health and check the DB for Bob. When all of that's complete, send a heads-up to HR.",114,neg_85,remove_edge,check_status;db_read;send_notification,0->2,check_status -> send_notification
"Charlie is asking us to verify prod-web-01's health and check the DB for Bob. When all of that's complete, send a heads-up to HR.",114,neg_86,add_edge,check_status;db_read;send_notification,0->2;1->2;1->0,"check_status -> send_notification, db_read -> check_status, db_read -> send_notification"
"Charlie is asking us to verify prod-web-01's health and check the DB for Bob. When all of that's complete, send a heads-up to HR.",114,neg_87,extra_node,check_status;db_read;send_notification;escalate_to_human,0->2;1->2;0->3,"check_status -> escalate_to_human, check_status -> send_notification, db_read -> send_notification"
"Grace reported an issue — process the payout for Charlie. Once that's done, create a ticket about the Marketing issue. Last step: scan ml-infer-05 for threats.",346,neg_88,swap_edges,process_refund;create_ticket;scan_malware,0->2;0->1,"process_refund -> create_ticket, process_refund -> scan_malware"
"Grace reported an issue — process the payout for Charlie. Once that's done, create a ticket about the Marketing issue. Last step: scan ml-infer-05 for threats.",346,neg_89,swap_tools,scan_malware;process_refund;escalate_to_human,0->1;1->2,"process_refund -> escalate_to_human, scan_malware -> process_refund"
"Grace reported an issue — process the payout for Charlie. Once that's done, create a ticket about the Marketing issue. Last step: scan ml-infer-05 for threats.",346,neg_90,remove_edge,process_refund;create_ticket;scan_malware,1->2,create_ticket -> scan_malware
"Grace reported an issue — process the payout for Charlie. Once that's done, create a ticket about the Marketing issue. Last step: scan ml-infer-05 for threats.",346,neg_91,add_edge,process_refund;create_ticket;scan_malware,0->1;1->2;0->2,"create_ticket -> scan_malware, process_refund -> create_ticket, process_refund -> scan_malware"
"Grace reported an issue — process the payout for Charlie. Once that's done, create a ticket about the Marketing issue. Last step: scan ml-infer-05 for threats.",346,neg_92,extra_node,process_refund;create_ticket;scan_malware;process_refund,0->1;1->2;2->3,"create_ticket -> scan_malware, process_refund -> create_ticket, scan_malware -> process_refund"
"Time to check if staging-db-02 is up, then store the Engineering config in the database.",174,neg_93,swap_tools,db_write;generate_report,0->1,db_write -> generate_report
"Time to check if staging-db-02 is up, then store the Engineering config in the database.",174,neg_94,extra_node,check_status;db_write;restart_service,0->1;2->0,"check_status -> db_write, restart_service -> check_status"
"Hey, can you rotate Grace's credentials, and then provision a new instance for Finance.",150,neg_95,swap_tools,update_subscription;send_notification,0->1,update_subscription -> send_notification
"Hey, can you rotate Grace's credentials, and then provision a new instance for Finance.",150,neg_96,extra_node,reset_password;provision_vm;quarantine_system,0->1;2->1,"quarantine_system -> provision_vm, reset_password -> provision_vm"
"Check the DB records and scan auth-svc-04 for threats, then dump it all in the audit log.",12,neg_97,swap_edges,db_read;scan_malware;log_audit_event,2->0;2->1,"log_audit_event -> db_read, log_audit_event -> scan_malware"
"Check the DB records and scan auth-svc-04 for threats, then dump it all in the audit log.",12,neg_98,swap_tools,log_audit_event;db_read;reset_password,0->2;1->2,"db_read -> reset_password, log_audit_event -> reset_password"
"Check the DB records and scan auth-svc-04 for threats, then dump it all in the audit log.",12,neg_99,remove_edge,db_read;scan_malware;log_audit_event,1->2,scan_malware -> log_audit_event
"Check the DB records and scan auth-svc-04 for threats, then dump it all in the audit log.",12,neg_100,add_edge,db_read;scan_malware;log_audit_event,0->2;1->2;0->1,"db_read -> log_audit_event, db_read -> scan_malware, scan_malware -> log_audit_event"
"Check the DB records and scan auth-svc-04 for threats, then dump it all in the audit log.",12,neg_101,extra_node,db_read;scan_malware;log_audit_event;update_subscription,0->2;1->2;2->3,"db_read -> log_audit_event, log_audit_event -> update_subscription, scan_malware -> log_audit_event"
"Alice reported an issue — lock down staging-db-02, then verify auth-svc-04's health. After that, provision a new instance for Marketing, and lastly hand Eve's issue off to an engineer.",377,neg_102,swap_edges,quarantine_system;check_status;provision_vm;escalate_to_human,3->0;0->2;3->2,"escalate_to_human -> provision_vm, escalate_to_human -> quarantine_system, quarantine_system -> provision_vm"
"Alice reported an issue — lock down staging-db-02, then verify auth-svc-04's health. After that, provision a new instance for Marketing, and lastly hand Eve's issue off to an engineer.",377,neg_103,swap_tools,scan_malware;db_write;process_refund;reset_password,0->1;1->2;2->3,"db_write -> process_refund, process_refund -> reset_password, scan_malware -> db_write"
"Alice reported an issue — lock down staging-db-02, then verify auth-svc-04's health. After that, provision a new instance for Marketing, and lastly hand Eve's issue off to an engineer.",377,neg_104,remove_edge,quarantine_system;check_status;provision_vm;escalate_to_human,0->1;2->3,"provision_vm -> escalate_to_human, quarantine_system -> check_status"
"Alice reported an issue — lock down staging-db-02, then verify auth-svc-04's health. After that, provision a new instance for Marketing, and lastly hand Eve's issue off to an engineer.",377,neg_105,add_edge,quarantine_system;check_status;provision_vm;escalate_to_human,0->1;1->2;2->3;1->3,"check_status -> escalate_to_human, check_status -> provision_vm, provision_vm -> escalate_to_human, quarantine_system -> check_status"
"Alice reported an issue — lock down staging-db-02, then verify auth-svc-04's health. After that, provision a new instance for Marketing, and lastly hand Eve's issue off to an engineer.",377,neg_106,extra_node,quarantine_system;check_status;provision_vm;escalate_to_human;escalate_to_human,0->1;1->2;2->3;4->0,"check_status -> provision_vm, escalate_to_human -> quarantine_system, provision_vm -> escalate_to_human, quarantine_system -> check_status"
"From Marketing: log Eve's action for compliance, then lock down staging-db-02.",172,neg_107,swap_tools,db_read;update_subscription,0->1,db_read -> update_subscription
"From Marketing: log Eve's action for compliance, then lock down staging-db-02.",172,neg_108,extra_node,log_audit_event;quarantine_system;process_refund,0->1;1->2,"log_audit_event -> quarantine_system, quarantine_system -> process_refund"
Quick task: look up the records for #42017.,40,neg_109,swap_tools,escalate_to_human,,escalate_to_human
Quick task: look up the records for #42017.,40,neg_110,extra_node,db_read;db_read,1->0,db_read -> db_read
"For the Legal team, store the Marketing config in the database, followed by nuke Bob's old login and issue a fresh one, and then process the payout for Alice. Finally, blast an alert to HR.",366,neg_111,swap_edges,db_write;reset_password;process_refund;send_notification,0->3;2->3;1->3,"db_write -> send_notification, process_refund -> send_notification, reset_password -> send_notification"
"For the Legal team, store the Marketing config in the database, followed by nuke Bob's old login and issue a fresh one, and then process the payout for Alice. Finally, blast an alert to HR.",366,neg_112,swap_tools,db_read;reset_password;generate_report;log_audit_event,0->1;1->2;2->3,"db_read -> reset_password, generate_report -> log_audit_event, reset_password -> generate_report"
"For the Legal team, store the Marketing config in the database, followed by nuke Bob's old login and issue a fresh one, and then process the payout for Alice. Finally, blast an alert to HR.",366,neg_113,remove_edge,db_write;reset_password;process_refund;send_notification,0->1;1->2,"db_write -> reset_password, reset_password -> process_refund"
"For the Legal team, store the Marketing config in the database, followed by nuke Bob's old login and issue a fresh one, and then process the payout for Alice. Finally, blast an alert to HR.",366,neg_114,add_edge,db_write;reset_password;process_refund;send_notification,0->1;1->2;2->3;1->3,"db_write -> reset_password, process_refund -> send_notification, reset_password -> process_refund, reset_password -> send_notification"
"For the Legal team, store the Marketing config in the database, followed by nuke Bob's old login and issue a fresh one, and then process the payout for Alice. Finally, blast an alert to HR.",366,neg_115,extra_node,db_write;reset_password;process_refund;send_notification;db_read,0->1;1->2;2->3;4->3,"db_read -> send_notification, db_write -> reset_password, process_refund -> send_notification, reset_password -> process_refund"
