query,dag_id,dag_text,tools,edges,topo_family,source,split
All I need is for someone to shoot Eve an email.,44,send_notification,send_notification,,single_node,original,train
"Time to credit Bob's account, then make a compliance log about Eve.",63,process_refund -> log_audit_event,process_refund;log_audit_event,0->1,chain_short,original,train
"Time to provision a new instance for Legal. Next, escalate Diana's case to the on-call, and then pull Grace's data. Finally, rotate Alice's credentials.",360,"db_read -> reset_password, escalate_to_human -> db_read, provision_vm -> escalate_to_human",provision_vm;escalate_to_human;db_read;reset_password,0->1;1->2;2->3,chain_medium,original,train
"Ticket INC-4021 says look up the records for #53698. Next, lock down prod-web-01. Finally, log Eve's action for compliance.",316,"db_read -> quarantine_system, quarantine_system -> log_audit_event",db_read;quarantine_system;log_audit_event,0->1;1->2,chain_medium,original,train
"Sweep ml-infer-05 for IOCs. Once that's done, assess cdn-edge-06's status. Last step: push the refund through for #31450.",301,"check_status -> process_refund, scan_malware -> check_status",scan_malware;check_status;process_refund,0->1;1->2,chain_medium,original,train
"Ticket INC-8842 says see what's going on with prod-web-01. After that, fire off a notification to Alice.",49,check_status -> send_notification,check_status;send_notification,0->1,chain_short,original,train
"I need you to blast an alert to HR. Next, do a security check on auth-svc-04. Last step: deploy a server for Legal.",258,"scan_malware -> provision_vm, send_notification -> scan_malware",send_notification;scan_malware;provision_vm,0->1;1->2,chain_medium,original,train
"We need to warn Frank about the maintenance, get their info and email them.",3,db_read -> send_notification,db_read;send_notification,0->1,chain_short,original,train
"From Legal: pull cdn-edge-06 from production, and then log Eve's action for compliance.",52,quarantine_system -> log_audit_event,quarantine_system;log_audit_event,0->1,chain_short,original,train
"Charlie is asking us to verify prod-web-01's health and check the DB for Bob. When all of that's complete, send a heads-up to HR.",114,"check_status -> send_notification, db_read -> send_notification",check_status;db_read;send_notification,0->2;1->2,fanin,original,train
"Grace reported an issue — process the payout for Charlie. Once that's done, create a ticket about the Marketing issue. Last step: scan ml-infer-05 for threats.",346,"create_ticket -> scan_malware, process_refund -> create_ticket",process_refund;create_ticket;scan_malware,0->1;1->2,chain_medium,original,train
"Time to check if staging-db-02 is up, then store the Engineering config in the database.",174,check_status -> db_write,check_status;db_write,0->1,chain_short,original,train
"Hey, can you rotate Grace's credentials, and then provision a new instance for Finance.",150,reset_password -> provision_vm,reset_password;provision_vm,0->1,chain_short,original,train
"For the HR team, cycle prod-web-01, and then check if prod-web-01 is up.",185,restart_service -> check_status,restart_service;check_status,0->1,chain_short,original,train
"Check the DB records and scan auth-svc-04 for threats, then dump it all in the audit log.",12,"db_read -> log_audit_event, scan_malware -> log_audit_event",db_read;scan_malware;log_audit_event,0->2;1->2,fanin,original,train
"Per Frank's request, refund Eve, followed by log Eve's action for compliance.",63,process_refund -> log_audit_event,process_refund;log_audit_event,0->1,chain_short,original,train
"Alice reported an issue — lock down staging-db-02, then verify auth-svc-04's health. After that, provision a new instance for Marketing, and lastly hand Eve's issue off to an engineer.",377,"check_status -> provision_vm, provision_vm -> escalate_to_human, quarantine_system -> check_status",quarantine_system;check_status;provision_vm;escalate_to_human,0->1;1->2;2->3,chain_medium,original,train
"From Marketing: log Eve's action for compliance, then lock down staging-db-02.",172,log_audit_event -> quarantine_system,log_audit_event;quarantine_system,0->1,chain_short,original,train
"ASAP — downgrade Grace's account and ping Frank about it. Once both are done, scan staging-db-02 for threats.",459,"send_notification -> scan_malware, update_subscription -> scan_malware",update_subscription;send_notification;scan_malware,0->2;1->2,fanin,original,train
Quick task: look up the records for #42017.,40,db_read,db_read,,single_node,original,train
"For the Legal team, store the Marketing config in the database, followed by nuke Bob's old login and issue a fresh one, and then process the payout for Alice. Finally, blast an alert to HR.",366,"db_write -> reset_password, process_refund -> send_notification, reset_password -> process_refund",db_write;reset_password;process_refund;send_notification,0->1;1->2;2->3,chain_medium,original,train
"Ticket INC-8842 says scan ml-infer-05 for threats and verify auth-svc-04's health, then converge and spin up a tracking ticket for Charlie. Finally, fire off a notification to Charlie.",125,"check_status -> create_ticket, create_ticket -> send_notification, scan_malware -> create_ticket",scan_malware;check_status;create_ticket;send_notification,0->2;1->2;2->3,fanin,original,train
"Quick one — assess prod-web-01's status — then log a Jira for Eve's issue, then pull auth-svc-04 from production. To wrap up, refund Charlie.",357,"check_status -> create_ticket, create_ticket -> quarantine_system, quarantine_system -> process_refund",check_status;create_ticket;quarantine_system;process_refund,0->1;1->2;2->3,chain_medium,original,train
"Quick one — give Bob a new password, followed by investigate cdn-edge-06 for infections.",229,reset_password -> scan_malware,reset_password;scan_malware,0->1,chain_short,original,train
"Pull Diana's data, followed by open a ticket for Grace.",57,db_read -> create_ticket,db_read;create_ticket,0->1,chain_short,original,train
"Credit the account and cancel the sub, then shoot Charlie a message about the changes.",13,"process_refund -> send_notification, update_subscription -> send_notification",process_refund;update_subscription;send_notification,0->2;1->2,fanin,original,train
Urgent: grab Eve's account details — then give Diana a new password. Last step: notify the Finance team.,79,"db_read -> reset_password, reset_password -> send_notification",db_read;reset_password;send_notification,0->1;1->2,chain_medium,original,train
"Hey, can you rotate Diana's credentials, and then provision a new instance for Finance.",150,reset_password -> provision_vm,reset_password;provision_vm,0->1,chain_short,original,train
"Hey, can you file an incident report about staging-db-02 and lock down auth-svc-04. When all of that's complete, generate the Engineering analytics.",465,"create_ticket -> generate_report, quarantine_system -> generate_report",create_ticket;quarantine_system;generate_report,0->2;1->2,fanin,original,train
"Ticket INC-8842 says fetch #10234's info, then change Diana's auth credentials. Last step: send a heads-up to HR.",79,"db_read -> reset_password, reset_password -> send_notification",db_read;reset_password;send_notification,0->1;1->2,chain_medium,original,train
"Pull Frank's data, and then reset Eve's password. Last step: blast an alert to Engineering.",79,"db_read -> reset_password, reset_password -> send_notification",db_read;reset_password;send_notification,0->1;1->2,chain_medium,original,train
"ASAP — check cdn-edge-06 for vulnerabilities and ping payment-api-03 for a health check. Once both are done, file a bug about auth-svc-04. Last step: send a heads-up to Marketing.",125,"check_status -> create_ticket, create_ticket -> send_notification, scan_malware -> create_ticket",scan_malware;check_status;create_ticket;send_notification,0->2;1->2;2->3,fanin,original,train
"Per Bob's request, cycle payment-api-03, and then update Eve's record in the DB. End with reset Bob's password.",282,"db_write -> reset_password, restart_service -> db_write",restart_service;db_write;reset_password,0->1;1->2,chain_medium,original,train
"Hand Eve's issue off to an engineer, followed by log Grace's action for compliance. End with give Alice a new password.",327,"escalate_to_human -> log_audit_event, log_audit_event -> reset_password",escalate_to_human;log_audit_event;reset_password,0->1;1->2,chain_medium,original,train
"Pull Eve's data, followed by open a ticket for Frank.",57,db_read -> create_ticket,db_read;create_ticket,0->1,chain_short,original,train
"Do me a favor and push the refund through for #60122. Next, assess prod-web-01's status.",183,process_refund -> check_status,process_refund;check_status,0->1,chain_short,original,train
"Credit Diana's account, followed by log Eve's action for compliance.",63,process_refund -> log_audit_event,process_refund;log_audit_event,0->1,chain_short,original,train
"We gotta give cdn-edge-06 a kick. Once that's done, provision a new instance for Engineering. To wrap up, update Diana's record in the DB.",302,"provision_vm -> db_write, restart_service -> provision_vm",restart_service;provision_vm;db_write,0->1;1->2,chain_medium,original,train
"When you get a chance, fetch #10234's info, and then give Alice a new password. Next, store the HR config in the database, and then ping Charlie about it. End with record the event in Engineering's log.",142,"db_read -> reset_password, db_write -> send_notification, reset_password -> db_write, send_notification -> log_audit_event",db_read;reset_password;db_write;send_notification;log_audit_event,0->1;1->2;2->3;3->4,chain_long,original,train
"Restart the main process on auth-svc-04 and open a ticket for Alice. Once both are done, wake up the on-call about auth-svc-04.",462,"create_ticket -> escalate_to_human, restart_service -> escalate_to_human",restart_service;create_ticket;escalate_to_human,0->2;1->2,fanin,original,train
"Hey, can you read Diana's profile from the database. Once that's done, reverse the charge on #31450. Once that's done, persist Frank's data to the database, followed by record the event in Engineering's log, and lastly ping Eve about it.",140,"db_read -> process_refund, db_write -> log_audit_event, log_audit_event -> send_notification, process_refund -> db_write",db_read;process_refund;db_write;log_audit_event;send_notification,0->1;1->2;2->3;3->4,chain_long,original,train
"We gotta pull cdn-edge-06 from production, and then log the whole payment-api-03 incident.",52,quarantine_system -> log_audit_event,quarantine_system;log_audit_event,0->1,chain_short,original,train
"I need you to restart the main process on cdn-edge-06 and create a ticket about the Marketing issue, then converge and bring in tier-2 support for Frank.",462,"create_ticket -> escalate_to_human, restart_service -> escalate_to_human",restart_service;create_ticket;escalate_to_human,0->2;1->2,fanin,original,train
"I need you to do a security check on payment-api-03 and verify cdn-edge-06's health. After those finish, create a ticket about the Marketing issue.",111,"check_status -> create_ticket, scan_malware -> create_ticket",scan_malware;check_status;create_ticket,0->2;1->2,fanin,original,train
"We gotta credit Grace's account — then log a Jira for Diana's issue. Finally, run a malware sweep on payment-api-03.",346,"create_ticket -> scan_malware, process_refund -> create_ticket",process_refund;create_ticket;scan_malware,0->1;1->2,chain_medium,original,train
"Record the event in Legal's log and file a bug about staging-db-02, merge everything and push the changes for Alice to the DB.",469,"create_ticket -> db_write, log_audit_event -> db_write",log_audit_event;create_ticket;db_write,0->2;1->2,fanin,original,train
"The HR team needs us to grab Charlie's account details, and then spin up a tracking ticket for Frank.",57,db_read -> create_ticket,db_read;create_ticket,0->1,chain_short,original,train
"Alice is asking us to query the database about #31450. Next, email Alice the update.",3,db_read -> send_notification,db_read;send_notification,0->1,chain_short,original,train
"Time to run a malware sweep on cdn-edge-06 and see what's going on with auth-svc-04. After those finish, file an incident report about cdn-edge-06, and lastly fire off a notification to Charlie.",125,"check_status -> create_ticket, create_ticket -> send_notification, scan_malware -> create_ticket",scan_malware;check_status;create_ticket;send_notification,0->2;1->2;2->3,fanin,original,train
"I need you to do a security check on cdn-edge-06 and verify payment-api-03's health. After those finish, create a ticket about the Marketing issue.",111,"check_status -> create_ticket, scan_malware -> create_ticket",scan_malware;check_status;create_ticket,0->2;1->2,fanin,original,train
"From Engineering: log Charlie's action for compliance, followed by persist Bob's data to the database, and then diagnose cdn-edge-06. Last step: restart the main process on auth-svc-04.",388,"check_status -> restart_service, db_write -> check_status, log_audit_event -> db_write",log_audit_event;db_write;check_status;restart_service,0->1;1->2;2->3,chain_medium,original,train
"Diana is asking us to query the database about #42017. Next, email Eve the update.",3,db_read -> send_notification,db_read;send_notification,0->1,chain_short,original,train
"Per Frank's request, compile a summary for HR, and then notify the Marketing team.",47,generate_report -> send_notification,generate_report;send_notification,0->1,chain_short,original,train
"Charlie reported an issue — ping auth-svc-04 for a health check. Next, log a Jira for Alice's issue, followed by pull prod-web-01 from production. To wrap up, refund Eve.",357,"check_status -> create_ticket, create_ticket -> quarantine_system, quarantine_system -> process_refund",check_status;create_ticket;quarantine_system;process_refund,0->1;1->2;2->3,chain_medium,original,train
"Urgent: verify ml-infer-05's health. Next, restart the service on prod-web-01. End with drop an audit entry for cdn-edge-06.",71,"check_status -> restart_service, restart_service -> log_audit_event",check_status;restart_service;log_audit_event,0->1;1->2,chain_medium,original,train
"Ticket INC-1198 says escalate Charlie's case to the on-call. Next, give prod-web-01 a kick — then nuke Diana's old login and issue a fresh one. Last step: modify Grace's subscription.",390,"escalate_to_human -> restart_service, reset_password -> update_subscription, restart_service -> reset_password",escalate_to_human;restart_service;reset_password;update_subscription,0->1;1->2;2->3,chain_medium,original,train
"Quick one — read Grace's profile from the database. Next, give Alice their money back, then update Frank's record in the DB. Once that's done, log Eve's action for compliance. Last step: fire off a notification to Grace.",140,"db_read -> process_refund, db_write -> log_audit_event, log_audit_event -> send_notification, process_refund -> db_write",db_read;process_refund;db_write;log_audit_event;send_notification,0->1;1->2;2->3;3->4,chain_long,original,train
"Bob reported an issue — give Grace their money back. After that, log Grace's action for compliance.",63,process_refund -> log_audit_event,process_refund;log_audit_event,0->1,chain_short,original,train
"Eve is asking us to hand Alice's issue off to an engineer — then cycle ml-infer-05. Finally, launch an instance for Engineering.",332,"escalate_to_human -> restart_service, restart_service -> provision_vm",escalate_to_human;restart_service;provision_vm,0->1;1->2,chain_medium,original,train
Do me a favor and assess cdn-edge-06's status — then notify the Legal team.,49,check_status -> send_notification,check_status;send_notification,0->1,chain_short,original,train
"When you get a chance, change Charlie's plan. After that, pull Frank's data, and lastly refund Frank.",321,"db_read -> process_refund, update_subscription -> db_read",update_subscription;db_read;process_refund,0->1;1->2,chain_medium,original,train
"ASAP — change Alice's plan, then look up the records for #31450. To wrap up, refund Diana.",321,"db_read -> process_refund, update_subscription -> db_read",update_subscription;db_read;process_refund,0->1;1->2,chain_medium,original,train
"Lock down ml-infer-05. Once that's done, diagnose staging-db-02. Once that's done, stand up a new box for Legal. Finally, loop in a Engineering manager.",377,"check_status -> provision_vm, provision_vm -> escalate_to_human, quarantine_system -> check_status",quarantine_system;check_status;provision_vm;escalate_to_human,0->1;1->2;2->3,chain_medium,original,train
"ASAP — provision a new instance for Legal — then put together a report on cdn-edge-06. Finally, verify payment-api-03's health.",279,"generate_report -> check_status, provision_vm -> generate_report",provision_vm;generate_report;check_status,0->1;1->2,chain_medium,original,train
"Alice is asking us to loop in a Engineering manager — then restart the main process on prod-web-01. After that, nuke Grace's old login and issue a fresh one. Last step: adjust the billing tier for Eve.",390,"escalate_to_human -> restart_service, reset_password -> update_subscription, restart_service -> reset_password",escalate_to_human;restart_service;reset_password;update_subscription,0->1;1->2;2->3,chain_medium,original,train
"Frank is asking us to fire off a notification to Grace, then look up the records for #10234 — then commit Grace's update to the database. Last step: modify Grace's subscription.",359,"db_read -> db_write, db_write -> update_subscription, send_notification -> db_read",send_notification;db_read;db_write;update_subscription,0->1;1->2;2->3,chain_medium,original,train
"When you get a chance, disconnect cdn-edge-06 from everything. Once that's done, spin up a VM for HR.",193,quarantine_system -> provision_vm,quarantine_system;provision_vm,0->1,chain_short,original,train
"Whip up a report for Finance. After that, check cdn-edge-06 for vulnerabilities. To wrap up, reverse the charge on #60122.",274,"generate_report -> scan_malware, scan_malware -> process_refund",generate_report;scan_malware;process_refund,0->1;1->2,chain_medium,original,train
"Urgent: credit Diana's account. Once that's done, record the event in Legal's log.",63,process_refund -> log_audit_event,process_refund;log_audit_event,0->1,chain_short,original,train
Bob is asking us to modify Eve's subscription and simultaneously credit Frank's account and lock down cdn-edge-06.,412,"update_subscription -> process_refund, update_subscription -> quarantine_system",update_subscription;process_refund;quarantine_system,0->1;0->2,fanout,original,train
"From Legal: cycle cdn-edge-06, followed by verify payment-api-03's health.",185,restart_service -> check_status,restart_service;check_status,0->1,chain_short,original,train
"Quick one — yank auth-svc-04 off the network. After that, launch an instance for Engineering.",193,quarantine_system -> provision_vm,quarantine_system;provision_vm,0->1,chain_short,original,train
"Bob is asking us to create an audit trail for #60122 and file an incident report about staging-db-02. After those finish, update Diana's record in the DB.",469,"create_ticket -> db_write, log_audit_event -> db_write",log_audit_event;create_ticket;db_write,0->2;1->2,fanin,original,train
"I need you to pull Eve's data. Next, create a support case for Marketing.",57,db_read -> create_ticket,db_read;create_ticket,0->1,chain_short,original,train
"Hey, can you credit Frank's account — then log the whole ml-infer-05 incident.",63,process_refund -> log_audit_event,process_refund;log_audit_event,0->1,chain_short,original,train
"Time to create an audit trail for #60122. Next, save the changes for Grace to the DB, and then see what's going on with auth-svc-04. Finally, restart the main process on cdn-edge-06.",388,"check_status -> restart_service, db_write -> check_status, log_audit_event -> db_write",log_audit_event;db_write;check_status;restart_service,0->1;1->2;2->3,chain_medium,original,train
"Charlie is asking us to pull Alice's data, then build a compliance doc for Marketing. Once that's done, push the changes for Frank to the DB. Last step: run a malware sweep on cdn-edge-06.",373,"db_read -> generate_report, db_write -> scan_malware, generate_report -> db_write",db_read;generate_report;db_write;scan_malware,0->1;1->2;2->3,chain_medium,original,train
"When you get a chance, produce the Legal performance summary. Next, blast an alert to Marketing.",47,generate_report -> send_notification,generate_report;send_notification,0->1,chain_short,original,train
"Urgent: scan ml-infer-05 for threats and see what's going on with cdn-edge-06. When all of that's complete, spin up a tracking ticket for Alice.",111,"check_status -> create_ticket, scan_malware -> create_ticket",scan_malware;check_status;create_ticket,0->2;1->2,fanin,original,train
"Grace is asking us to disconnect cdn-edge-06 from everything. Next, create a virtual machine for Engineering.",193,quarantine_system -> provision_vm,quarantine_system;provision_vm,0->1,chain_short,original,train
"Urgent: isolate auth-svc-04, then log Frank's action for compliance.",52,quarantine_system -> log_audit_event,quarantine_system;log_audit_event,0->1,chain_short,original,train
"The Finance team needs us to look up the records for #10234. Next, file a bug about payment-api-03.",57,db_read -> create_ticket,db_read;create_ticket,0->1,chain_short,original,train
"Ticket INC-8842 says give Frank their money back, then look up the records for #42017.",235,process_refund -> db_read,process_refund;db_read,0->1,chain_short,original,train
"Hey, can you pull Alice's data. After that, change Alice's auth credentials. After that, push the changes for Frank to the DB. To wrap up, notify the Finance team.",98,"db_read -> reset_password, db_write -> send_notification, reset_password -> db_write",db_read;reset_password;db_write;send_notification,0->1;1->2;2->3,chain_medium,original,train
"Diana is asking us to yank prod-web-01 off the network. Once that's done, drop an audit entry for payment-api-03.",52,quarantine_system -> log_audit_event,quarantine_system;log_audit_event,0->1,chain_short,original,train
"Per Bob's request, bounce auth-svc-04 and investigate prod-web-01 for infections, then converge and create a ticket about the Engineering issue.",456,"restart_service -> create_ticket, scan_malware -> create_ticket",restart_service;scan_malware;create_ticket,0->2;1->2,fanin,original,train
"Urgent: log the whole auth-svc-04 incident. After that, yank staging-db-02 off the network.",172,log_audit_event -> quarantine_system,log_audit_event;quarantine_system,0->1,chain_short,original,train
"Urgent: see what's going on with staging-db-02, followed by save the changes for Charlie to the DB.",174,check_status -> db_write,check_status;db_write,0->1,chain_short,original,train
"For the Legal team, get a human involved for Grace. After that, launch an instance for HR. After that, create a ticket about the Legal issue. Finally, push the refund through for #53698.",379,"create_ticket -> process_refund, escalate_to_human -> provision_vm, provision_vm -> create_ticket",escalate_to_human;provision_vm;create_ticket;process_refund,0->1;1->2;2->3,chain_medium,original,train
"ASAP — process the payout for Eve. Next, query the database about #53698.",235,process_refund -> db_read,process_refund;db_read,0->1,chain_short,original,train
"Do me a favor and quarantine prod-web-01, followed by log Grace's action for compliance.",52,quarantine_system -> log_audit_event,quarantine_system;log_audit_event,0->1,chain_short,original,train
"For the HR team, give prod-web-01 a kick and investigate auth-svc-04 for infections, then converge and create a support case for Finance.",456,"restart_service -> create_ticket, scan_malware -> create_ticket",restart_service;scan_malware;create_ticket,0->2;1->2,fanin,original,train
"Quick one — check if ml-infer-05 is up. Next, save the changes for Frank to the DB.",174,check_status -> db_write,check_status;db_write,0->1,chain_short,original,train
"Charlie reported an issue — hand Bob's issue off to an engineer and see what's going on with payment-api-03. After those finish, rotate Frank's credentials.",443,"check_status -> reset_password, escalate_to_human -> reset_password",escalate_to_human;check_status;reset_password,0->2;1->2,fanin,original,train
"Per Alice's request, disconnect auth-svc-04 from everything. Next, drop an audit entry for payment-api-03.",52,quarantine_system -> log_audit_event,quarantine_system;log_audit_event,0->1,chain_short,original,train
"Per Frank's request, ping auth-svc-04 for a health check — in parallel, fetch #10234's info and deploy a server for Legal.",414,"check_status -> db_read, check_status -> provision_vm",check_status;db_read;provision_vm,0->1;0->2,fanout,original,train
"Urgent: credit Bob's account. Once that's done, record the event in Legal's log.",63,process_refund -> log_audit_event,process_refund;log_audit_event,0->1,chain_short,original,train
"Hey, can you launch an instance for HR. Next, run a malware sweep on prod-web-01.",216,provision_vm -> scan_malware,provision_vm;scan_malware,0->1,chain_short,original,train
"The Legal team needs us to diagnose cdn-edge-06, followed by persist Charlie's data to the database.",174,check_status -> db_write,check_status;db_write,0->1,chain_short,original,train
"Per Charlie's request, cycle ml-infer-05, and then update Alice's record in the DB. End with reset Bob's password.",282,"db_write -> reset_password, restart_service -> db_write",restart_service;db_write;reset_password,0->1;1->2,chain_medium,original,train
"Urgent: get a human involved for Bob, and then record the event in HR's log, and lastly rotate Alice's credentials.",327,"escalate_to_human -> log_audit_event, log_audit_event -> reset_password",escalate_to_human;log_audit_event;reset_password,0->1;1->2,chain_medium,original,train
"Time to fire off a notification to Bob, and then pull Diana's data, then update Alice's record in the DB, and lastly downgrade Diana's account.",359,"db_read -> db_write, db_write -> update_subscription, send_notification -> db_read",send_notification;db_read;db_write;update_subscription,0->1;1->2;2->3,chain_medium,original,train
"We gotta process the payout for Diana and modify Grace's subscription. Once both are done, record the event in Engineering's log.",112,"process_refund -> log_audit_event, update_subscription -> log_audit_event",process_refund;update_subscription;log_audit_event,0->2;1->2,fanin,original,train
Do me a favor and adjust the billing tier for Eve while also reverse the charge on #60122 and yank cdn-edge-06 off the network.,412,"update_subscription -> process_refund, update_subscription -> quarantine_system",update_subscription;process_refund;quarantine_system,0->1;0->2,fanout,original,train
"Read the user activity and scan the system, logging the combined results at the end.",12,"db_read -> log_audit_event, scan_malware -> log_audit_event",db_read;scan_malware;log_audit_event,0->2;1->2,fanin,original,train
"Eve is asking us to pull Alice's data, then build a compliance doc for Finance. Once that's done, push the changes for Charlie to the DB. Last step: run a malware sweep on auth-svc-04.",373,"db_read -> generate_report, db_write -> scan_malware, generate_report -> db_write",db_read;generate_report;db_write;scan_malware,0->1;1->2;2->3,chain_medium,original,train
"Do me a favor and downgrade Bob's account. After that, check the DB for Diana. End with process the payout for Frank.",321,"db_read -> process_refund, update_subscription -> db_read",update_subscription;db_read;process_refund,0->1;1->2,chain_medium,original,train
I need you to verify payment-api-03's health — then fire off a notification to Frank.,49,check_status -> send_notification,check_status;send_notification,0->1,chain_short,original,train
"Per Charlie's request, read Bob's profile from the database. Next, open a ticket for Diana.",57,db_read -> create_ticket,db_read;create_ticket,0->1,chain_short,original,train
"Alice reported an issue — look up the records for #60122. Once that's done, notify the Marketing team.",3,db_read -> send_notification,db_read;send_notification,0->1,chain_short,original,train
"Do me a favor and bring in tier-2 support for Bob. After that, give prod-web-01 a kick. Finally, provision a new instance for Marketing.",332,"escalate_to_human -> restart_service, restart_service -> provision_vm",escalate_to_human;restart_service;provision_vm,0->1;1->2,chain_medium,original,train
"When you get a chance, bounce staging-db-02 and sweep auth-svc-04 for IOCs, then converge and create a ticket about the Legal issue.",456,"restart_service -> create_ticket, scan_malware -> create_ticket",restart_service;scan_malware;create_ticket,0->2;1->2,fanin,original,train
"Diana is asking us to check the DB for Bob and assess cdn-edge-06's status, merge everything and compile a summary for Finance.",110,"check_status -> generate_report, db_read -> generate_report",db_read;check_status;generate_report,0->2;1->2,fanin,original,train
"Hey, can you nuke Diana's old login and issue a fresh one, and then update Frank's subscription. End with create a virtual machine for Marketing.",308,"reset_password -> update_subscription, update_subscription -> provision_vm",reset_password;update_subscription;provision_vm,0->1;1->2,chain_medium,original,train
"Quick one — loop in a HR manager, then deploy a server for Finance. After that, log a Jira for Bob's issue, and lastly credit Alice's account.",379,"create_ticket -> process_refund, escalate_to_human -> provision_vm, provision_vm -> create_ticket",escalate_to_human;provision_vm;create_ticket;process_refund,0->1;1->2;2->3,chain_medium,original,train
"The Legal team needs us to query the database about #42017, then force a credential change for Grace — then save the changes for Grace to the DB. End with ping Bob about it.",98,"db_read -> reset_password, db_write -> send_notification, reset_password -> db_write",db_read;reset_password;db_write;send_notification,0->1;1->2;2->3,chain_medium,original,train
"Hey, can you nuke Frank's old login and issue a fresh one, and then update Grace's subscription. End with create a virtual machine for Marketing.",308,"reset_password -> update_subscription, update_subscription -> provision_vm",reset_password;update_subscription;provision_vm,0->1;1->2,chain_medium,original,train
"Quick one — dig up the history on Frank, followed by credit Eve's account, then save the changes for Alice to the DB. Once that's done, log Diana's action for compliance. End with notify the HR team.",140,"db_read -> process_refund, db_write -> log_audit_event, log_audit_event -> send_notification, process_refund -> db_write",db_read;process_refund;db_write;log_audit_event;send_notification,0->1;1->2;2->3;3->4,chain_long,original,train
"Hey, can you read Eve's profile from the database. Once that's done, reverse the charge on #53698. Once that's done, persist Eve's data to the database, followed by record the event in Finance's log, and lastly ping Grace about it.",140,"db_read -> process_refund, db_write -> log_audit_event, log_audit_event -> send_notification, process_refund -> db_write",db_read;process_refund;db_write;log_audit_event;send_notification,0->1;1->2;2->3;3->4,chain_long,original,train
