source_row_id,original_query,query,ground_truth,generation_type,lexical_cues_removed,paraphrase_family,confusable_with,ground_truth_tool,class_id,predicted_tool,correct,rank,top5_tools
820,Can you check the status of ml-infer-05?,We haven't heard from payment-api-03 in a while.,check_status,lexical_cue_reduced,check;status,,,check_status,12,generate_report,False,10,generate_report;provision_vm;process_refund;send_notification;quarantine_system
821,Can you verify whether cdn-edge-06 is healthy?,Any idea what state prod-web-01 is in?,check_status,lexical_cue_reduced,verify,,,check_status,12,generate_report,False,12,generate_report;provision_vm;quarantine_system;scan_malware;create_ticket
822,Can you see if auth-svc-04 is up?,I'd like a pulse on payment-api-03.,check_status,lexical_cue_reduced,up,,,check_status,12,generate_report,False,8,generate_report;provision_vm;send_notification;create_ticket;process_refund
823,Can you inspect the current state of payment-api-03?,Is everything okay with cdn-edge-06?,check_status,lexical_cue_reduced,,,,check_status,12,generate_report,False,9,generate_report;send_notification;provision_vm;create_ticket;quarantine_system
824,Can you look into prod-web-01's health?,We need visibility into ml-infer-05's condition.,check_status,lexical_cue_reduced,health,,,check_status,12,generate_report,False,6,generate_report;send_notification;quarantine_system;process_refund;provision_vm
825,Can you confirm that auth-svc-04 is running normally?,What's going on with auth-svc-04?,check_status,lexical_cue_reduced,,,,check_status,12,reset_password,False,11,reset_password;log_audit_event;quarantine_system;scan_malware;process_refund
826,Can you check whether payment-api-03 is operational?,What's going on with ml-infer-05?,check_status,lexical_cue_reduced,check,,,check_status,12,generate_report,False,14,generate_report;provision_vm;process_refund;quarantine_system;scan_malware
827,Can you review the status of auth-svc-04?,Is cdn-edge-06 still working?,check_status,lexical_cue_reduced,status,,,check_status,12,generate_report,False,7,generate_report;process_refund;provision_vm;send_notification;create_ticket
828,Could you check the status of staging-db-02 for me?,Give me a quick look at how staging-db-02 is doing.,check_status,lexical_cue_reduced,check;status,,,check_status,12,db_write,False,10,db_write;generate_report;db_read;provision_vm;quarantine_system
829,Could you verify whether payment-api-03 is healthy for me?,Is auth-svc-04 still working?,check_status,lexical_cue_reduced,verify,,,check_status,12,reset_password,False,10,reset_password;log_audit_event;restart_service;process_refund;generate_report
830,Could you see if payment-api-03 is up for me?,I'd like a pulse on staging-db-02.,check_status,lexical_cue_reduced,up,,,check_status,12,db_write,False,9,db_write;generate_report;db_read;send_notification;provision_vm
831,Could you inspect the current state of payment-api-03 for me?,We haven't heard from cdn-edge-06 in a while.,check_status,lexical_cue_reduced,,,,check_status,12,generate_report,False,8,generate_report;send_notification;provision_vm;escalate_to_human;create_ticket
832,Could you look into ml-infer-05's health for me?,Can someone tell me if ml-infer-05 is alive?,check_status,lexical_cue_reduced,health,,,check_status,12,generate_report,False,10,generate_report;quarantine_system;db_write;provision_vm;send_notification
833,Could you confirm that cdn-edge-06 is running normally for me?,We need visibility into auth-svc-04's condition.,check_status,lexical_cue_reduced,,,,check_status,12,check_status,True,1,check_status;log_audit_event;send_notification;generate_report;quarantine_system
834,Could you check whether payment-api-03 is operational for me?,I'd like a pulse on prod-web-01.,check_status,lexical_cue_reduced,check,,,check_status,12,generate_report,False,10,generate_report;provision_vm;create_ticket;send_notification;quarantine_system
835,Could you review the status of ml-infer-05 for me?,We haven't heard from prod-web-01 in a while.,check_status,lexical_cue_reduced,status,,,check_status,12,generate_report,False,12,generate_report;provision_vm;quarantine_system;send_notification;escalate_to_human
836,I need you to check the status of ml-infer-05.,I'd like a pulse on auth-svc-04.,check_status,lexical_cue_reduced,check;status,,,check_status,12,generate_report,False,10,generate_report;send_notification;quarantine_system;create_ticket;provision_vm
837,I need you to verify whether staging-db-02 is healthy.,Is prod-web-01 still working?,check_status,lexical_cue_reduced,verify,,,check_status,12,generate_report,False,11,generate_report;provision_vm;process_refund;quarantine_system;create_ticket
838,I need you to see if staging-db-02 is up.,We need visibility into staging-db-02's condition.,check_status,lexical_cue_reduced,up,,,check_status,12,db_write,False,4,db_write;db_read;generate_report;check_status;send_notification
839,I need you to inspect the current state of cdn-edge-06.,Can you confirm ml-infer-05 is operational?,check_status,lexical_cue_reduced,,,,check_status,12,generate_report,False,9,generate_report;send_notification;quarantine_system;process_refund;provision_vm
840,I need you to look into auth-svc-04's health.,We need visibility into prod-web-01's condition.,check_status,lexical_cue_reduced,health,,,check_status,12,generate_report,False,9,generate_report;quarantine_system;provision_vm;send_notification;create_ticket
841,I need you to confirm that ml-infer-05 is running normally.,Can someone tell me if cdn-edge-06 is alive?,check_status,lexical_cue_reduced,,,,check_status,12,generate_report,False,5,generate_report;send_notification;quarantine_system;provision_vm;check_status
842,I need you to check whether staging-db-02 is operational.,Any idea what state ml-infer-05 is in?,check_status,lexical_cue_reduced,check,,,check_status,12,generate_report,False,14,generate_report;process_refund;quarantine_system;provision_vm;scan_malware
843,I need you to review the status of cdn-edge-06.,Is ml-infer-05 still working?,check_status,lexical_cue_reduced,status,,,check_status,12,generate_report,False,13,generate_report;process_refund;quarantine_system;send_notification;db_write
844,We should check the status of auth-svc-04.,Can you confirm payment-api-03 is operational?,check_status,lexical_cue_reduced,check;status,,,check_status,12,generate_report,False,7,generate_report;send_notification;provision_vm;quarantine_system;process_refund
845,We should verify whether cdn-edge-06 is healthy.,Can someone tell me if auth-svc-04 is alive?,check_status,lexical_cue_reduced,verify,,,check_status,12,quarantine_system,False,6,quarantine_system;generate_report;log_audit_event;scan_malware;restart_service
846,We should see if cdn-edge-06 is up.,Is everything okay with ml-infer-05?,check_status,lexical_cue_reduced,up,,,check_status,12,generate_report,False,13,generate_report;send_notification;quarantine_system;db_write;scan_malware
847,We should inspect the current state of auth-svc-04.,Can someone tell me if payment-api-03 is alive?,check_status,lexical_cue_reduced,,,,check_status,12,generate_report,False,6,generate_report;quarantine_system;process_refund;provision_vm;send_notification
848,We should look into auth-svc-04's health.,Any idea what state staging-db-02 is in?,check_status,lexical_cue_reduced,health,,,check_status,12,db_read,False,8,db_read;db_write;generate_report;provision_vm;process_refund
849,We should confirm that prod-web-01 is running normally.,Can you confirm cdn-edge-06 is operational?,check_status,lexical_cue_reduced,,,,check_status,12,generate_report,False,7,generate_report;send_notification;provision_vm;quarantine_system;create_ticket
850,We should check whether payment-api-03 is operational.,Give me a quick look at how ml-infer-05 is doing.,check_status,lexical_cue_reduced,check,,,check_status,12,generate_report,False,13,generate_report;provision_vm;quarantine_system;process_refund;send_notification
851,We should review the status of staging-db-02.,Any idea what state auth-svc-04 is in?,check_status,lexical_cue_reduced,status,,,check_status,12,reset_password,False,11,reset_password;quarantine_system;process_refund;log_audit_event;create_ticket
852,Let's check the status of auth-svc-04.,We need visibility into cdn-edge-06's condition.,check_status,lexical_cue_reduced,check;status,,,check_status,12,generate_report,False,6,generate_report;send_notification;create_ticket;provision_vm;quarantine_system
853,Let's verify whether cdn-edge-06 is healthy.,Any idea what state cdn-edge-06 is in?,check_status,lexical_cue_reduced,verify,,,check_status,12,provision_vm,False,9,provision_vm;create_ticket;generate_report;quarantine_system;process_refund
854,Let's see if staging-db-02 is up.,We need visibility into payment-api-03's condition.,check_status,lexical_cue_reduced,up,,,check_status,12,generate_report,False,2,generate_report;check_status;send_notification;create_ticket;provision_vm
855,Let's inspect the current state of payment-api-03.,Give me a quick look at how cdn-edge-06 is doing.,check_status,lexical_cue_reduced,,,,check_status,12,generate_report,False,10,generate_report;provision_vm;create_ticket;send_notification;quarantine_system
856,Let's look into cdn-edge-06's health.,Is everything okay with auth-svc-04?,check_status,lexical_cue_reduced,health,,,check_status,12,reset_password,False,12,reset_password;quarantine_system;scan_malware;create_ticket;provision_vm
857,Let's confirm that ml-infer-05 is running normally.,Is payment-api-03 still working?,check_status,lexical_cue_reduced,,,,check_status,12,generate_report,False,10,generate_report;process_refund;provision_vm;create_ticket;quarantine_system
858,Let's check whether payment-api-03 is operational.,Is everything okay with payment-api-03?,check_status,lexical_cue_reduced,check,,,check_status,12,generate_report,False,11,generate_report;provision_vm;create_ticket;quarantine_system;process_refund
859,Let's review the status of auth-svc-04.,Can someone tell me if prod-web-01 is alive?,check_status,lexical_cue_reduced,status,,,check_status,12,generate_report,False,9,generate_report;quarantine_system;provision_vm;scan_malware;send_notification
860,Kindly check the status of ml-infer-05.,What's going on with payment-api-03?,check_status,lexical_cue_reduced,check;status,,,check_status,12,generate_report,False,11,generate_report;provision_vm;create_ticket;process_refund;quarantine_system
861,Kindly verify whether payment-api-03 is healthy.,Can someone tell me if staging-db-02 is alive?,check_status,lexical_cue_reduced,verify,,,check_status,12,db_read,False,4,db_read;db_write;generate_report;check_status;quarantine_system
862,Kindly see if auth-svc-04 is up.,I'd like a pulse on cdn-edge-06.,check_status,lexical_cue_reduced,up,,,check_status,12,generate_report,False,8,generate_report;send_notification;create_ticket;provision_vm;quarantine_system
863,Kindly inspect the current state of cdn-edge-06.,I'd like a pulse on ml-infer-05.,check_status,lexical_cue_reduced,,,,check_status,12,generate_report,False,11,generate_report;send_notification;provision_vm;quarantine_system;process_refund
864,Kindly look into ml-infer-05's health.,Give me a quick look at how prod-web-01 is doing.,check_status,lexical_cue_reduced,health,,,check_status,12,generate_report,False,12,generate_report;provision_vm;quarantine_system;create_ticket;scan_malware
865,Kindly confirm that payment-api-03 is running normally.,Any idea what state cdn-edge-06 is in?,check_status,lexical_cue_reduced,,,,check_status,12,provision_vm,False,9,provision_vm;create_ticket;generate_report;quarantine_system;process_refund
866,Kindly check whether payment-api-03 is operational.,We haven't heard from auth-svc-04 in a while.,check_status,lexical_cue_reduced,check,,,check_status,12,generate_report,False,12,generate_report;quarantine_system;reset_password;log_audit_event;escalate_to_human
867,Kindly review the status of cdn-edge-06.,Any idea what state cdn-edge-06 is in?,check_status,lexical_cue_reduced,status,,,check_status,12,provision_vm,False,9,provision_vm;create_ticket;generate_report;quarantine_system;process_refund
868,"When you have a moment, check the status of auth-svc-04.",Any idea what state auth-svc-04 is in?,check_status,lexical_cue_reduced,check;status,,,check_status,12,reset_password,False,11,reset_password;quarantine_system;process_refund;log_audit_event;create_ticket
869,"When you have a moment, verify whether payment-api-03 is healthy.",Is everything okay with ml-infer-05?,check_status,lexical_cue_reduced,verify,,,check_status,12,generate_report,False,13,generate_report;send_notification;quarantine_system;db_write;scan_malware
870,"When you have a moment, see if payment-api-03 is up.",Can someone tell me if prod-web-01 is alive?,check_status,lexical_cue_reduced,up,,,check_status,12,generate_report,False,9,generate_report;quarantine_system;provision_vm;scan_malware;send_notification
201,open an incident ticket for payment-api-03.,Make sure this doesn't slip through the cracks.,create_ticket,lexical_cue_reduced,incident;open;ticket,,,create_ticket,3,generate_report,False,2,generate_report;create_ticket;provision_vm;quarantine_system;send_notification
202,file a case for Bob.,We should have a reference number for Frank's issue.,create_ticket,lexical_cue_reduced,case;file,,,create_ticket,3,create_ticket,True,1,create_ticket;provision_vm;generate_report;escalate_to_human;process_refund
203,create a support case for prod-web-01.,This needs an official entry in our tracking system.,create_ticket,lexical_cue_reduced,case;create;support,,,create_ticket,3,generate_report,False,7,generate_report;send_notification;db_write;provision_vm;quarantine_system
204,log a helpdesk issue for Bob.,We should have a reference number for Charlie's issue.,create_ticket,lexical_cue_reduced,log,,,create_ticket,3,generate_report,False,2,generate_report;create_ticket;provision_vm;process_refund;quarantine_system
205,raise a service request for HR.,We need to track this issue with Bob.,create_ticket,lexical_cue_reduced,,,,create_ticket,3,create_ticket,True,1,create_ticket;escalate_to_human;generate_report;provision_vm;quarantine_system
206,submit a ticket for Alice.,This needs to be logged for follow-up.,create_ticket,lexical_cue_reduced,ticket,,,create_ticket,3,generate_report,False,3,generate_report;log_audit_event;create_ticket;send_notification;provision_vm
207,open a service desk case for Alice.,We should have a reference number for Alice's issue.,create_ticket,lexical_cue_reduced,case;open,,,create_ticket,3,escalate_to_human,False,2,escalate_to_human;create_ticket;generate_report;provision_vm;process_refund
208,create a tracking issue for Frank.,We need a paper trail for the payment-api-03 issue.,create_ticket,lexical_cue_reduced,create;tracking,,,create_ticket,3,generate_report,False,2,generate_report;create_ticket;process_refund;provision_vm;log_audit_event
209,Please open an incident ticket for auth-svc-04.,We need a paper trail for the auth-svc-04 issue.,create_ticket,lexical_cue_reduced,incident;open;ticket,,,create_ticket,3,generate_report,False,3,generate_report;log_audit_event;create_ticket;reset_password;process_refund
210,Please file a case for Alice.,This should be documented somewhere official.,create_ticket,lexical_cue_reduced,case;file,,,create_ticket,3,create_ticket,True,1,create_ticket;generate_report;provision_vm;escalate_to_human;send_notification
211,Please create a support case for ml-infer-05.,Someone should formalize this complaint from Bob.,create_ticket,lexical_cue_reduced,case;create;support,,,create_ticket,3,escalate_to_human,False,3,escalate_to_human;send_notification;create_ticket;quarantine_system;provision_vm
212,Please log an issue against staging-db-02.,Can we get a formal record of Charlie's problem?,create_ticket,lexical_cue_reduced,log,,,create_ticket,3,escalate_to_human,False,4,escalate_to_human;generate_report;quarantine_system;create_ticket;process_refund
213,Please raise a service request for Finance.,Can we get a formal record of Alice's problem?,create_ticket,lexical_cue_reduced,,,,create_ticket,3,escalate_to_human,False,2,escalate_to_human;create_ticket;generate_report;send_notification;provision_vm
214,Please submit a ticket for Frank.,Someone should formalize this complaint from Eve.,create_ticket,lexical_cue_reduced,ticket,,,create_ticket,3,escalate_to_human,False,6,escalate_to_human;send_notification;generate_report;provision_vm;quarantine_system
215,Please open a service desk case for Diana.,We should have a reference number for Diana's issue.,create_ticket,lexical_cue_reduced,case;open,,,create_ticket,3,generate_report,False,2,generate_report;create_ticket;process_refund;provision_vm;db_write
216,Please create a support issue for HR.,We need to track this issue with Diana.,create_ticket,lexical_cue_reduced,create;support,,,create_ticket,3,generate_report,False,2,generate_report;create_ticket;escalate_to_human;provision_vm;process_refund
217,Can you open an incident ticket for staging-db-02?,Eve reported something that needs tracking.,create_ticket,lexical_cue_reduced,incident;open;ticket,,,create_ticket,3,generate_report,False,8,generate_report;send_notification;escalate_to_human;log_audit_event;quarantine_system
218,Can you file a case for Charlie?,We need to track this issue with Alice.,create_ticket,lexical_cue_reduced,case;file,,,create_ticket,3,escalate_to_human,False,2,escalate_to_human;create_ticket;generate_report;provision_vm;send_notification
219,Can you create an incident ticket for Eve?,We need a paper trail for the cdn-edge-06 issue.,create_ticket,lexical_cue_reduced,create;incident;ticket,,,create_ticket,3,generate_report,False,2,generate_report;create_ticket;provision_vm;process_refund;send_notification
220,Can you log a helpdesk issue for Grace?,We need to track this issue with Grace.,create_ticket,lexical_cue_reduced,log,,,create_ticket,3,create_ticket,True,1,create_ticket;generate_report;escalate_to_human;log_audit_event;provision_vm
221,Can you raise an incident for auth-svc-04?,Can we get a formal record of Diana's problem?,create_ticket,lexical_cue_reduced,incident,,,create_ticket,3,escalate_to_human,False,3,escalate_to_human;generate_report;create_ticket;db_write;process_refund
222,Can you submit a ticket for Bob?,Someone should formalize this complaint from Frank.,create_ticket,lexical_cue_reduced,ticket,,,create_ticket,3,escalate_to_human,False,2,escalate_to_human;create_ticket;provision_vm;send_notification;quarantine_system
223,Can you open a tracking case for HR?,Can we get a formal record of Eve's problem?,create_ticket,lexical_cue_reduced,case;open;tracking,,,create_ticket,3,escalate_to_human,False,4,escalate_to_human;generate_report;log_audit_event;create_ticket;db_write
224,Can you create a support issue for Finance?,Charlie reported something that needs tracking.,create_ticket,lexical_cue_reduced,create;support,,,create_ticket,3,generate_report,False,3,generate_report;quarantine_system;create_ticket;send_notification;provision_vm
225,Could you open an incident ticket for cdn-edge-06 for me?,Someone should formalize this complaint from Alice.,create_ticket,lexical_cue_reduced,incident;open;ticket,,,create_ticket,3,escalate_to_human,False,2,escalate_to_human;create_ticket;send_notification;provision_vm;generate_report
226,Could you file a bug for payment-api-03 for me?,Alice reported something that needs tracking.,create_ticket,lexical_cue_reduced,bug;file,,,create_ticket,3,escalate_to_human,False,3,escalate_to_human;generate_report;create_ticket;send_notification;provision_vm
227,Could you create an incident ticket for Diana for me?,Someone should formalize this complaint from Grace.,create_ticket,lexical_cue_reduced,create;incident;ticket,,,create_ticket,3,escalate_to_human,False,3,escalate_to_human;send_notification;create_ticket;provision_vm;quarantine_system
228,Could you log a helpdesk issue for Frank for me?,We need to track this issue with Frank.,create_ticket,lexical_cue_reduced,log,,,create_ticket,3,create_ticket,True,1,create_ticket;generate_report;provision_vm;escalate_to_human;quarantine_system
229,Could you raise an incident for payment-api-03 for me?,Someone should formalize this complaint from Diana.,create_ticket,lexical_cue_reduced,incident,,,create_ticket,3,escalate_to_human,False,3,escalate_to_human;generate_report;create_ticket;provision_vm;send_notification
230,Could you submit a ticket for host auth-svc-04 for me?,Someone should formalize this complaint from Charlie.,create_ticket,lexical_cue_reduced,ticket,,,create_ticket,3,escalate_to_human,False,5,escalate_to_human;quarantine_system;send_notification;provision_vm;create_ticket
231,Could you open a tracking issue for ml-infer-05 for me?,We should have a reference number for Grace's issue.,create_ticket,lexical_cue_reduced,open;tracking,,,create_ticket,3,create_ticket,True,1,create_ticket;generate_report;provision_vm;process_refund;escalate_to_human
232,Could you create a service request for auth-svc-04 for me?,We need a paper trail for the prod-web-01 issue.,create_ticket,lexical_cue_reduced,create,,,create_ticket,3,generate_report,False,2,generate_report;create_ticket;provision_vm;process_refund;quarantine_system
233,I need you to open an incident ticket for prod-web-01.,We need a paper trail for the ml-infer-05 issue.,create_ticket,lexical_cue_reduced,incident;open;ticket,,,create_ticket,3,generate_report,False,6,generate_report;process_refund;send_notification;provision_vm;quarantine_system
234,I need you to file a case for Bob.,Can we get a formal record of Grace's problem?,create_ticket,lexical_cue_reduced,case;file,,,create_ticket,3,escalate_to_human,False,3,escalate_to_human;log_audit_event;create_ticket;generate_report;process_refund
235,I need you to create an incident ticket for Bob.,Grace reported something that needs tracking.,create_ticket,lexical_cue_reduced,create;incident;ticket,,,create_ticket,3,generate_report,False,2,generate_report;create_ticket;log_audit_event;escalate_to_human;send_notification
236,I need you to log a helpdesk issue for Engineering.,We need to track this issue with Charlie.,create_ticket,lexical_cue_reduced,log,,,create_ticket,3,generate_report,False,2,generate_report;create_ticket;escalate_to_human;quarantine_system;provision_vm
237,I need you to raise a service request for Marketing.,Eve reported something that needs tracking.,create_ticket,lexical_cue_reduced,,,,create_ticket,3,generate_report,False,8,generate_report;send_notification;escalate_to_human;log_audit_event;quarantine_system
238,I need you to submit a ticket for Alice.,Frank reported something that needs tracking.,create_ticket,lexical_cue_reduced,ticket,,,create_ticket,3,generate_report,False,2,generate_report;create_ticket;provision_vm;escalate_to_human;send_notification
239,I need you to open a service desk case for Eve.,We should have a reference number for Bob's issue.,create_ticket,lexical_cue_reduced,case;open,,,create_ticket,3,create_ticket,True,1,create_ticket;provision_vm;generate_report;process_refund;escalate_to_human
240,I need you to create a tracking issue for Eve.,Can we get a formal record of Bob's problem?,create_ticket,lexical_cue_reduced,create;tracking,,,create_ticket,3,escalate_to_human,False,2,escalate_to_human;create_ticket;generate_report;process_refund;quarantine_system
241,We should open a support ticket for Bob.,This needs to be logged for follow-up.,create_ticket,lexical_cue_reduced,open;support;ticket,,,create_ticket,3,generate_report,False,3,generate_report;log_audit_event;create_ticket;send_notification;provision_vm
242,We should file a case for the HR team.,We need to track this issue with Eve.,create_ticket,lexical_cue_reduced,case;file,,,create_ticket,3,generate_report,False,4,generate_report;escalate_to_human;provision_vm;create_ticket;send_notification
243,We should create a support case for staging-db-02.,Bob reported something that needs tracking.,create_ticket,lexical_cue_reduced,case;create;support,,,create_ticket,3,generate_report,False,2,generate_report;create_ticket;send_notification;escalate_to_human;quarantine_system
244,We should log an issue against prod-web-01.,Can we get a formal record of Frank's problem?,create_ticket,lexical_cue_reduced,log,,,create_ticket,3,escalate_to_human,False,2,escalate_to_human;create_ticket;generate_report;provision_vm;quarantine_system
245,We should raise an incident for cdn-edge-06.,This needs an official entry in our tracking system.,create_ticket,lexical_cue_reduced,incident,,,create_ticket,3,generate_report,False,7,generate_report;send_notification;db_write;provision_vm;quarantine_system
246,We should submit a ticket for the Engineering group.,We should have a reference number for Eve's issue.,create_ticket,lexical_cue_reduced,ticket,,,create_ticket,3,generate_report,False,3,generate_report;provision_vm;create_ticket;db_write;escalate_to_human
247,We should open a service desk case for Alice.,We need a paper trail for the staging-db-02 issue.,create_ticket,lexical_cue_reduced,case;open,,,create_ticket,3,generate_report,False,3,generate_report;db_write;create_ticket;db_read;process_refund
248,We should create a service request for prod-web-01.,We should have a reference number for Frank's issue.,create_ticket,lexical_cue_reduced,create,,,create_ticket,3,create_ticket,True,1,create_ticket;provision_vm;generate_report;escalate_to_human;process_refund
249,Let's open a support ticket for Grace.,Diana reported something that needs tracking.,create_ticket,lexical_cue_reduced,open;support;ticket,,,create_ticket,3,generate_report,False,3,generate_report;escalate_to_human;create_ticket;db_read;db_write
250,Let's file a case for the Marketing team.,This should be documented somewhere official.,create_ticket,lexical_cue_reduced,case;file,,,create_ticket,3,create_ticket,True,1,create_ticket;generate_report;provision_vm;escalate_to_human;send_notification
251,Let's create an incident ticket for Alice.,Make sure this doesn't slip through the cracks.,create_ticket,lexical_cue_reduced,create;incident;ticket,,,create_ticket,3,generate_report,False,2,generate_report;create_ticket;provision_vm;quarantine_system;send_notification
252,Let's log an issue against ml-infer-05.,We should have a reference number for Eve's issue.,create_ticket,lexical_cue_reduced,log,,,create_ticket,3,generate_report,False,3,generate_report;provision_vm;create_ticket;db_write;escalate_to_human
253,Let's raise a support request on behalf of Bob.,We need to track this issue with Charlie.,create_ticket,lexical_cue_reduced,support,,,create_ticket,3,generate_report,False,2,generate_report;create_ticket;escalate_to_human;quarantine_system;provision_vm
254,Let's submit a ticket for Charlie.,This needs an official entry in our tracking system.,create_ticket,lexical_cue_reduced,ticket,,,create_ticket,3,generate_report,False,7,generate_report;send_notification;db_write;provision_vm;quarantine_system
255,Let's open a tracking issue for cdn-edge-06.,We should have a reference number for Alice's issue.,create_ticket,lexical_cue_reduced,open;tracking,,,create_ticket,3,escalate_to_human,False,2,escalate_to_human;create_ticket;generate_report;provision_vm;process_refund
256,Let's create a support issue for Legal.,This needs to be logged for follow-up.,create_ticket,lexical_cue_reduced,create;support,,,create_ticket,3,generate_report,False,3,generate_report;log_audit_event;create_ticket;send_notification;provision_vm
257,Kindly open an incident ticket for staging-db-02.,This needs an official entry in our tracking system.,create_ticket,lexical_cue_reduced,incident;open;ticket,,,create_ticket,3,generate_report,False,7,generate_report;send_notification;db_write;provision_vm;quarantine_system
258,Kindly file a case for the HR team.,Alice reported something that needs tracking.,create_ticket,lexical_cue_reduced,case;file,,,create_ticket,3,escalate_to_human,False,3,escalate_to_human;generate_report;create_ticket;send_notification;provision_vm
259,Kindly create an incident ticket for Bob.,We should have a reference number for Eve's issue.,create_ticket,lexical_cue_reduced,create;incident;ticket,,,create_ticket,3,generate_report,False,3,generate_report;provision_vm;create_ticket;db_write;escalate_to_human
260,Kindly log an issue against cdn-edge-06.,We should have a reference number for Frank's issue.,create_ticket,lexical_cue_reduced,log,,,create_ticket,3,create_ticket,True,1,create_ticket;provision_vm;generate_report;escalate_to_human;process_refund
261,Kindly raise an incident for ml-infer-05.,Alice reported something that needs tracking.,create_ticket,lexical_cue_reduced,incident,,,create_ticket,3,escalate_to_human,False,3,escalate_to_human;generate_report;create_ticket;send_notification;provision_vm
262,Kindly submit a ticket for host ml-infer-05.,Can we get a formal record of Eve's problem?,create_ticket,lexical_cue_reduced,ticket,,,create_ticket,3,escalate_to_human,False,4,escalate_to_human;generate_report;log_audit_event;create_ticket;db_write
263,Kindly open a tracking case for Legal.,We need a paper trail for the auth-svc-04 issue.,create_ticket,lexical_cue_reduced,case;open;tracking,,,create_ticket,3,generate_report,False,3,generate_report;log_audit_event;create_ticket;reset_password;process_refund
264,Kindly create a service request for staging-db-02.,We need a paper trail for the payment-api-03 issue.,create_ticket,lexical_cue_reduced,create,,,create_ticket,3,generate_report,False,2,generate_report;create_ticket;process_refund;provision_vm;log_audit_event
265,"When you have a moment, open a support ticket for Grace.",This needs to be logged for follow-up.,create_ticket,lexical_cue_reduced,open;support;ticket,,,create_ticket,3,generate_report,False,3,generate_report;log_audit_event;create_ticket;send_notification;provision_vm
266,"When you have a moment, file a case for Diana.",Someone should formalize this complaint from Diana.,create_ticket,lexical_cue_reduced,case;file,,,create_ticket,3,escalate_to_human,False,3,escalate_to_human;generate_report;create_ticket;provision_vm;send_notification
267,"When you have a moment, create an incident ticket for Grace.",Can we get a formal record of Bob's problem?,create_ticket,lexical_cue_reduced,create;incident;ticket,,,create_ticket,3,escalate_to_human,False,2,escalate_to_human;create_ticket;generate_report;process_refund;quarantine_system
