query,positive_dag_id,negative_dag_id,negative_type,neg_tools,neg_edges,neg_dag_text
"Time to nuke Grace's old login and issue a fresh one. After that, persist Diana's data to the database. Last step: fire off a notification to Grace.",98,neg_13,add_edge,reset_password;db_write;send_notification,0->1;1->2;0->2,"db_write -> send_notification, reset_password -> db_write, reset_password -> send_notification"
"Time to nuke Grace's old login and issue a fresh one. After that, persist Diana's data to the database. Last step: fire off a notification to Grace.",98,neg_14,extra_node,reset_password;db_write;send_notification;approve_access,0->1;1->2;3->0,"approve_access -> reset_password, db_write -> send_notification, reset_password -> db_write"
"Hey, can you annotate payment-api-03 with the environment label while also dump the database on cdn-edge-06 and approve Charlie's access request.",441,neg_15,swap_edges,tag_resource;backup_database;approve_access,1->2;0->2,"backup_database -> approve_access, tag_resource -> approve_access"
"Hey, can you annotate payment-api-03 with the environment label while also dump the database on cdn-edge-06 and approve Charlie's access request.",441,neg_16,swap_tools,scale_service;generate_report;run_pipeline,0->1;0->2,"scale_service -> generate_report, scale_service -> run_pipeline"
"Hey, can you annotate payment-api-03 with the environment label while also dump the database on cdn-edge-06 and approve Charlie's access request.",441,neg_17,remove_edge,tag_resource;backup_database;approve_access,0->2,tag_resource -> approve_access
"Hey, can you annotate payment-api-03 with the environment label while also dump the database on cdn-edge-06 and approve Charlie's access request.",441,neg_18,add_edge,tag_resource;backup_database;approve_access,0->1;0->2;2->1,"approve_access -> backup_database, tag_resource -> approve_access, tag_resource -> backup_database"
"Hey, can you annotate payment-api-03 with the environment label while also dump the database on cdn-edge-06 and approve Charlie's access request.",441,neg_19,extra_node,tag_resource;backup_database;approve_access;process_refund,0->1;0->2;0->3,"tag_resource -> approve_access, tag_resource -> backup_database, tag_resource -> process_refund"
"Hey, can you check if ml-infer-05 is up — then cycle prod-web-01 — then ping Diana about it. End with create an audit trail for #53698.",116,neg_20,swap_edges,check_status;restart_service;send_notification;log_audit_event,2->0;3->0;0->1,"check_status -> restart_service, log_audit_event -> check_status, send_notification -> check_status"
"Hey, can you check if ml-infer-05 is up — then cycle prod-web-01 — then ping Diana about it. End with create an audit trail for #53698.",116,neg_21,swap_tools,deploy_container;log_audit_event;migrate_database;backup_database,0->1;1->2;2->3,"deploy_container -> log_audit_event, log_audit_event -> migrate_database, migrate_database -> backup_database"
"Hey, can you check if ml-infer-05 is up — then cycle prod-web-01 — then ping Diana about it. End with create an audit trail for #53698.",116,neg_22,remove_edge,check_status;restart_service;send_notification;log_audit_event,1->2;2->3,"restart_service -> send_notification, send_notification -> log_audit_event"
"Hey, can you check if ml-infer-05 is up — then cycle prod-web-01 — then ping Diana about it. End with create an audit trail for #53698.",116,neg_23,add_edge,check_status;restart_service;send_notification;log_audit_event,0->1;1->2;2->3;0->2,"check_status -> restart_service, check_status -> send_notification, restart_service -> send_notification, send_notification -> log_audit_event"
"Hey, can you check if ml-infer-05 is up — then cycle prod-web-01 — then ping Diana about it. End with create an audit trail for #53698.",116,neg_24,extra_node,check_status;restart_service;send_notification;log_audit_event;restart_service,0->1;1->2;2->3;4->0,"check_status -> restart_service, restart_service -> check_status, restart_service -> send_notification, send_notification -> log_audit_event"
"We gotta take a snapshot of auth-svc-04, and then yank auth-svc-04 off the network. Last step: create a DB backup for Legal.",338,neg_25,swap_edges,snapshot_vm;quarantine_system;backup_database,1->2;0->2,"quarantine_system -> backup_database, snapshot_vm -> backup_database"
"We gotta take a snapshot of auth-svc-04, and then yank auth-svc-04 off the network. Last step: create a DB backup for Legal.",338,neg_26,swap_tools,trigger_failover;create_alert_rule;archive_data,0->1;1->2,"create_alert_rule -> archive_data, trigger_failover -> create_alert_rule"
"We gotta take a snapshot of auth-svc-04, and then yank auth-svc-04 off the network. Last step: create a DB backup for Legal.",338,neg_27,remove_edge,snapshot_vm;quarantine_system;backup_database,0->1,snapshot_vm -> quarantine_system
"We gotta take a snapshot of auth-svc-04, and then yank auth-svc-04 off the network. Last step: create a DB backup for Legal.",338,neg_28,add_edge,snapshot_vm;quarantine_system;backup_database,0->1;1->2;0->2,"quarantine_system -> backup_database, snapshot_vm -> backup_database, snapshot_vm -> quarantine_system"
"We gotta take a snapshot of auth-svc-04, and then yank auth-svc-04 off the network. Last step: create a DB backup for Legal.",338,neg_29,extra_node,snapshot_vm;quarantine_system;backup_database;run_load_test,0->1;1->2;3->0,"quarantine_system -> backup_database, run_load_test -> snapshot_vm, snapshot_vm -> quarantine_system"
"Isolate cdn-edge-06 — in parallel, run the deployment pipeline for Legal and read Diana's profile from the database.",453,neg_30,swap_edges,quarantine_system;run_pipeline;db_read,2->0;1->0,"db_read -> quarantine_system, run_pipeline -> quarantine_system"
"Isolate cdn-edge-06 — in parallel, run the deployment pipeline for Legal and read Diana's profile from the database.",453,neg_31,swap_tools,reset_password;migrate_database;send_notification,0->1;0->2,"reset_password -> migrate_database, reset_password -> send_notification"
"Isolate cdn-edge-06 — in parallel, run the deployment pipeline for Legal and read Diana's profile from the database.",453,neg_32,remove_edge,quarantine_system;run_pipeline;db_read,0->1,quarantine_system -> run_pipeline
"Isolate cdn-edge-06 — in parallel, run the deployment pipeline for Legal and read Diana's profile from the database.",453,neg_33,add_edge,quarantine_system;run_pipeline;db_read,0->1;0->2;2->1,"db_read -> run_pipeline, quarantine_system -> db_read, quarantine_system -> run_pipeline"
"Isolate cdn-edge-06 — in parallel, run the deployment pipeline for Legal and read Diana's profile from the database.",453,neg_34,extra_node,quarantine_system;run_pipeline;db_read;check_status,0->1;0->2;2->3,"db_read -> check_status, quarantine_system -> db_read, quarantine_system -> run_pipeline"
"For the Engineering team, cycle staging-db-02. Once that's done, scale up payment-api-03. Last step: plan maintenance on staging-db-02 for Marketing.",332,neg_35,swap_edges,restart_service;scale_service;schedule_maintenance,0->1;0->2,"restart_service -> scale_service, restart_service -> schedule_maintenance"
"For the Engineering team, cycle staging-db-02. Once that's done, scale up payment-api-03. Last step: plan maintenance on staging-db-02 for Marketing.",332,neg_36,swap_tools,log_audit_event;create_dns_record;escalate_to_human,0->1;1->2,"create_dns_record -> escalate_to_human, log_audit_event -> create_dns_record"
"For the Engineering team, cycle staging-db-02. Once that's done, scale up payment-api-03. Last step: plan maintenance on staging-db-02 for Marketing.",332,neg_37,remove_edge,restart_service;scale_service;schedule_maintenance,0->1,restart_service -> scale_service
"For the Engineering team, cycle staging-db-02. Once that's done, scale up payment-api-03. Last step: plan maintenance on staging-db-02 for Marketing.",332,neg_38,add_edge,restart_service;scale_service;schedule_maintenance,0->1;1->2;0->2,"restart_service -> scale_service, restart_service -> schedule_maintenance, scale_service -> schedule_maintenance"
"For the Engineering team, cycle staging-db-02. Once that's done, scale up payment-api-03. Last step: plan maintenance on staging-db-02 for Marketing.",332,neg_39,extra_node,restart_service;scale_service;schedule_maintenance;log_audit_event,0->1;1->2;2->3,"restart_service -> scale_service, scale_service -> schedule_maintenance, schedule_maintenance -> log_audit_event"
"Per Alice's request, restart the main process on cdn-edge-06 and assess staging-db-02's status, merge everything and build a compliance doc for HR. To wrap up, ping Charlie about it.",150,neg_40,swap_edges,restart_service;check_status;generate_report;send_notification,3->0;1->2;3->2,"check_status -> generate_report, send_notification -> generate_report, send_notification -> restart_service"
"Per Alice's request, restart the main process on cdn-edge-06 and assess staging-db-02's status, merge everything and build a compliance doc for HR. To wrap up, ping Charlie about it.",150,neg_41,swap_tools,db_write;deploy_container;archive_data;merge_accounts,0->2;1->2;2->3,"archive_data -> merge_accounts, db_write -> archive_data, deploy_container -> archive_data"
"Per Alice's request, restart the main process on cdn-edge-06 and assess staging-db-02's status, merge everything and build a compliance doc for HR. To wrap up, ping Charlie about it.",150,neg_42,remove_edge,restart_service;check_status;generate_report;send_notification,0->2;2->3,"generate_report -> send_notification, restart_service -> generate_report"
"Per Alice's request, restart the main process on cdn-edge-06 and assess staging-db-02's status, merge everything and build a compliance doc for HR. To wrap up, ping Charlie about it.",150,neg_43,add_edge,restart_service;check_status;generate_report;send_notification,0->2;1->2;2->3;1->3,"check_status -> generate_report, check_status -> send_notification, generate_report -> send_notification, restart_service -> generate_report"
"Per Alice's request, restart the main process on cdn-edge-06 and assess staging-db-02's status, merge everything and build a compliance doc for HR. To wrap up, ping Charlie about it.",150,neg_44,extra_node,restart_service;check_status;generate_report;send_notification;enable_feature_flag,0->2;1->2;2->3;4->2,"check_status -> generate_report, enable_feature_flag -> generate_report, generate_report -> send_notification, restart_service -> generate_report"
Quick one — open a ticket for Frank and simultaneously give Frank their money back and disable the flag on staging-db-02.,461,neg_45,swap_edges,create_ticket;process_refund;disable_feature_flag,1->0;0->2,"create_ticket -> disable_feature_flag, process_refund -> create_ticket"
Quick one — open a ticket for Frank and simultaneously give Frank their money back and disable the flag on staging-db-02.,461,neg_46,swap_tools,remove_role;generate_report;restart_service,0->1;0->2,"remove_role -> generate_report, remove_role -> restart_service"
Quick one — open a ticket for Frank and simultaneously give Frank their money back and disable the flag on staging-db-02.,461,neg_47,remove_edge,create_ticket;process_refund;disable_feature_flag,0->1,create_ticket -> process_refund
Quick one — open a ticket for Frank and simultaneously give Frank their money back and disable the flag on staging-db-02.,461,neg_48,add_edge,create_ticket;process_refund;disable_feature_flag,0->1;0->2;2->1,"create_ticket -> disable_feature_flag, create_ticket -> process_refund, disable_feature_flag -> process_refund"
Quick one — open a ticket for Frank and simultaneously give Frank their money back and disable the flag on staging-db-02.,461,neg_49,extra_node,create_ticket;process_refund;disable_feature_flag;revoke_access,0->1;0->2;1->3,"create_ticket -> disable_feature_flag, create_ticket -> process_refund, process_refund -> revoke_access"
"I need you to simulate peak traffic on auth-svc-04 and assign the admin role to Frank, then converge and assess prod-web-01's status.",492,neg_50,swap_edges,run_load_test;assign_role;check_status,2->0;1->0,"assign_role -> run_load_test, check_status -> run_load_test"
"I need you to simulate peak traffic on auth-svc-04 and assign the admin role to Frank, then converge and assess prod-web-01's status.",492,neg_51,swap_tools,scale_service;disable_feature_flag;export_data,0->2;1->2,"disable_feature_flag -> export_data, scale_service -> export_data"
"I need you to simulate peak traffic on auth-svc-04 and assign the admin role to Frank, then converge and assess prod-web-01's status.",492,neg_52,remove_edge,run_load_test;assign_role;check_status,1->2,assign_role -> check_status
"I need you to simulate peak traffic on auth-svc-04 and assign the admin role to Frank, then converge and assess prod-web-01's status.",492,neg_53,add_edge,run_load_test;assign_role;check_status,0->2;1->2;0->1,"assign_role -> check_status, run_load_test -> assign_role, run_load_test -> check_status"
"I need you to simulate peak traffic on auth-svc-04 and assign the admin role to Frank, then converge and assess prod-web-01's status.",492,neg_54,extra_node,run_load_test;assign_role;check_status;rotate_api_key,0->2;1->2;1->3,"assign_role -> check_status, assign_role -> rotate_api_key, run_load_test -> check_status"
"Time to investigate ml-infer-05 for infections — then yank staging-db-02 off the network, and lastly create a ticket about the Legal issue.",111,neg_55,swap_edges,scan_malware;quarantine_system;create_ticket,2->0;2->1,"create_ticket -> quarantine_system, create_ticket -> scan_malware"
"Time to investigate ml-infer-05 for infections — then yank staging-db-02 off the network, and lastly create a ticket about the Legal issue.",111,neg_56,swap_tools,unblock_ip_address;assign_role;create_ticket,0->1;1->2,"assign_role -> create_ticket, unblock_ip_address -> assign_role"
"Time to investigate ml-infer-05 for infections — then yank staging-db-02 off the network, and lastly create a ticket about the Legal issue.",111,neg_57,remove_edge,scan_malware;quarantine_system;create_ticket,0->1,scan_malware -> quarantine_system
"Time to investigate ml-infer-05 for infections — then yank staging-db-02 off the network, and lastly create a ticket about the Legal issue.",111,neg_58,add_edge,scan_malware;quarantine_system;create_ticket,0->1;1->2;0->2,"quarantine_system -> create_ticket, scan_malware -> create_ticket, scan_malware -> quarantine_system"
"Time to investigate ml-infer-05 for infections — then yank staging-db-02 off the network, and lastly create a ticket about the Legal issue.",111,neg_59,extra_node,scan_malware;quarantine_system;create_ticket;restart_service,0->1;1->2;1->3,"quarantine_system -> create_ticket, quarantine_system -> restart_service, scan_malware -> quarantine_system"
Simple request — save the changes for Alice to the DB and we're good.,63,neg_60,swap_tools,transfer_ownership,,transfer_ownership
Simple request — save the changes for Alice to the DB and we're good.,63,neg_61,extra_node,db_write;snapshot_vm,0->1,db_write -> snapshot_vm
"Ship the latest build to prod-web-01, nothing else.",49,neg_62,swap_tools,rollback_deployment,,rollback_deployment
"Ship the latest build to prod-web-01, nothing else.",49,neg_63,extra_node,deploy_container;process_refund,0->1,deploy_container -> process_refund
"The Engineering team needs us to create an audit trail for #10234. Once that's done, add an alert when auth-svc-04 goes above 90% memory.",228,neg_64,swap_tools,quarantine_system;remove_role,0->1,quarantine_system -> remove_role
"The Engineering team needs us to create an audit trail for #10234. Once that's done, add an alert when auth-svc-04 goes above 90% memory.",228,neg_65,extra_node,log_audit_event;create_alert_rule;run_pipeline,0->1;2->1,"log_audit_event -> create_alert_rule, run_pipeline -> create_alert_rule"
"When you get a chance, create a virtual machine for HR, and then take a snapshot of auth-svc-04.",194,neg_66,swap_tools,tag_resource;revoke_access,0->1,tag_resource -> revoke_access
"When you get a chance, create a virtual machine for HR, and then take a snapshot of auth-svc-04.",194,neg_67,extra_node,provision_vm;snapshot_vm;renew_certificate,0->1;2->0,"provision_vm -> snapshot_vm, renew_certificate -> provision_vm"
"ASAP — run a malware sweep on auth-svc-04, then configure a threshold alert for staging-db-02.",172,neg_68,swap_tools,export_data;schedule_maintenance,0->1,export_data -> schedule_maintenance
"ASAP — run a malware sweep on auth-svc-04, then configure a threshold alert for staging-db-02.",172,neg_69,extra_node,scan_malware;create_alert_rule;archive_data,0->1;2->0,"archive_data -> scan_malware, scan_malware -> create_alert_rule"
"Quick one — check if cdn-edge-06 is up, then run a malware sweep on cdn-edge-06. Next, yank staging-db-02 off the network. To wrap up, record the event in Legal's log.",114,neg_70,swap_edges,check_status;scan_malware;quarantine_system;log_audit_event,3->2;0->1;3->0,"check_status -> scan_malware, log_audit_event -> check_status, log_audit_event -> quarantine_system"
"Quick one — check if cdn-edge-06 is up, then run a malware sweep on cdn-edge-06. Next, yank staging-db-02 off the network. To wrap up, record the event in Legal's log.",114,neg_71,swap_tools,enable_feature_flag;run_pipeline;transfer_ownership;create_alert_rule,0->1;1->2;2->3,"enable_feature_flag -> run_pipeline, run_pipeline -> transfer_ownership, transfer_ownership -> create_alert_rule"
"Quick one — check if cdn-edge-06 is up, then run a malware sweep on cdn-edge-06. Next, yank staging-db-02 off the network. To wrap up, record the event in Legal's log.",114,neg_72,remove_edge,check_status;scan_malware;quarantine_system;log_audit_event,0->1;1->2,"check_status -> scan_malware, scan_malware -> quarantine_system"
"Quick one — check if cdn-edge-06 is up, then run a malware sweep on cdn-edge-06. Next, yank staging-db-02 off the network. To wrap up, record the event in Legal's log.",114,neg_73,add_edge,check_status;scan_malware;quarantine_system;log_audit_event,0->1;1->2;2->3;0->2,"check_status -> quarantine_system, check_status -> scan_malware, quarantine_system -> log_audit_event, scan_malware -> quarantine_system"
"Quick one — check if cdn-edge-06 is up, then run a malware sweep on cdn-edge-06. Next, yank staging-db-02 off the network. To wrap up, record the event in Legal's log.",114,neg_74,extra_node,check_status;scan_malware;quarantine_system;log_audit_event;db_write,0->1;1->2;2->3;0->4,"check_status -> db_write, check_status -> scan_malware, quarantine_system -> log_audit_event, scan_malware -> quarantine_system"
"Hey, can you run a load test against payment-api-03. After that, activate the feature flag on staging-db-02.",287,neg_75,swap_tools,deploy_container;generate_report,0->1,deploy_container -> generate_report
"Hey, can you run a load test against payment-api-03. After that, activate the feature flag on staging-db-02.",287,neg_76,extra_node,run_load_test;enable_feature_flag;disable_feature_flag,0->1;2->0,"disable_feature_flag -> run_load_test, run_load_test -> enable_feature_flag"
"For the Finance team, remove Frank from Engineering's access list, then unify Grace's old and new accounts.",193,neg_77,swap_tools,escalate_to_human;create_ticket,0->1,escalate_to_human -> create_ticket
"For the Finance team, remove Frank from Engineering's access list, then unify Grace's old and new accounts.",193,neg_78,extra_node,revoke_access;merge_accounts;rollback_deployment,0->1;1->2,"merge_accounts -> rollback_deployment, revoke_access -> merge_accounts"
"Pull the records, check system health, and run a scan, then create one unified ticket.",23,neg_79,swap_edges,db_read;check_status;scan_malware;create_ticket,3->2;3->0;1->0,"check_status -> db_read, create_ticket -> db_read, create_ticket -> scan_malware"
"Pull the records, check system health, and run a scan, then create one unified ticket.",23,neg_80,swap_tools,escalate_to_human;reset_password;deploy_container;rotate_api_key,0->3;1->3;2->3,"deploy_container -> rotate_api_key, escalate_to_human -> rotate_api_key, reset_password -> rotate_api_key"
"Pull the records, check system health, and run a scan, then create one unified ticket.",23,neg_81,remove_edge,db_read;check_status;scan_malware;create_ticket,1->3;2->3,"check_status -> create_ticket, scan_malware -> create_ticket"
"Pull the records, check system health, and run a scan, then create one unified ticket.",23,neg_82,add_edge,db_read;check_status;scan_malware;create_ticket,0->3;1->3;2->3;0->2,"check_status -> create_ticket, db_read -> create_ticket, db_read -> scan_malware, scan_malware -> create_ticket"
"Pull the records, check system health, and run a scan, then create one unified ticket.",23,neg_83,extra_node,db_read;check_status;scan_malware;create_ticket;rollback_deployment,0->3;1->3;2->3;1->4,"check_status -> create_ticket, check_status -> rollback_deployment, db_read -> create_ticket, scan_malware -> create_ticket"
"Ticket INC-8842 says bring in tier-2 support for Alice, followed by migrate the database on auth-svc-04.",185,neg_84,swap_tools,invalidate_cache;export_data,0->1,invalidate_cache -> export_data
"Ticket INC-8842 says bring in tier-2 support for Alice, followed by migrate the database on auth-svc-04.",185,neg_85,extra_node,escalate_to_human;migrate_database;create_ticket,0->1;1->2,"escalate_to_human -> migrate_database, migrate_database -> create_ticket"
"Pull Grace's data, followed by open a ticket for Charlie.",79,neg_86,swap_tools,trigger_failover;scan_malware,0->1,trigger_failover -> scan_malware
"Pull Grace's data, followed by open a ticket for Charlie.",79,neg_87,extra_node,db_read;create_ticket;reset_password,0->1;2->0,"db_read -> create_ticket, reset_password -> db_read"
"Quick one — re-allow the blocked address on auth-svc-04, followed by restart the service on cdn-edge-06.",174,neg_88,swap_tools,assign_role;log_audit_event,0->1,assign_role -> log_audit_event
"Quick one — re-allow the blocked address on auth-svc-04, followed by restart the service on cdn-edge-06.",174,neg_89,extra_node,unblock_ip_address;restart_service;schedule_maintenance,0->1;0->2,"unblock_ip_address -> restart_service, unblock_ip_address -> schedule_maintenance"
"Scan ml-infer-05 and then simultaneously quarantine it, alert Engineering, and log the event.",22,neg_90,swap_edges,scan_malware;quarantine_system;send_notification;log_audit_event,3->0;2->0;1->3,"log_audit_event -> scan_malware, quarantine_system -> log_audit_event, send_notification -> scan_malware"
"Scan ml-infer-05 and then simultaneously quarantine it, alert Engineering, and log the event.",22,neg_91,swap_tools,provision_vm;migrate_database;create_alert_rule;escalate_to_human,0->1;0->2;0->3,"provision_vm -> create_alert_rule, provision_vm -> escalate_to_human, provision_vm -> migrate_database"
"Scan ml-infer-05 and then simultaneously quarantine it, alert Engineering, and log the event.",22,neg_92,remove_edge,scan_malware;quarantine_system;send_notification;log_audit_event,0->1;0->2,"scan_malware -> quarantine_system, scan_malware -> send_notification"
"Scan ml-infer-05 and then simultaneously quarantine it, alert Engineering, and log the event.",22,neg_93,add_edge,scan_malware;quarantine_system;send_notification;log_audit_event,0->1;0->2;0->3;3->1,"log_audit_event -> quarantine_system, scan_malware -> log_audit_event, scan_malware -> quarantine_system, scan_malware -> send_notification"
"Scan ml-infer-05 and then simultaneously quarantine it, alert Engineering, and log the event.",22,neg_94,extra_node,scan_malware;quarantine_system;send_notification;log_audit_event;archive_data,0->1;0->2;0->3;4->0,"archive_data -> scan_malware, scan_malware -> log_audit_event, scan_malware -> quarantine_system, scan_malware -> send_notification"
"Grace reported an issue — package up Alice's records for download, then put Legal's historical data into the archive. End with clear the cache for Marketing.",321,neg_95,swap_edges,export_data;archive_data;invalidate_cache,0->2;0->1,"export_data -> archive_data, export_data -> invalidate_cache"
"Grace reported an issue — package up Alice's records for download, then put Legal's historical data into the archive. End with clear the cache for Marketing.",321,neg_96,swap_tools,rollback_deployment;unblock_ip_address;revoke_access,0->1;1->2,"rollback_deployment -> unblock_ip_address, unblock_ip_address -> revoke_access"
"Grace reported an issue — package up Alice's records for download, then put Legal's historical data into the archive. End with clear the cache for Marketing.",321,neg_97,remove_edge,export_data;archive_data;invalidate_cache,1->2,archive_data -> invalidate_cache
"Grace reported an issue — package up Alice's records for download, then put Legal's historical data into the archive. End with clear the cache for Marketing.",321,neg_98,add_edge,export_data;archive_data;invalidate_cache,0->1;1->2;0->2,"archive_data -> invalidate_cache, export_data -> archive_data, export_data -> invalidate_cache"
"Grace reported an issue — package up Alice's records for download, then put Legal's historical data into the archive. End with clear the cache for Marketing.",321,neg_99,extra_node,export_data;archive_data;invalidate_cache;db_read,0->1;1->2;3->2,"archive_data -> invalidate_cache, db_read -> invalidate_cache, export_data -> archive_data"
"Frank reported an issue — verify staging-db-02's health — then produce the HR performance summary. Finally, send a heads-up to Finance.",110,neg_100,swap_edges,check_status;generate_report;send_notification,0->1;2->1,"check_status -> generate_report, send_notification -> generate_report"
"Frank reported an issue — verify staging-db-02's health — then produce the HR performance summary. Finally, send a heads-up to Finance.",110,neg_101,swap_tools,rotate_api_key;merge_accounts;schedule_maintenance,0->1;1->2,"merge_accounts -> schedule_maintenance, rotate_api_key -> merge_accounts"
"Frank reported an issue — verify staging-db-02's health — then produce the HR performance summary. Finally, send a heads-up to Finance.",110,neg_102,remove_edge,check_status;generate_report;send_notification,0->1,check_status -> generate_report
"Frank reported an issue — verify staging-db-02's health — then produce the HR performance summary. Finally, send a heads-up to Finance.",110,neg_103,add_edge,check_status;generate_report;send_notification,0->1;1->2;0->2,"check_status -> generate_report, check_status -> send_notification, generate_report -> send_notification"
"Frank reported an issue — verify staging-db-02's health — then produce the HR performance summary. Finally, send a heads-up to Finance.",110,neg_104,extra_node,check_status;generate_report;send_notification;update_subscription,0->1;1->2;0->3,"check_status -> generate_report, check_status -> update_subscription, generate_report -> send_notification"
"When you get a chance, kill the feature toggle for HR, then make a compliance log about Grace.",282,neg_105,swap_tools,renew_certificate;create_ticket,0->1,renew_certificate -> create_ticket
"When you get a chance, kill the feature toggle for HR, then make a compliance log about Grace.",282,neg_106,extra_node,disable_feature_flag;log_audit_event;create_alert_rule,0->1;0->2,"disable_feature_flag -> create_alert_rule, disable_feature_flag -> log_audit_event"
"For the Legal team, cycle the secret for Legal's service — then simulate peak traffic on cdn-edge-06, then plan maintenance on cdn-edge-06 for HR. Last step: scale up cdn-edge-06.",395,neg_107,swap_edges,rotate_api_key;run_load_test;schedule_maintenance;scale_service,0->1;2->0;3->1,"rotate_api_key -> run_load_test, scale_service -> run_load_test, schedule_maintenance -> rotate_api_key"
"For the Legal team, cycle the secret for Legal's service — then simulate peak traffic on cdn-edge-06, then plan maintenance on cdn-edge-06 for HR. Last step: scale up cdn-edge-06.",395,neg_108,swap_tools,assign_role;transfer_ownership;schedule_maintenance;restore_backup,0->1;1->2;2->3,"assign_role -> transfer_ownership, schedule_maintenance -> restore_backup, transfer_ownership -> schedule_maintenance"
"For the Legal team, cycle the secret for Legal's service — then simulate peak traffic on cdn-edge-06, then plan maintenance on cdn-edge-06 for HR. Last step: scale up cdn-edge-06.",395,neg_109,remove_edge,rotate_api_key;run_load_test;schedule_maintenance;scale_service,0->1;1->2,"rotate_api_key -> run_load_test, run_load_test -> schedule_maintenance"
"For the Legal team, cycle the secret for Legal's service — then simulate peak traffic on cdn-edge-06, then plan maintenance on cdn-edge-06 for HR. Last step: scale up cdn-edge-06.",395,neg_110,add_edge,rotate_api_key;run_load_test;schedule_maintenance;scale_service,0->1;1->2;2->3;1->3,"rotate_api_key -> run_load_test, run_load_test -> scale_service, run_load_test -> schedule_maintenance, schedule_maintenance -> scale_service"
"For the Legal team, cycle the secret for Legal's service — then simulate peak traffic on cdn-edge-06, then plan maintenance on cdn-edge-06 for HR. Last step: scale up cdn-edge-06.",395,neg_111,extra_node,rotate_api_key;run_load_test;schedule_maintenance;scale_service;process_refund,0->1;1->2;2->3;4->2,"process_refund -> schedule_maintenance, rotate_api_key -> run_load_test, run_load_test -> schedule_maintenance, schedule_maintenance -> scale_service"
"When you get a chance, whip up a report for Legal — then drop an audit entry for ml-infer-05.",89,neg_112,swap_tools,acknowledge_alert;backup_database,0->1,acknowledge_alert -> backup_database
"When you get a chance, whip up a report for Legal — then drop an audit entry for ml-infer-05.",89,neg_113,extra_node,generate_report;log_audit_event;update_subscription,0->1;1->2,"generate_report -> log_audit_event, log_audit_event -> update_subscription"
"Do me a favor and hand prod-web-01 over to Marketing. Once that's done, mark the payment-api-03 alert as seen, then whip up a report for HR. To wrap up, create a monitoring rule for payment-api-03.",432,neg_114,swap_edges,transfer_ownership;acknowledge_alert;generate_report;create_alert_rule,2->0;1->3;2->3,"acknowledge_alert -> create_alert_rule, generate_report -> create_alert_rule, generate_report -> transfer_ownership"
