query,dag_id,dag_text,tools,edges,_valid,_topo_hash,_dag_hash,_topo_family
ASAP — reverse the charge on #31450 — then swap out cdn-edge-06's credentials. End with update Diana's record in the DB.,332,"process_refund -> rotate_api_key, rotate_api_key -> db_write",process_refund;rotate_api_key;db_write,0->1;1->2,True,e48779c27a089d04,c00df1d84d0240e4,chain_medium
"Eve is asking us to do a security check on prod-web-01, and then blast an alert to Marketing — then put Marketing's historical data into the archive. To wrap up, stand up a new box for Legal.",412,"archive_data -> provision_vm, scan_malware -> send_notification, send_notification -> archive_data",scan_malware;send_notification;archive_data;provision_vm,0->1;1->2;2->3,True,38d6fe00e87709ec,e3dc4bd1aab86f31,chain_medium
"For the Finance team, record the event in Engineering's log. Next, bounce auth-svc-04.",258,log_audit_event -> restart_service,log_audit_event;restart_service,0->1,True,d734d7aefc1bad15,391f4b1630bfde38,chain_short
"Frank reported an issue — drop an audit entry for cdn-edge-06, then dump the database on prod-web-01 — then persist Bob's data to the database. To wrap up, reboot cdn-edge-06.",414,"backup_database -> db_write, db_write -> restart_service, log_audit_event -> backup_database",log_audit_event;backup_database;db_write;restart_service,0->1;1->2;2->3,True,38d6fe00e87709ec,6eff77c5308128e6,chain_medium
"Charlie reported an issue — switch Alice to the new plan. After that, check if prod-web-01 is up.",194,update_subscription -> check_status,update_subscription;check_status,0->1,True,d734d7aefc1bad15,de1513cb290257e3,chain_short
"Diana is asking us to flip the feature toggle on for Legal. Next, change the owner of staging-db-02 to HR. After that, commit Alice's update to the database, and lastly get a human involved for Eve.",388,"db_write -> escalate_to_human, enable_feature_flag -> transfer_ownership, transfer_ownership -> db_write",enable_feature_flag;transfer_ownership;db_write;escalate_to_human,0->1;1->2;2->3,True,38d6fe00e87709ec,48c94501bfebcf30,chain_medium
"Full IR flow: verify payment-api-03 is down, run a scan, isolate, restart, get a human involved, alert the team, and audit it.",16,"check_status -> scan_malware, escalate_to_human -> send_notification, quarantine_system -> restart_service, restart_service -> escalate_to_human, scan_malware -> quarantine_system, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,True,01cccae71a8bf9e2,ddd2023c57348be1,chain_long
"Per Grace's request, dig up the history on Bob. After that, push the refund through for #10234. Finally, create an audit trail for #60122.",81,"db_read -> process_refund, process_refund -> log_audit_event",db_read;process_refund;log_audit_event,0->1;1->2,True,e48779c27a089d04,137cd7f87a055c01,chain_medium
"Bob reported an issue — scale payment-api-03 down to save costs. Once that's done, roll out the containerised app to ml-infer-05. End with flip the feature toggle on for Legal.",287,"deploy_container -> enable_feature_flag, scale_service -> deploy_container",scale_service;deploy_container;enable_feature_flag,0->1;1->2,True,e48779c27a089d04,0a1fac5f5e5dd6b2,chain_medium
"Time to push the container image for Finance, and then notify the Legal team.",40,deploy_container -> send_notification,deploy_container;send_notification,0->1,True,d734d7aefc1bad15,455a061cee7ec4c1,chain_short
"Hey, can you verify payment-api-03's health, and while you're at it, bounce prod-web-01 and open a ticket for Alice.",111,"check_status -> create_ticket, check_status -> restart_service",check_status;restart_service;create_ticket,0->1;0->2,True,921735efccf80bf4,4b3c196fa54c3927,fanout
"The Engineering team needs us to refund Bob and flip the feature toggle on for Marketing. Once both are done, launch an instance for Marketing.",488,"enable_feature_flag -> provision_vm, process_refund -> provision_vm",process_refund;enable_feature_flag;provision_vm,0->2;1->2,True,2c0fe2d65641f8ac,cf744e044de48f36,fanin
"Hey, can you pull payment-api-03 back from the last good backup, and while you're at it, process the payout for Frank and spin up a tracking ticket for Grace.",445,"restore_backup -> create_ticket, restore_backup -> process_refund",restore_backup;process_refund;create_ticket,0->1;0->2,True,921735efccf80bf4,7af960f7e6ad88eb,fanout
"I need you to push the refund through for #42017 and enable the flag for prod-web-01. After those finish, provision a new instance for Legal.",488,"enable_feature_flag -> provision_vm, process_refund -> provision_vm",process_refund;enable_feature_flag;provision_vm,0->2;1->2,True,2c0fe2d65641f8ac,cf744e044de48f36,fanin
"The Finance team needs us to refund Alice and flip the feature toggle on for HR. Once both are done, launch an instance for HR.",488,"enable_feature_flag -> provision_vm, process_refund -> provision_vm",process_refund;enable_feature_flag;provision_vm,0->2;1->2,True,2c0fe2d65641f8ac,cf744e044de48f36,fanin
Urgent: change Charlie's plan — then turn off the feature flag for Engineering.,174,update_subscription -> disable_feature_flag,update_subscription;disable_feature_flag,0->1,True,d734d7aefc1bad15,c7c483baf948427b,chain_short
"Charlie is asking us to yank ml-infer-05 off the network. Once that's done, drop an audit entry for payment-api-03.",63,quarantine_system -> log_audit_event,quarantine_system;log_audit_event,0->1,True,d734d7aefc1bad15,974070caf7601b4a,chain_short
"Time to look up the records for #42017. Next, kill the feature toggle for Marketing, then give Eve their money back. Finally, cold-store the old records for Grace.",379,"db_read -> disable_feature_flag, disable_feature_flag -> process_refund, process_refund -> archive_data",db_read;disable_feature_flag;process_refund;archive_data,0->1;1->2;2->3,True,38d6fe00e87709ec,0acdda2d5fd725cc,chain_medium
"ASAP — pull prod-web-01 back from the last good backup and yank staging-db-02 off the network. After those finish, green-light Diana's access to Finance.",504,"quarantine_system -> approve_access, restore_backup -> approve_access",restore_backup;quarantine_system;approve_access,0->2;1->2,True,2c0fe2d65641f8ac,47850eee9d688a49,fanin
"ASAP — do a security check on staging-db-02, then isolate ml-infer-05 — in parallel, ping Frank about it and record the event in Legal's log.",142,"quarantine_system -> log_audit_event, quarantine_system -> send_notification, scan_malware -> quarantine_system",scan_malware;quarantine_system;send_notification;log_audit_event,0->1;1->2;1->3,True,15c4592954b8570f,91fc4d2a739f8a9d,fanout
"Put together a report on auth-svc-04. After that, execute the build pipeline for staging-db-02, and lastly save a backup of Legal's data.",357,"generate_report -> run_pipeline, run_pipeline -> backup_database",generate_report;run_pipeline;backup_database,0->1;1->2,True,e48779c27a089d04,c2ead59bb3f8bc3b,chain_medium
"Do me a favor and deploy the container for Engineering. Once that's done, send a heads-up to Legal.",40,deploy_container -> send_notification,deploy_container;send_notification,0->1,True,d734d7aefc1bad15,455a061cee7ec4c1,chain_short
"Full IR flow: verify auth-svc-04 is down, run a scan, isolate, restart, get a human involved, alert the team, and audit it.",16,"check_status -> scan_malware, escalate_to_human -> send_notification, quarantine_system -> restart_service, restart_service -> escalate_to_human, scan_malware -> quarantine_system, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,True,01cccae71a8bf9e2,ddd2023c57348be1,chain_long
Grab the mailing list for Engineering and send out the weekly alert.,3,db_read -> send_notification,db_read;send_notification,0->1,True,d734d7aefc1bad15,791afcf848559f00,chain_short
"Per Frank's request, revoke Grace's access to payment-api-03, followed by write the new data for #53698 back, then update Eve's subscription. To wrap up, set up downtime for prod-web-01.",424,"db_write -> update_subscription, revoke_access -> db_write, update_subscription -> schedule_maintenance",revoke_access;db_write;update_subscription;schedule_maintenance,0->1;1->2;2->3,True,38d6fe00e87709ec,01e621e9d58a2f0e,chain_medium
"Per Grace's request, credit Charlie's account — then send a heads-up to HR.",57,process_refund -> send_notification,process_refund;send_notification,0->1,True,d734d7aefc1bad15,73a1302669134b1c,chain_short
"From Engineering: ping payment-api-03 for a health check and pull Charlie's data. Once both are done, send a heads-up to Finance.",125,"check_status -> send_notification, db_read -> send_notification",check_status;db_read;send_notification,0->2;1->2,True,2c0fe2d65641f8ac,041dccabf5393c9e,fanin
Record the event in HR's log — then get a human involved for Bob.,183,log_audit_event -> escalate_to_human,log_audit_event;escalate_to_human,0->1,True,d734d7aefc1bad15,07dcd6965f4905c7,chain_short
"We gotta record the event in Legal's log and file an incident report about ml-infer-05. After those finish, loop in a Legal manager.",472,"create_ticket -> escalate_to_human, log_audit_event -> escalate_to_human",log_audit_event;create_ticket;escalate_to_human,0->2;1->2,True,2c0fe2d65641f8ac,18af6ab5c3e4ba36,fanin
"Urgent: check ml-infer-05 for vulnerabilities and take a snapshot of staging-db-02's DB, then converge and invalidate staging-db-02's cache.",498,"backup_database -> invalidate_cache, scan_malware -> invalidate_cache",scan_malware;backup_database;invalidate_cache,0->2;1->2,True,2c0fe2d65641f8ac,aaf380072931b6d6,fanin
"The HR team needs us to recover Legal's data from backup and quarantine payment-api-03. When all of that's complete, give Frank access to Engineering's resources.",504,"quarantine_system -> approve_access, restore_backup -> approve_access",restore_backup;quarantine_system;approve_access,0->2;1->2,True,2c0fe2d65641f8ac,47850eee9d688a49,fanin
"I need you to downgrade Eve's account, then reset Eve's password. Once that's done, refresh the API token for Finance. End with ship the new build to staging-db-02.",390,"reset_password -> rotate_api_key, rotate_api_key -> deploy_container, update_subscription -> reset_password",update_subscription;reset_password;rotate_api_key;deploy_container,0->1;1->2;2->3,True,38d6fe00e87709ec,81d22ef4e8cbd32e,chain_medium
"Push the refund through for #20891. Once that's done, blast an alert to Marketing.",57,process_refund -> send_notification,process_refund;send_notification,0->1,True,d734d7aefc1bad15,73a1302669134b1c,chain_short
"We gotta check if cdn-edge-06 is up, and then log the whole ml-infer-05 incident. Last step: change Alice's plan.",308,"check_status -> log_audit_event, log_audit_event -> update_subscription",check_status;log_audit_event;update_subscription,0->1;1->2,True,e48779c27a089d04,0b72b68e3e9cb434,chain_medium
"Ticket INC-1198 says ship the new build to ml-infer-05. Next, shoot Diana an email.",40,deploy_container -> send_notification,deploy_container;send_notification,0->1,True,d734d7aefc1bad15,455a061cee7ec4c1,chain_short
"When you get a chance, credit Grace's account and activate the feature flag on payment-api-03. After those finish, launch an instance for HR.",488,"enable_feature_flag -> provision_vm, process_refund -> provision_vm",process_refund;enable_feature_flag;provision_vm,0->2;1->2,True,2c0fe2d65641f8ac,cf744e044de48f36,fanin
"We gotta move Legal's stale data to cold storage. Next, cut off Alice's permissions. To wrap up, adjust the billing tier for Frank.",327,"archive_data -> revoke_access, revoke_access -> update_subscription",archive_data;revoke_access;update_subscription,0->1;1->2,True,e48779c27a089d04,21edb2786b7d853d,chain_medium
"Charlie is asking us to change Alice's plan. Once that's done, check if payment-api-03 is up.",194,update_subscription -> check_status,update_subscription;check_status,0->1,True,d734d7aefc1bad15,de1513cb290257e3,chain_short
"Credit Charlie's account, followed by fire off a notification to Eve.",57,process_refund -> send_notification,process_refund;send_notification,0->1,True,d734d7aefc1bad15,73a1302669134b1c,chain_short
"From Finance: back up the database for Engineering. Once that's done, ship the new build to prod-web-01.",185,backup_database -> deploy_container,backup_database;deploy_container,0->1,True,d734d7aefc1bad15,979753c190ec278b,chain_short
"Plan maintenance on cdn-edge-06, email stakeholders and back up the data, then audit.",47,"backup_database -> log_audit_event, schedule_maintenance -> backup_database, schedule_maintenance -> send_notification, send_notification -> log_audit_event",schedule_maintenance;send_notification;backup_database;log_audit_event,0->1;0->2;1->3;2->3,True,a95f0a5177fffecf,c3c136032049c593,diamond
Urgent: change Grace's plan — then turn off the feature flag for HR.,174,update_subscription -> disable_feature_flag,update_subscription;disable_feature_flag,0->1,True,d734d7aefc1bad15,c7c483baf948427b,chain_short
"Urgent: verify staging-db-02's health and look up the records for #10234. When all of that's complete, send a heads-up to Legal.",125,"check_status -> send_notification, db_read -> send_notification",check_status;db_read;send_notification,0->2;1->2,True,2c0fe2d65641f8ac,041dccabf5393c9e,fanin
"The Legal team needs us to dig up the history on Alice, and then shut down the feature on payment-api-03 — then push the refund through for #60122. To wrap up, archive Alice's old records.",379,"db_read -> disable_feature_flag, disable_feature_flag -> process_refund, process_refund -> archive_data",db_read;disable_feature_flag;process_refund;archive_data,0->1;1->2;2->3,True,38d6fe00e87709ec,0acdda2d5fd725cc,chain_medium
Just deploy the container to payment-api-03.,49,deploy_container,deploy_container,,True,d7123e3b48f7b85a,427637dba5de2d36,single_node
Just commit Diana's update to the database. Nothing else needed.,52,db_write,db_write,,True,d7123e3b48f7b85a,2ba287c7bceef863,single_node
"Alice is asking us to grab Alice's account details, then produce the Finance performance summary. Finally, ping Grace about it.",101,"db_read -> generate_report, generate_report -> send_notification",db_read;generate_report;send_notification,0->1;1->2,True,e48779c27a089d04,f67a005618e33498,chain_medium
"I need you to take payment-api-03 back to the prior build, and then fire off a notification to Charlie. Finally, roll out the containerised app to cdn-edge-06.",301,"rollback_deployment -> send_notification, send_notification -> deploy_container",rollback_deployment;send_notification;deploy_container,0->1;1->2,True,e48779c27a089d04,2dfef601c3d47b05,chain_medium
Roll out the container and blast an alert to Legal.,40,deploy_container -> send_notification,deploy_container;send_notification,0->1,True,d734d7aefc1bad15,455a061cee7ec4c1,chain_short
"Hey, can you queue a maintenance window for Engineering while also drop an audit entry for auth-svc-04 and shoot Bob an email.",456,"schedule_maintenance -> log_audit_event, schedule_maintenance -> send_notification",schedule_maintenance;log_audit_event;send_notification,0->1;0->2,True,921735efccf80bf4,2c899275204412dc,fanout
"Alice is asking us to check if prod-web-01 is up. After that, log Charlie's action for compliance. Last step: downgrade Eve's account.",308,"check_status -> log_audit_event, log_audit_event -> update_subscription",check_status;log_audit_event;update_subscription,0->1;1->2,True,e48779c27a089d04,0b72b68e3e9cb434,chain_medium
We gotta see what's going on with ml-infer-05 while also restart the main process on payment-api-03 and open a ticket for Bob.,111,"check_status -> create_ticket, check_status -> restart_service",check_status;restart_service;create_ticket,0->1;0->2,True,921735efccf80bf4,4b3c196fa54c3927,fanout
"Quick one — shoot Alice an email, followed by switch on the flag for Marketing. End with modify Diana's subscription.",359,"enable_feature_flag -> update_subscription, send_notification -> enable_feature_flag",send_notification;enable_feature_flag;update_subscription,0->1;1->2,True,e48779c27a089d04,382cf1f02799f22e,chain_medium
"We gotta downgrade Diana's account. After that, verify auth-svc-04's health.",194,update_subscription -> check_status,update_subscription;check_status,0->1,True,d734d7aefc1bad15,de1513cb290257e3,chain_short
"ASAP — refresh the API token for Marketing. After that, do a security check on payment-api-03. To wrap up, roll out the containerised app to cdn-edge-06.",302,"rotate_api_key -> scan_malware, scan_malware -> deploy_container",rotate_api_key;scan_malware;deploy_container,0->1;1->2,True,e48779c27a089d04,dc1171f001b827c5,chain_medium
"Hey, can you send a heads-up to Legal, then switch on the flag for Legal. Finally, downgrade Frank's account.",359,"enable_feature_flag -> update_subscription, send_notification -> enable_feature_flag",send_notification;enable_feature_flag;update_subscription,0->1;1->2,True,e48779c27a089d04,382cf1f02799f22e,chain_medium
"Hey, can you log Frank's action for compliance — then hand Eve's issue off to an engineer.",183,log_audit_event -> escalate_to_human,log_audit_event;escalate_to_human,0->1,True,d734d7aefc1bad15,07dcd6965f4905c7,chain_short
"Time to process the payout for Diana, followed by deactivate the feature flag on payment-api-03. Finally, give cdn-edge-06 a kick.",366,"disable_feature_flag -> restart_service, process_refund -> disable_feature_flag",process_refund;disable_feature_flag;restart_service,0->1;1->2,True,e48779c27a089d04,523b6409bd54f191,chain_medium
"Hey, can you roll back the last deploy on prod-web-01 and at the same time file a bug about prod-web-01 and pull auth-svc-04 back from the last good backup.",433,"rollback_deployment -> create_ticket, rollback_deployment -> restore_backup",rollback_deployment;create_ticket;restore_backup,0->1;0->2,True,921735efccf80bf4,595cac15a6701568,fanout
"Ticket INC-7733 says notify the Marketing team, and then activate the feature flag on ml-infer-05. End with update Alice's subscription.",359,"enable_feature_flag -> update_subscription, send_notification -> enable_feature_flag",send_notification;enable_feature_flag;update_subscription,0->1;1->2,True,e48779c27a089d04,382cf1f02799f22e,chain_medium
"The Legal team needs us to roll back the last deploy on auth-svc-04. Next, notify the Marketing team. Last step: push the container image for Engineering.",301,"rollback_deployment -> send_notification, send_notification -> deploy_container",rollback_deployment;send_notification;deploy_container,0->1;1->2,True,e48779c27a089d04,2dfef601c3d47b05,chain_medium
"When you get a chance, schedule maintenance for payment-api-03, and while you're at it, drop an audit entry for cdn-edge-06 and send a heads-up to Finance.",456,"schedule_maintenance -> log_audit_event, schedule_maintenance -> send_notification",schedule_maintenance;log_audit_event;send_notification,0->1;0->2,True,921735efccf80bf4,2c899275204412dc,fanout
"When you get a chance, nuke Diana's old login and issue a fresh one, then fire off a notification to Frank, and lastly dig up the history on Charlie.",360,"reset_password -> send_notification, send_notification -> db_read",reset_password;send_notification;db_read,0->1;1->2,True,e48779c27a089d04,408d66303987d0eb,chain_medium
From Legal: check the DB for Eve while also change Diana's plan and blast an alert to Legal.,110,"db_read -> send_notification, db_read -> update_subscription",db_read;update_subscription;send_notification,0->1;0->2,True,921735efccf80bf4,19d775cf1214ae34,fanout
Quick one — archive the old entries for Frank — then pull Frank's credentials for payment-api-03. End with downgrade Diana's account.,327,"archive_data -> revoke_access, revoke_access -> update_subscription",archive_data;revoke_access;update_subscription,0->1;1->2,True,e48779c27a089d04,21edb2786b7d853d,chain_medium
"Ticket INC-4021 says deactivate the feature flag on auth-svc-04, and then cycle the secret for Legal's service.",172,disable_feature_flag -> rotate_api_key,disable_feature_flag;rotate_api_key,0->1,True,d734d7aefc1bad15,67c55a464d50266b,chain_short
"Check the DB for Frank and check if staging-db-02 is up. Once both are done, put together a report on cdn-edge-06, and lastly ping Grace about it.",135,"check_status -> generate_report, db_read -> generate_report, generate_report -> send_notification",db_read;check_status;generate_report;send_notification,0->2;1->2;2->3,True,04004610defffeed,344ea283005dfcd8,fanin
Time to grab Diana's account details while also push the refund through for #20891 and notify the Engineering team.,114,"db_read -> process_refund, db_read -> send_notification",db_read;process_refund;send_notification,0->1;0->2,True,921735efccf80bf4,7d2070fb06668174,fanout
Charlie reported an issue — push the refund through for #10234 — then swap out payment-api-03's credentials. Last step: save the changes for Charlie to the DB.,332,"process_refund -> rotate_api_key, rotate_api_key -> db_write",process_refund;rotate_api_key;db_write,0->1;1->2,True,e48779c27a089d04,c00df1d84d0240e4,chain_medium
"Quick one — launch an instance for Finance, and then shoot Grace an email.",79,provision_vm -> send_notification,provision_vm;send_notification,0->1,True,d734d7aefc1bad15,2c81a103037dd519,chain_short
Nuke Frank's old login and issue a fresh one and concurrently fire off a notification to Charlie and record the event in HR's log.,119,"reset_password -> log_audit_event, reset_password -> send_notification",reset_password;send_notification;log_audit_event,0->1;0->2,True,921735efccf80bf4,3e085f51c87b5519,fanout
"Quick one — investigate cdn-edge-06 for infections. Next, pull prod-web-01 from production — in parallel, ping Charlie about it and record the event in HR's log.",142,"quarantine_system -> log_audit_event, quarantine_system -> send_notification, scan_malware -> quarantine_system",scan_malware;quarantine_system;send_notification;log_audit_event,0->1;1->2;1->3,True,15c4592954b8570f,91fc4d2a739f8a9d,fanout
"Bob reported an issue — drop an audit entry for ml-infer-05, then dump the database on cdn-edge-06 — then persist Frank's data to the database. To wrap up, reboot prod-web-01.",414,"backup_database -> db_write, db_write -> restart_service, log_audit_event -> backup_database",log_audit_event;backup_database;db_write;restart_service,0->1;1->2;2->3,True,38d6fe00e87709ec,6eff77c5308128e6,chain_medium
"See what's going on with prod-web-01 and look up the records for #60122, then converge and shoot Eve an email.",125,"check_status -> send_notification, db_read -> send_notification",check_status;db_read;send_notification,0->2;1->2,True,2c0fe2d65641f8ac,041dccabf5393c9e,fanin
"Read the user activity and scan the system, logging the combined results at the end.",12,"db_read -> log_audit_event, scan_malware -> log_audit_event",db_read;scan_malware;log_audit_event,0->2;1->2,True,2c0fe2d65641f8ac,e47ee04d569a02c6,fanin
"Quick one — shelve Legal's outdated data, followed by restore the DB snapshot for Legal.",216,archive_data -> restore_backup,archive_data;restore_backup,0->1,True,d734d7aefc1bad15,b632d4bbb054d42e,chain_short
Push the image to auth-svc-04 and email Finance about the release.,40,deploy_container -> send_notification,deploy_container;send_notification,0->1,True,d734d7aefc1bad15,455a061cee7ec4c1,chain_short
"Ticket INC-5560 says check the DB for Grace. Once that's done, produce the Finance performance summary and simultaneously notify the Legal team and create an audit trail for #60122.",140,"db_read -> generate_report, generate_report -> log_audit_event, generate_report -> send_notification",db_read;generate_report;send_notification;log_audit_event,0->1;1->2;1->3,True,15c4592954b8570f,4bcf744f776adcac,fanout
"Grace reported an issue — flip the feature toggle on for Legal — then move ml-infer-05's ownership to Marketing — then update Grace's record in the DB. To wrap up, bring in tier-2 support for Diana.",388,"db_write -> escalate_to_human, enable_feature_flag -> transfer_ownership, transfer_ownership -> db_write",enable_feature_flag;transfer_ownership;db_write;escalate_to_human,0->1;1->2;2->3,True,38d6fe00e87709ec,48c94501bfebcf30,chain_medium
"Time to activate the feature flag on prod-web-01, and then reassign payment-api-03 to Bob, followed by write the new data for #60122 back. Finally, loop in a Marketing manager.",388,"db_write -> escalate_to_human, enable_feature_flag -> transfer_ownership, transfer_ownership -> db_write",enable_feature_flag;transfer_ownership;db_write;escalate_to_human,0->1;1->2;2->3,True,38d6fe00e87709ec,48c94501bfebcf30,chain_medium
Pull the contact details from the DB and shoot Charlie a message.,3,db_read -> send_notification,db_read;send_notification,0->1,True,d734d7aefc1bad15,791afcf848559f00,chain_short
"For the Finance team, look up the records for #42017 and concurrently refund Eve and ping Eve about it.",114,"db_read -> process_refund, db_read -> send_notification",db_read;process_refund;send_notification,0->1;0->2,True,921735efccf80bf4,7d2070fb06668174,fanout
Ticket INC-1198 says pull prod-web-01 back from the last good backup while also reverse the charge on #10234 and spin up a tracking ticket for Frank.,445,"restore_backup -> create_ticket, restore_backup -> process_refund",restore_backup;process_refund;create_ticket,0->1;0->2,True,921735efccf80bf4,7af960f7e6ad88eb,fanout
Time to take ml-infer-05 back to the prior build and simultaneously open a ticket for Frank and pull auth-svc-04 back from the last good backup.,433,"rollback_deployment -> create_ticket, rollback_deployment -> restore_backup",rollback_deployment;create_ticket;restore_backup,0->1;0->2,True,921735efccf80bf4,595cac15a6701568,fanout
"The Finance team needs us to resize staging-db-02's resources. Once that's done, launch the docker deployment for Marketing. Finally, flip the feature toggle on for Marketing.",287,"deploy_container -> enable_feature_flag, scale_service -> deploy_container",scale_service;deploy_container;enable_feature_flag,0->1;1->2,True,e48779c27a089d04,0a1fac5f5e5dd6b2,chain_medium
"Time to push the container image for Legal, and then notify the HR team.",40,deploy_container -> send_notification,deploy_container;send_notification,0->1,True,d734d7aefc1bad15,455a061cee7ec4c1,chain_short
"Process the payout and modify the subscription status, then email a receipt.",13,"process_refund -> send_notification, update_subscription -> send_notification",process_refund;update_subscription;send_notification,0->2;1->2,True,2c0fe2d65641f8ac,7969841a1f49e0cf,fanin
"Time to open a ticket for Charlie. Next, blast an alert to Marketing. Finally, change Frank's auth credentials.",346,"create_ticket -> send_notification, send_notification -> reset_password",create_ticket;send_notification;reset_password,0->1;1->2,True,e48779c27a089d04,00e7f7d490fa9f22,chain_medium
"When you get a chance, scan cdn-edge-06 for threats, and while you're at it, lock down ml-infer-05 and file a bug about staging-db-02.",112,"scan_malware -> create_ticket, scan_malware -> quarantine_system",scan_malware;quarantine_system;create_ticket,0->1;0->2,True,921735efccf80bf4,25a4ed8179d1b9ab,fanout
"Quick one — turn on the feature flag for Finance, followed by move ml-infer-05's ownership to Legal. Last step: diagnose cdn-edge-06.",377,"enable_feature_flag -> transfer_ownership, transfer_ownership -> check_status",enable_feature_flag;transfer_ownership;check_status,0->1;1->2,True,e48779c27a089d04,be9b6d55792d28cb,chain_medium
"Per Bob's request, bring in tier-2 support for Frank, and then archive Frank's old records.",274,escalate_to_human -> archive_data,escalate_to_human;archive_data,0->1,True,d734d7aefc1bad15,b08a7d857a1432d9,chain_short
"We gotta shut down the feature on auth-svc-04, then generate a new API key for staging-db-02.",172,disable_feature_flag -> rotate_api_key,disable_feature_flag;rotate_api_key,0->1,True,d734d7aefc1bad15,67c55a464d50266b,chain_short
"We gotta produce the HR performance summary, then trigger a build for ml-infer-05. To wrap up, take a snapshot of staging-db-02's DB.",357,"generate_report -> run_pipeline, run_pipeline -> backup_database",generate_report;run_pipeline;backup_database,0->1;1->2,True,e48779c27a089d04,c2ead59bb3f8bc3b,chain_medium
"Urgent: check staging-db-02 for vulnerabilities, followed by quarantine staging-db-02, and while you're at it, ping Grace about it and log the whole prod-web-01 incident.",142,"quarantine_system -> log_audit_event, quarantine_system -> send_notification, scan_malware -> quarantine_system",scan_malware;quarantine_system;send_notification;log_audit_event,0->1;1->2;1->3,True,15c4592954b8570f,91fc4d2a739f8a9d,fanout
"From Legal: grant Eve permissions to prod-web-01. Next, produce the Engineering performance summary. Finally, verify ml-infer-05's health.",309,"approve_access -> generate_report, generate_report -> check_status",approve_access;generate_report;check_status,0->1;1->2,True,e48779c27a089d04,dfbc8b5ecd15a737,chain_medium
"The Engineering team needs us to escalate Bob's case to the on-call, followed by move Legal's stale data to cold storage.",274,escalate_to_human -> archive_data,escalate_to_human;archive_data,0->1,True,d734d7aefc1bad15,b08a7d857a1432d9,chain_short
All I need is for someone to save the changes for Diana to the DB.,52,db_write,db_write,,True,d7123e3b48f7b85a,2ba287c7bceef863,single_node
"Arrange downtime, notify HR and create a backup in parallel, then drop an audit entry.",47,"backup_database -> log_audit_event, schedule_maintenance -> backup_database, schedule_maintenance -> send_notification, send_notification -> log_audit_event",schedule_maintenance;send_notification;backup_database;log_audit_event,0->1;0->2;1->3;2->3,True,a95f0a5177fffecf,c3c136032049c593,diamond
