query,dag_id,dag_text,tools,edges,topo_family,source,split
"Investigate ml-infer-05 status, do a malware check, lock it down, bounce the service, escalate to tier 2, email Legal, and record the event.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,original,train
"Investigate staging-db-02 status, do a malware check, lock it down, bounce the service, escalate to tier 2, email Legal, and record the event.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,original,train
"Massive outage on ml-infer-05: check it, scan for bugs, quarantine, reboot, escalate to on-call, notify Finance, and log everything.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,original,train
"Massive outage on payment-api-03: check it, scan for bugs, quarantine, reboot, escalate to on-call, notify Engineering, and log everything.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,original,train
"Massive outage on prod-web-01: check it, scan for bugs, quarantine, reboot, escalate to on-call, notify Engineering, and log everything.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,original,train
"Massive outage on prod-web-01: check it, scan for bugs, quarantine, reboot, escalate to on-call, notify Finance, and log everything.",16,"check_status -> scan_malware, scan_malware -> quarantine_system, quarantine_system -> restart_service, restart_service -> escalate_to_human, escalate_to_human -> send_notification, send_notification -> log_audit_event",check_status;scan_malware;quarantine_system;restart_service;escalate_to_human;send_notification;log_audit_event,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,original,train
"ASAP, begin with pull the records for INC-1198. After that, load the last good backup onto queue-broker-02. Follow that with commit the DB changes for Victor. Next, cycle search-index-03. After that, record the audit trail for search-index-03. Then open a ticket about search-index-03. Finally, compile a summary for Operations.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"ASAP, begin with pull the records for INC-2407. Next, restore the backup for api-gateway-11. Next, write the Analytics changes to the DB. After that, restart edge-cache-07. Next, log the edge-cache-07 incident. After that, file an incident for edge-cache-07. Finally, produce the Support analytics report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"ASAP, first, look up the details on #66302. Next, bring Compliance back from the latest snapshot. Then write the Compliance changes to the DB. After that, cycle batch-worker-09. Next, write up the audit entry for batch-worker-09. Follow that with open a ticket about batch-worker-09. Last step: generate the Data report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"ASAP, look up Bob's record in the database. Then bring cdn-edge-06 back from the latest snapshot. Next, store the revised record for Bob. After that, reboot the service on metrics-proxy-05. Then record the audit trail for metrics-proxy-05. Next, open a ticket about metrics-proxy-05. Last step: generate the Sales report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Can you first, pull Wendy's profile from the DB. Follow that with bring cdn-edge-06 back from the latest snapshot. Next, store the revised record for Uma. Follow that with restart api-gateway-11. Then record the audit trail for api-gateway-11. Follow that with open a ticket about api-gateway-11. Last step: generate the Marketing report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
Can you look up Liam's record in the database. Follow that with load the last good backup onto cdn-edge-06. Then write Noah's update back to the database. Follow that with restart queue-broker-02. Then record the audit trail for queue-broker-02. Then open a ticket about queue-broker-02. End with compile a summary for Security.,20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Can you look up Xavier's record in the database. Follow that with bring edge-cache-07 back from the latest snapshot. Follow that with write the Data changes to the DB. Then cycle edge-cache-07. After that, log the edge-cache-07 incident. Next, file an incident for edge-cache-07. Finally, produce the Growth analytics report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Can you start with check INC-6812. After that, bring worker-pool-06 back from the latest snapshot. After that, write the Growth changes to the DB. Next, cycle worker-pool-06. Then log the worker-pool-06 incident. Next, create a ticket for worker-pool-06. End with generate the Legal report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Heads-up: begin with look up Victor's record in the database. Next, load the last good backup onto api-gateway-11. Follow that with store the revised record for Zoe. Follow that with cycle feature-store-01. Next, write up the audit entry for feature-store-01. Follow that with open a ticket about feature-store-01. To wrap up, produce the Finance analytics report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Heads-up: begin with look up the details on INC-8842. Next, load the last good backup onto Support. Next, write Liam's update back to the database. After that, restart search-index-03. After that, record the audit trail for search-index-03. Follow that with file an incident for search-index-03. To wrap up, generate the Engineering report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Heads-up: check INC-8842. Then load the last good backup onto Compliance. After that, commit the DB changes for Ivy. After that, reboot the service on cdn-edge-06. Follow that with log the cdn-edge-06 incident. After that, open a ticket about cdn-edge-06. Last step: generate the Compliance report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"I need you to begin with fetch Sam's account details. Then load the last good backup onto api-gateway-11. After that, commit the DB changes for Maya. Follow that with cycle api-gateway-11. Then write up the audit entry for api-gateway-11. After that, open a ticket about api-gateway-11. End with generate the Growth report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Please fetch Bob's account details. Then load the last good backup onto staging-db-02. Then commit the DB changes for Xavier. After that, reboot the service on auth-svc-04. Follow that with write up the audit entry for auth-svc-04. Follow that with open a ticket about auth-svc-04. Finally, produce the Compliance analytics report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Please look up Jack's record in the database. After that, restore the backup for api-gateway-11. Follow that with store the Engineering config in the database. Follow that with reboot the service on prod-web-01. Next, record the audit trail for prod-web-01. After that, open a ticket about prod-web-01. End with generate the Security report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Quick one: begin with pull the records for #28941. After that, restore the backup for metrics-proxy-05. Next, write the Engineering changes to the DB. Next, cycle cdn-edge-06. Follow that with record the audit trail for cdn-edge-06. Then open a ticket about cdn-edge-06. End with compile a summary for Engineering.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Quick one: start with pull Zoe's profile from the DB. Then bring ml-infer-05 back from the latest snapshot. After that, store the revised record for Victor. Next, cycle ml-infer-05. Follow that with log the ml-infer-05 incident. After that, create a ticket for ml-infer-05. Finally, compile a summary for Finance.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Urgent: begin with look up Noah's record in the database. Follow that with load the last good backup onto queue-broker-02. Then commit the DB changes for Alice. Then restart prod-web-01. Then record the audit trail for prod-web-01. Then create a ticket for prod-web-01. To wrap up, generate the Marketing report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Urgent: begin with pull the records for INC-7733. Next, bring auth-svc-04 back from the latest snapshot. After that, commit the DB changes for Olivia. Next, reboot the service on auth-svc-04. Then record the audit trail for auth-svc-04. Then open a ticket about auth-svc-04. Finally, compile a summary for Legal.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Urgent: first, grab the database entry for Maya. Follow that with load the last good backup onto Sales. After that, commit the DB changes for Priya. Follow that with restart staging-db-02. Next, log the staging-db-02 incident. Follow that with file an incident for staging-db-02. Finally, generate the Sales report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Urgent: look up Quinn's record in the database. Next, load the last good backup onto prod-web-01. Next, write the HR changes to the DB. Follow that with restart feature-store-01. Next, write up the audit entry for feature-store-01. Next, open a ticket about feature-store-01. Last step: produce the HR analytics report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Urgent: start with check #88451. Follow that with bring ml-infer-05 back from the latest snapshot. Follow that with write the HR changes to the DB. Next, restart payment-api-03. Next, record the audit trail for payment-api-03. After that, open a ticket about payment-api-03. Finally, produce the HR analytics report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"Urgent: start with grab the database entry for Grace. After that, bring edge-cache-07 back from the latest snapshot. Then write Talia's update back to the database. Follow that with restart api-gateway-11. Next, log the api-gateway-11 incident. Then file an incident for api-gateway-11. To wrap up, generate the Research report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"When you get a chance, begin with pull Olivia's profile from the DB. Next, restore the backup for feature-store-01. Then write Olivia's update back to the database. After that, cycle search-index-03. Then write up the audit entry for search-index-03. Then create a ticket for search-index-03. End with compile a summary for Research.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"When you get a chance, look up the details on #10234. Follow that with load the last good backup onto Finance. Next, write the Finance changes to the DB. Follow that with cycle edge-cache-07. After that, write up the audit entry for edge-cache-07. Follow that with open a ticket about edge-cache-07. End with produce the Security analytics report.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
"When you get a chance, start with look up the details on INC-5560. After that, load the last good backup onto Legal. Then commit the DB changes for Yara. Follow that with restart api-gateway-11. Follow that with write up the audit entry for api-gateway-11. Then create a ticket for api-gateway-11. Finally, compile a summary for Legal.",20022,"db_read -> restore_backup, restore_backup -> db_write, db_write -> restart_service, restart_service -> log_audit_event, log_audit_event -> create_ticket, create_ticket -> generate_report",db_read;restore_backup;db_write;restart_service;log_audit_event;create_ticket;generate_report,0->1;1->2;2->3;3->4;4->5;5->6,chain_long,generated,train
